Month,Calendar Year,Fund Type,Treasury Fund,Land Category,Disbursement Type,State,County,Commodity,Category,Disbursement
April,2024,U.S. Treasury,2039,Onshore,,,,,Royalties,"6,417,605.46"
April,2024,U.S. Treasury,2039,Onshore,,,,Clay,Royalties,51.42
April,2024,U.S. Treasury,2039,Onshore,,,,Coal,Other Distributions,"48,435.13"
April,2024,U.S. Treasury,2039,Onshore,,,,Coal,Royalties,"3,563,890.32"
April,2024,U.S. Treasury,2039,Onshore,,,,Gas,Other Distributions,106.5
April,2024,U.S. Treasury,2039,Onshore,,,,Gas,Royalties,"16,063,022.88"
April,2024,U.S. Treasury,2039,Onshore,,,,Geothermal,Other Distributions,-490.97
April,2024,U.S. Treasury,2039,Onshore,,,,Geothermal,Rents & Bonuses,-76.75
April,2024,U.S. Treasury,2039,Onshore,,,,Geothermal,Royalties,"193,021.37"
April,2024,U.S. Treasury,2039,Onshore,,,,Gilsonite,Other Distributions,143.4
April,2024,U.S. Treasury,2039,Onshore,,,,Gilsonite,Royalties,"14,671.98"
April,2024,U.S. Treasury,2039,Onshore,,,,Oil,Other Distributions,"62,034.52"
April,2024,U.S. Treasury,2039,Onshore,,,,Oil,Royalties,"47,507,697.68"
April,2024,U.S. Treasury,2039,Onshore,,,,Oil & Gas,Other Distributions,"1,201,046.05"
April,2024,U.S. Treasury,2039,Onshore,,,,Oil & Gas,Rents & Bonuses,"2,680.00"
April,2024,U.S. Treasury,2039,Onshore,,,,Oil & Gas,Royalties,"433,030.10"
April,2024,U.S. Treasury,2039,Onshore,,,,Phosphate,Other Distributions,596.9
April,2024,U.S. Treasury,2039,Onshore,,,,Phosphate,Royalties,"58,525.61"
April,2024,U.S. Treasury,2039,Onshore,,,,Potassium,Other Distributions,-100
April,2024,U.S. Treasury,2039,Onshore,,,,Potassium,Royalties,"97,122.53"
April,2024,U.S. Treasury,2039,Onshore,,,,Sodium,Other Distributions,-183.27
April,2024,U.S. Treasury,2039,Onshore,,,,Sodium,Royalties,"214,971.55"
