Payor Name,Corporate Name
GREYHOUND ENERGY LLC,GREYHOUND ENERGY LLC
GREYLOCK PRODUCTION LLC,ARCLIGHT CAPITAL PARTNERS
GRIFFIN RESOURCES,GRIFFIN RESOURCES
GRIZZLY OPERATING LLC,GRIZZLY ENERGY LLC
GRMR OIL & GAS LLC,GRMR OIL & GAS LLC
GROCES LANDING,GROCE S LANDING LLC
GSOE I LLC,GSOE I LLC
GULF EXPLORATION LLC,GULF EXPLORATION LLC
GULFPORT ENERGY CORPORATION,GULFPORT ENERGY CORP
GULFPORT MIDCON LLC,GULFPORT ENERGY CORP
GULFSLOPE ENERGY INC,GULFSLOPE ENERGY INC
GUNGNIR RESOURCES LLC,GUNGNIR RESOURCES LLC
GUNNISON ENERGY LLC,OXBOW GROUP
GUNVOR USA LLC,GUNVOR GROUP
H L POWER COMPANY,RECYCLED ENERGY DEVELOPMENT LLC
HANNA OIL AND GAS COMPANY,HANNA OIL & GAS CO
HARVARD PETROLEUM COMPANYLLC,HARVARD PETROLEUM CO LLC
HARVEY MINERAL PARTNERS LP,HARVEY MINERAL PARTNERS LP
HATHAWAY LLC,HATHAWAY LLC
HE&D OFFSHORE LP,HE&D OFFSHORE LP
HEADINGTON OIL COMPANY LLC,HEADINGTON OIL CO LLC
HELENA RESOURCES INC,HELENA RESOURCES INC
HELIS OIL & GAS COMPANYL L C,HELIS OIL & GAS CO LLC
HELIS OIL & GAS COMPANYLLC,HELIS OIL & GAS CO LLC
HERBALY EXPLORATION LLC,HERBALY
HERCO LLC,HERCO
HESS BAKKEN INVESTMENTS I CORPORATION,HESS CORP
HESS BAKKEN INVESTMENTS II LLC,HESS CORP
HESS CORPORATION,HESS CORP
HIGH RIVER RESOURCES OPERATING LLC,HIGH RIVER RESOURCES OPERATING LLC
HIGHPOINT OPERATING CORPORATION,CIVITAS RESOURCES INC
HILCORP ALASKA LLC,HILCORP ENERGY CORP
HILCORP ENERGY COMPANY,HILCORP ENERGY CORP
HILCORP ENERGY IL P,HILCORP ENERGY CORP
HILCORP SAN JUAN LP,HILCORP ENERGY CORP
HLBROWN OPERATINGLLC,H L BROWN OPERATING LLC
HOGBACK EXPLORATIONINC,HOGBACK EXPLORATION INC
HOLLYFRONTIER NAVAJO REFINING LLC,HF SINCLAIR CORP
HOLMES WESTERN OIL CORPORATION,HOLMES WESTERN OIL CORP
HOMESTAKE O&G CO INC-JCCS,HOMESTAKE MINING CO OF CALIFORNIA
HOUSTON ENERGY DEEPWATER PARTNERS SPRUAN,HOUSTON ENERGY LP
HOUSTON ENERGY DEEPWATER VENTURES V LLC,HOUSTON ENERGY LP
HOUSTON ENERGYL P,HOUSTON ENERGY LP
HOWARD ENERGY CO INC,HOWARD ENERGY INC
HPOC LLC,HPOC LLC
HRM RESOURCES III LLC,HRM RESOURCES III LLC
HUDSON GROUP LLC,HUDSON OIL CO OF TEXAS
HUDSON OIL COMPANY OF TEXAS,HUDSON OIL CO OF TEXAS
HUNT CRUDE OIL SUPPLY COMPANY,RRH CORP
HUNT OIL COMPANY,RRH CORP
HUNT OIL USA INC,RRH CORP
HUNT PETROLEUM CORP,EXXON MOBIL CORP
HUNTINGTON ENERGYL L C,HUNTINGTON ENERGY LLC
HUNTINGTON OIL AND GAS LLC,HUNTINGTON OIL AND GAS LLC
HYPERION OIL & GAS LLC,HYPERION OIL & GAS LLC
IACX ENERGY LLC,GLENFARNE GROUP LLC
IACX PRODUCTION,GLENFARNE GROUP LLC
ILX HOLDINGS II LLC,RIVERSTONE HOLDINGS LLC
ILX HOLDINGS III LLC,RIVERSTONE HOLDINGS LLC
IMPACT ENERGY OPERATING LLC,IMPACT ENERGY OPERATING LLC
IMPACT EXPLORATION AND PRODUCTION LLC,IMPACT EXPLORATION AND PRODUCTION LLC
INDIGO HAYNESVILLE LLC,INDIGO MINERALS LLC
INDIGO MINERALS LLC,INDIGO MINERALS LLC
INFINITY HYDROCARBONS LLC,INFINITY HYDROCARBONS LLC
INLAND OIL & GAS CORPORATION,INLAND OIL & GAS CORP
INPEX AMERICAS INC,INPEX CORP
INTREPID OIL & GASLLC,INTREPID PRODUCTION CORP
INTREPID POTASH - MOAB LLC,INTREPID POTASH INC
INTREPID POTASH-NEW MEXICO,INTREPID POTASH INC
INTREPID PRODUCTION CORPORATION,INTREPID PRODUCTION CORP
INTREPID WENDOVER POTASH LLC,INTREPID POTASH INC
INVENERGY WIND OFFSHORE LLC,INVENERGY WIND OFFSHORE LLC
IRISH OIL & GAS INC,IRISH OIL & GAS INC
IRON OIL OPERATING LLC,IRON OIL OPERATING LLC
ITAFOS,CL FERTILIZERS HOLDING LLC
J P OIL COMPANY,JP OIL HOLDINGS LLC
J POIL COMPANY LLC,JP OIL HOLDINGS LLC
J ROIL LTD CO,J R OIL LTD CO
J RSIMPLOT COMPANY,JR SIMPLOT CO
JETCO ENERGY SERVICES LLC,JETCO ENERGY SERVICES LLC
JETTA OPERATING APPALACHIALLC,JETTA OPERATING CO
JETTA OPERATING CO,JETTA OPERATING CO
JMA RESOURCESINC,JMA ENERGY COMPANY LLC
JOHN HHENDRIX CORPORATION,JOHN H HENDRIX CORP
JONAH ENERGY (WEDGE),JONAH ENERGY LLC
JONES ENERGY LTD,JONES ENERGY LTD
JONESVERN K,JONES VERN K
JORDAN DEVELOPMENT COMPANY LLC,JORDAN DEVELOPMENT CO LLC
JP FURLONG CO,JP FURLONG CO
JRSIMPLOT COMPANY,JR SIMPLOT CO
JULANDER ENERGY COMPANY,JULANDER ENERGY CO
JUNEAU O&G LLC,JUNEAU O&G LLC
K2T2 RESOURCES LLC,K2T2 RESOURCES LLC
KAISER-FRANCIS OIL COMPANY,GBK CORP
KAUFFMAN THANA,KAUFFMAN THANA
KDS INVESTMENTS HOLDING LLC,KDS INVESTMENTS HOLDING LLC
KEMMERER OPERATIONS LLC.,KEMMERER OPERATIONS LLC
KENNEDY OIL,KENNEDY OIL
KENTEX WORLAND LLC,KENTEX WORLAND LLC
"KENTEX WORLAND, LLC",KENTEX WORLAND LLC
KERR-MCGEE O&G ONSHORE LLC,OCCIDENTAL PETROLEUM CORP
KERR-MCGEE OIL & GAS ONSHORE LP,OCCIDENTAL PETROLEUM CORP
KERR-MCGEE ROCKY MTN CORP,OCCIDENTAL PETROLEUM CORP
KEY PRODUCTION COMPANY INC,CIMAREX ENERGY CO
KGH OPERATING COMPANY,KGH OPERATING CO
KHODY LAND & MINERALS CO,KHODY LAND & MINERALS CO
KIEWIT MINING GROUP,PETER KIEWIT SONS INC
KIMBELL OIL COMPANY,KIMBELL OIL CO
KINDER MORGAN C02 COMPANY LLC,KINDER MORGAN CO
KIRKWOOD OIL AND GAS CO,KIRKWOOD COMPANIES
KIRKWOOD RESOURCES LLC,KIRKWOOD RESOURCES LLC
KNIK ARM SERVICES LLC,KNIK ARM SERVICES LLC
KNPRB LEASES INC,KNPRB LEASES INC
KOCH EXPLORATION COMPANY LLC,KOCH INDUSTRIES INC
KODA OPERATING LLC,KODA HOLDINGS LLC
KODA RESOURCES OPERATING LLC,KODA HOLDINGS LLC
KOSMOS ENERGY GULF OF MEXICO OPERATIONS,KOSMOS ENERGY LTD
KOSMOS ENERGY LTD,KOSMOS ENERGY LTD
KPKAUFFMAN COMPANYINC,KP KAUFFMAN CO INC
KRAKEN OIL & GAS II LLC,KRAKEN RESOURCES LLC
KRAKEN OIL & GAS IV LLC,KRAKEN RESOURCES LLC
KRAKEN OIL & GAS LLC,KRAKEN RESOURCES LLC
KT RESOURCES,KT RESOURCES
LAKOTA ENERGY LTD,LAKOTA ENERGY PARTNERS LTD
LAMBDA ENERGY RESOURCES,LAMBDA ENERGY RESOURCES
LANDMARK ENERGY LLC,LANDMARK ENERGY LLC
LANDMARK ENERGY XV LLC,LANDMARK ENERGY XV LLC
LANGHAM PETROLEUM LLC,LARAMIDE EXPLORATION LLC
LARAMIE ENERGY INVESTMENTS LLC,LARAMIE ENERGY II LLC
LARAMIE ENERGY LLC,LARAMIE ENERGY II LLC
LARGO EXPLORATION RES LLC,LARGO EXPLORATION RES LLC
LARRY R MOYER EXPLORATION LLC,LARRY R MOYER EXPLORATION LLC
LASRICH LANE,LANE LASRICH
LASSO OIL & GASLLC,LASSO OIL & GAS LLC
LATIGO PETROLEUM LLC,LATIGO PETROLEUM LLC
LE NORMAN OPERATING LLC,TEMPLAR ENERGY LLC
LEEDE OPERATING COMPANYLLC,LEEDE OPERATING CO LLC
LEGACY RESERVES OPERATING LP,LEGACY RESERVES INC
LEONARDITE PRODUCTS LLC,LEONARDITE PRODUCTS LLC
LEVI SAP NEI THANG LLC,THANG LEVI SAP NEI
LEXCO HOLDING LLC,AMERICAN GILSONITE CO
LH OPERATING LLC,LH OPERATING LLC
LHOIST NORTH AMERICA,LHOIST NORTH AMERICA INC
LIBERTY PETROLEUM CORPORATION,LIBERTY PETROLEUM CORP
LIBERTY PIONEER ENERGY SOURCE,LIBERTY PIONEER ENERGY SOURCE INC
LIBERTY RESOURCES MANAGEMENT CO LLC,RIVERSTONE HOLDINGS LLC
LIGHTNING DOCK GEOTHERMAL HI-01 LLC,CYRQ ENERGY INC
LIME ROCK RESOURCES II-A LP,LIME ROCK RESOURCES
LIME ROCK RESOURCES III-A LP,LIME ROCK RESOURCES
"LIME ROCK RESOURCES IV-A, LP",LIME ROCK RESOURCES
LIME ROCK RESOURCES V-A L.P.,LIME ROCK RESOURCES
LINCOLN ENERGY HOLDINGS LLC,LINCOLN ENERGY HOLDINGS LLC
LIVELY EXPLORATION COMPANY,LIVELY EXPLORATION CO
LLOG EXPLORATION OFFSHORELLC,LLOG EXPLORATION LLC
LOCIN OIL CORPORATION,LOCIN OIL CORP
LOGOS OPERATING LLC,LOGOS OPERATING LLC
LOIL OIL LLC,LOIL OIL LLC
LONETREE ENERGY & ASSOCIATES LLC,LONETREE ENERGY & ASSOCIATES LLC
LONGFELLOW ENERGY LP,LONGFELLOW ENERGY LP
LONGS PEAK RESOURCES LLC,LONGS PEAK RESOURCES LLC
LOUISVILLE GAS & ELECTRIC CO,PPL CORP
LUFF EXPLORATION COMPANY,LUFF EXPLORATION CO
LUMA Minerals LLC,LUMA MINERALS LLC
M & K OIL COMPANY,M & K OIL CO LLC
M&G DRILLING COMPANYINC,M&G DRILLING CO INC
M21KLLC,COX OPERATING LLC
MACK ENERGY COMPANY,MACK ENERGY CORP
MACK ENERGY CORPORATION,MACK ENERGY CORP
MACPHERSON OIL COMPANY LLC,MACPHERSON ENERGY CORP
MAGNUM PRODUCING LP,MAGNUM PRODUCING LP
MAJOR OIL INTERNATIONAL LLC,US OIL & GAS PLC
MAKOIL INC,MAKOIL INC
MAKOILINCORPORATED,MAKOIL INC
MALLARD EXPLORATION LLC,MALLARD EXPLORATION LLC
MAMMOTH PACIFIC L P,ORMAT NEVADA INC
MANZANO LLC,MANZANO OIL CORP
MAR OIL & GAS CORPORATION INC,MAR OIL & GAS CORP
MARALEX RESOURCESINC,MARALEX RESOURCES INC
MARATHON OIL CO,MARATHON OIL CO
MARATHON OIL COMPANY,MARATHON OIL CO
MARIAH ENERGY LIMITED LIABILITY COMPANY,MARIAH ENERGY LLC
MARITECH RESOURCESINC,ORINOCO NATURAL RESOURCES
MARQUIS RESOURCES LLC,MARQUIS RESOURCES LLC
MARSHALL & WINSTONINC,MARSHALL & WINSTON INC
MARTIN FUELS INC,MARTIN FUELS INC
MARUBENI OIL & GAS USA INC,MARUBENI CORP
MATADOR RESOURCES COMPANY,MATADOR RESOURCES CO
MATRIX PRODUCTION COMPANY,MATRIX PRODUCTION CO
MAURICE W BROWN OIL & GAS LLC,MAURICE W BROWN OIL & GAS LLC
MAVERICK PERMIAN LLC,MAVERICK PERMIAN LLC
MAXIMUS OPERATING LTD,MAXIMUS OPERATING LTD
MAYFLOWER WIND ENERGY LLC,MAYFLOWER WIND ENERGY LLC
MBOGO ENERGY LLC,MBOGO ENERGY LLC
MC OFFSHORE PETROLEUMLLC,MC OFFSHORE PETROLEUM LLC
MCELVAIN ENERGY INC,MCELVAIN ENERGY INC
MCMORAN OIL & GAS LLC,FREEPORT-MCMORAN INC
MCRLLC,MCR LLC
MEDCO ENERGI US LLC,MEDCO ENERGI INTERNASIONAL TBK
MEMORIAL PRODUCTION OPERATING LLC,AMPLIFY ENERGY CORP
MERCURIA ENERGY AMERICA LLC,MERCURIA ENERGY GROUP HOLDING SA
MERIT ENERGY COMPANY LLC,MERIT ENERGY CO
MERIT HUGOTON LP,MERIT ENERGY CO
MERIT MANAGEMENT PARTNERS IIILP,MERIT MANAGEMENT PARTNERS III LP
MERRION OIL & GAS CORPORATION,MERRION OIL & GAS CORP
MESSER NORTH AMERICA INC,MESSER INDUSTRIE GMBH
MEWBOURNE OIL COMPANY,MEWBOURNE HOLDINGS INC
MH7 MINERALS LLC,MH7 MINERALS LLC
MID-CON ENERGY III LLC,MID-CON ENERGY PARTNERS LP
MID-CON ENERGY OPERATINGLLC,MID-CON ENERGY PARTNERS LP
MID-CON ENERGY PROPERTIES LLC,MID-CON ENERGY PARTNERS LP
MIDDLE FORK ENERGY UNITA LLC,KODA HOLDINGS LLC
MILLER ENERGY COMPANY II LLC,SUMMIT OPERATING LLC
MOEX NORTH AMERICA LLC,MITSUI OIL EXPLORATION CO LTD
MONCRIEF OIL & GAS MASTER LLC,MONCRIEF PARTNERS LP
MONCRIEF PARTNERSL P,MONCRIEF PARTNERS LP
MONCRIEFWAJR,MONCRIEF PARTNERS LP
MONFORTE EXPLORATION L L C,MONFORTE EXPLORATION LLC
MORNINGSTAR OPERATING LLC,MORNINGSTAR OPERATING LLC
MOSAIC FERTILIZERLLC,THE MOSAIC COMPANY
MOSAIC POTASH CARLSBAD INC,THE MOSAIC COMPANY
MOTHER EARTH INDGEOTHERMAL,MOTHER EARTH INDUSTRIES
MOUNTAIN COAL COMPANYLLC,ARCH COAL INC
MOUNTAIN FUEL SUPPLY -INVALID-,DOMINION ENERGY INC
MOUNTAIN OIL AND GAS CO,DOMINION ENERGY INC
MP GULF OF MEXICO LLC,MP GULF OF MEXICO LLC
MR NM OPERATING LLC,MR NM OPERATING LLC
MRC DELAWARE RESOURCES LLC,MATADOR RESOURCES CO
MURCHISON OIL AND GAS LLC,MURCHISON OIL AND GAS LLC
MURFIN DRILLING CO,MURFIN DRILLING COMPAN INC
MURPHY EXPLORATION & PRODUCTION CO - USA,MURPHY OIL CORP
MURPHY EXPLORATION AND PROD CO,MURPHY OIL CORP
MUSKEGON DEVELOPMENT COMPANY,MUSKEGON DEVELOPMENT CO
MUSTANG ENERGY RESOURCES LLC,MUSTANG ENERGY RESOURCES LLC
MUSTANG FUEL CORPORATION,MUSTANG FUEL CORP
NAFTEX HOLDINGS LTD,NAFTEX HOLDINGS LTD
NATIONAL FUEL CORPORATION,NATIONAL FUEL CORP
NATURAL GAS PROCESSING CO,NATURAL GAS PROCESSING CO
NATURAL SODALLC,JM HUBER CORP
NAVAJO NATION OIL AND GAS CO INC,NAVAJO NATION OIL AND GAS CO INC
NAVIGATION POWDER RIVER LLC,NAVIGATION PETROLEUM
NERD GAS COMPANYLLC,NERD GAS CO LLC
NEW HORIZON RESOURCES LLC,US ENERGY CORP
NEW MEXICO SALT & MINERALS,NEW MEXICO SALT & MINERALS CORP
NEWFIELD EXPLR MID-CONTINENTRENT ONLY,OVINTIV INC
NEWFIELD MID-CONTINENT EXPLOR ROYALTY,OVINTIV INC
NEWKUMET EXPLORATIONINC,NEWKUMET EXPLORATION INC
NEWWOODS PETROLEUM LLC,NEWWOODS PETROLEUM LLC
NEXEN PETROLEUM OFFSHORE USA I,CNOOC LTD
NGP BLUE MOUNTAIN ILLC,EIG GLOBAL ENERGY PARTNERS
NINE POINT ENERGY LLC,NINE POINT ENERGY LLC
NMT OIL COMPANYINC,NMT OIL CO INC
NOBLE ENERGY PRODUCTIONINC,CHEVRON CORP
NOBLE ENERGY WYCO LLC,CHEVRON CORP
NOBLE ENERGYINC,CHEVRON CORP
NOBLE PETROLEUMLLC,CHEVRON CORP
NOEX ENERGYINC,ENEOS HOLDINGS INC
NORRA RESOURCES LLC,NORRA RESOURCES LLC
NORTH FINN,NORTH FINN LLC
NORTH SHORE EXPLORATION & PRODUCTION LLC,NORTH SHORE EXPLORATION & PRODUCTION LLC
NORTH SILO RESOURCES,NORTH SILO RESOURCES LLC
NORTH SLOPE ENERGY LLC,ARMSTRONG OIL & GAS INC
NORTH SLOPE EXPLORATION LLC,ARMSTRONG OIL & GAS INC
NORTHERN CA PWR AGY-GEOTHERMAL,NORTHERN CALIFORNIA POWER AGENCY
NORTHSTAR GAS COMPANY,NORTHSTAR OFFSHORE GROUP LLC
NORTHWESTERN CORPORATION,NORTHWESTERN CORP
NORTHWOODS LAND INC,NORTHWOODS ENERGY LLC
NORTHWOODS OPERATING LLC,NORTHWOODS ENERGY LLC
NOVO OIL & GAS NORTHERN DELAWARE,NOVO OIL & GAS LLC
NP RESOURCES LLC,NP RESOURCES LLC
NUCOR ENERGY HOLDINGS,NUCOR CORP
NU-WEST INDUSTRIES,NUTRIEN
O BRIEN ENERGY RESOURCES CORPORATION,O BRIEN ENERGY RESOURCES CORP
O&G PROF-J&M RAYMOND,O&G PROF-J&M RAYMOND
OASIS PETROLEUM NORTH AMERICA LLC,CHORD ENERGY CORP
OCCIDENTAL PERMIAN LIMITED PARTNERSHIP,OCCIDENTAL PETROLEUM CORP
OCCIDENTAL PERMIAN LTD-TULSA,OCCIDENTAL PETROLEUM CORP
OGOG (GOM 1) INC,OG OIL & GAS LTD
OIL MOUNTAIN ENERGY INC,OIL MOUNTAIN ENERGY INC
OIL SEARCH ALASKA LLC,OIL SEARCH LTD
OKREEK OIL AND GAS LLC,OKREEK OIL AND GAS LLC
OM GEOTHERMAL LLC,OM GEOTHERMAL LLC
OMIMEX CANADALTD,THE OMIMEX GROUP
OMIMEX PETROLEUMINC,THE OMIMEX GROUP
ONSHORE ROYALTIES LLC,ONSHORE HOLDINGS LLC
OPAL OPERATING COMPANY LLC,OPAL RESOURCES LLC
ORMAT NEVADA INC,ORMAT NEVADA INC
ORMAT NEVADAINC,ORMAT NEVADA INC
ORNI 15,ORMAT NEVADA INC
ORNI 32 LLC,ORMAT NEVADA INC
ORNI 39 LLC,ORMAT NEVADA INC
ORNI 43 LLC,ORMAT NEVADA INC
ORNI 47 LLC,ORMAT NEVADA INC
ORSTED NORTH AMERICA INC,ORSTED A/S
OSAGE PARTNERS LLC,OSAGE PARTNERS LLC
"OSBORN HEIRS COMPANY, LTD.",OSBORN HEIRS CO LTD
OTT INC,OTT INC
OTTO ENERGY (GULF TWO) LLC,OTTO ENERGY LTD
OTTO ENERGY LLC,OTTO ENERGY LTD
OVINTIV USA INC,ALENCO INC
OWN RESOURCES OPERATING LLC,OWN RESOURCES OPERATING LLC
OXBOW MINING LLC,OXBOW GROUP
OXY USA,OCCIDENTAL PETROLEUM CORP
OXY USA INC,OCCIDENTAL PETROLEUM CORP
OXY USAINC,OCCIDENTAL PETROLEUM CORP
OXY Y-1 COMPANY,OCCIDENTAL PETROLEUM CORP
P4 PRODUCTIONLLC,BAYER AG
PACE DIVERSIFIED CORPORATION,PACE DIVERSIFIED CORP
PACER ENERGYLLC,PACER ENERGY LLC
PACIFIC ENERGY & MINING CO,PACIFIC ENERGY & MINING CO
PACIFIC OPERATORS OFFSHORE LLC,PACIFIC OPERATORS OFFSHORE LLC
PACIFICORP ENERGY,BERKSHIRE HATHAWAY
PACIFICORP ENERGY FUEL RESOURCES,BERKSHIRE HATHAWAY
PADCO LLC,PADCO LLC
PAJARO ENERGY LLC,YATES INDUSTRIES LLC
PALMER PETROLEUM INC,PALMER PETROLEUM INC
PANTERA ENERGY COMPANY,PANTERA ENERGY CO
PAR MINERALS CORPORATION,PAR MINERALS CORP
PARADOX UPSTREAM LLC,PARADOX RESOURCES LLC
PARALLEL PETROLEUM LLC,PLL HOLDINGS LLC
PATUA ACQUISITION CO LLC,CYRQ ENERGY INC
PDC ENERGY INC,PDC ENERGY INC
PEABODY NATURAL GAS LLC,PEABODY ENERGY CORP
PEABODY NATURAL RESOURCES CO,PEABODY ENERGY CORP
PEABODY SOUTHEAST MINING LLC,PEABODY ENERGY CORP
PEABODY WESTERN COAL COMPANY,PEABODY ENERGY CORP
PEAK MINERALS INC,PEAK MINERALS INC
PEAK POWDER RIVER ACQUISITIONS LLC,PEAK POWDER RIVER RESOURCES LLC
PEAK POWDER RIVER RESOURCES LLC,PEAK E&P LLC
PEAKVIEW OIL CO LLC,PEAKVIEW ENERGY CO LLC
PENROC OIL CORPORATION,PENROC OIL CORP
PERCUSSION PETROLEUM OPERATING LLC,PERCUSSION PETROLEUM OPERATING LLC
PEREGRINE OIL & GAS IILLC,PEREGRINE OIL & GAS COMPANIES
PEREGRINE OIL & GASLP,PEREGRINE OIL & GAS COMPANIES
PEREGRINE PETROLEUM PARTNERS LTD,PEREGRINE PETROLEUM PARTNERS LTD
PETEX,PETEX LTD
PETRO HARVESTER OIL & GAS LLC,PETRO HARVESTER OIL & GAS LLC
PETRO HUNT LLC,PETRO-HUNT LLC
PETRO MEX LLC,PETRO VENTURES INC
PETRO RESOURCES INC,PETRO VENTURES INC
PETRO VENTURESINC,PETRO VENTURES INC
PETROBRAS AMERICA INC,PETROLEO BRASILEIRO SA - PETROBAS
PETROGULF CORPORATION,PETROGULF CORP
PETRO-HUNT DAKOTALLC,PETRO-HUNT LLC
PETRO-HUNT LLC,PETRO-HUNT LLC
PETROLEUM DEVELOPMENT CORPORATION,PDC ENERGY
PETROQUEST ENERGY LLC,PETROQUEST ENERGY LLC
PETROSHALE US INC,LUCERO ENERGY
PETROX RESOURCES INC,PETROX RESOURCES INC
PETROXINC,PETROX RESOURCES INC
PHILIP T SHARPLES TRUST,PHILIP T SHARPLES TRUST
PHILLIPS 66 COMPANY,PHILLIPS 66 CO
PHOENIX CAPITAL GROUP HOLDINGS LLC,PHOENIX CAPITAL GROUP HOLDINGS LLC
PHOENIX HYDROCARBONS OPER CORP,PHOENIX HYDROCARBONS OPERATING CORP
PHOENIXPRODUCTION COMPANY,BREITBURN ENERGY PARTNERS LP
PHX ENERGY LLC,PHX ENERGY LLC
PILLAR ENERGY,PETRO-HUNT LLC
PINE HAVEN RESOURCES LLC,PINE HAVEN RESOURCES LLC
PINE WAVE ENERGY PARTNERS OPERATING LLC,PINE WAVE ENERGY PARTNERS OPERATING LLC
PINEDALE ENERGY INC,UP ENERGY LLC
PINEDALE ENERGY PARTNERS OPERATING LLC,UP ENERGY LLC
PINEDALE INVESTMENTINC,PINEDALE INVESTMENT INC
PINNACLE OPERATING COMPANYINC,PINNACLE MINING CO LLC
PIONEER NATURAL RESOURCES USA INC,PIONEER NATURAL RESOURCES USA INC
PIONEER OIL & GAS,PIONEER OIL & GAS CORP
PLAINS MARKETINGL P,PLAINS GP HOLDINGS
PO&G OPERATING LLC,PO&G RESOURCES LP
POC-ILLC,POC-I LLC
"POGO OIL & GAS OPERATING, INC",POGO OIL AND GAS OPERATING INC
POGO OIL AND GAS OPERATING INC,POGO OIL AND GAS OPERATING INC
POWDER BATTALION HOLDINGS LLC,POWDER BATTALION HOLDINGS LLC
POWDER RIVER COAL LLC,PEABODY ENERGY CORP
PRE RESOURCES LLC,PRE RESOURCES LLC
PREMIER OIL AND GASINC,HARBOUR ENERGY PLC
PRESIDIO INVESTMENT HOLDINGS LLC,MORGAN STANLEY ENERGY PARTNERS
PRIDE ENERGY COMPANY,PRIDE ENERGY CO
PRIMA EXPLORATIONINC,PRIMA EXPLORATION INC
PRIMARY FUELS LLC,PRIMARY FUELS LLC
PRIME ROCK RESOURCES LLC,PRIME ROCK RESOURCES LLC
PRINCIPLE PETROLEUM PARTNERS LLC,PRINCIPLE PETROLEUM PARTNERS LLC
PRODUCTION GATHERING COMPANY,PRODUCTION GATHERING CO
PUBLIC SERVICE CO OF CO NG GRP,PUBLIC SERVICE CO OF CO NG GRP
QEP ENERGY COMPANY,DIAMONDBACK ENERGY INC
QUARTERNORTH ENERGY LLC,QUARTERNORTH ENERGY LLC
QUICKSILVER RESOURCES INC,QUICKSILVER RESOURCES INC
QUINEX ENERGY CORPORATION,QUINEX ENERGY CORP
R & R ROYALTYLTD,R & R ROYALTY LTD
RANGE PRODUCTION CORPORATION,RANGE PRODUCTION CORP
RANGEVIEW RESOURCES OPERATING CO LLC,RANGEVIEW RESOURCES OPERATING COMPANY LL
RASER POWER SYSTEMS LLC,MACQUARIE INFRASTRUCTURE AND REAL ASSETS
RAVEN FOREST OPERATING LLC,RAVEN FOREST OPERATING LLC
RAYBAW OPERATING LLC,RAYBAW OPERATING LLC
READ & STEVENSINCORPORATED,READ & STEVENS INC
REAGAN SMITH ENERGY SOLUTIONS INC,REAGAN SMITH ENERGY SOLUTIONS INC
RED FORK USA INVESTMENTS INC,BROOKSIDE ENERGY LTD
RED WILLOW GREAT PLAINS LLC,SOUTHERN UTE INDIAN TRIBE
RED WILLOW OFFSHORELLC,SOUTHERN UTE INDIAN TRIBE
RED WILLOW PRODUCTION CO,SOUTHERN UTE INDIAN TRIBE
REDLAND RESOURCES INC,REDLAND RESOURCES INC
REDWOLF PRODUCTIONINC,REDWOLF PRODUCTION INC
REDWOOD OPERATING LLC,REDWOOD OPERATING LLC
REGENERATE ALASKA INC,REGENERATE ALASKA INC
REGENERATION ENERGY CORP,REGENERATION ENERGY CORP
RELIABLE PRODUCTION LLC,RELIABLE PRODUCTION LLC
RELIANCE ENERGY INC,RELIANCE ENERGY INC
REMNANT OIL OPERATING LLC,REMNANT OIL OPERATING LLC
RENAISSANCE OFFSHORE LLC,RENAISSANCE OFFSHORE LLC
RENOS LAND & MINERALS,DEVON ENERGY CORP
REPSOL E&P USA INC,REPSOL SA
REPSOL OIL & GAS USA LLC,REPSOL SA
RESOLUTE NATURAL RESOURCES,RESOLUTE ENERGY CORP
RESOURCE DEVELOPMENT TECHNOLOGY LLC,RESOURCE DEVELOPMENT TECHNOLOGY LLC
RETAMCO OPERATING INC,RETAMCO OPERATING INC
REVELATION ENERGY LLC,REVELATION ENERGY LLC
REVOLUTION WIND LLC,REVOLUTION WIND LLC
RICHARDSON OPERATING COMPANY,RICHARDSON OPERATING CO
RIDGE RUNNER RESOURCES OPERATING LLC,RIDGE RUNNER RESOURCES OPERATING LLC
RIDGELAKE ENERGYINC,RIDGELAKE ENERGY INC
RIDGEWOOD ENERGY CORPORATION,RIDGEWOOD COMPANIES
RIDGEWOOD ENERGY OIL & GAS FUND II LP,RIDGEWOOD COMPANIES
RIDGEWOOD ENERGY OIL & GAS FUND III LP,RIDGEWOOD COMPANIES
RIDGEWOOD ENERGY OIL & GAS FUND IV LP,RIDGEWOOD COMPANIES
RIM OPERATING INC,RIM OPERATING INC
RIMROCK OIL & GAS WILLISTON LLC,RIMROCK OIL & GAS LLC
RIO ENERGY INTERNATIONAL INC,RIO ENERGY INTERNATIONAL INC
RIVERSIDE ENERGY MICHIGAN LLC,RIVERSIDE ENERGY HOLDINGS
RIVERSIDE MINERALS LLC,RIVERSIDE MINERALS LLC
RIVIERA OPERATING LLC,RIVIERA RESOURCES INC
ROAN RESOURCES LLC,CITIZEN ENERGY OPERATING LLC
ROBERT L BAYLESSPRODUCER,ROBERT L BAYLESS PRODUCER LLC
ROBERT LBAYLESSPRODUCER LLC,ROBERT L BAYLESS PRODUCER LLC
ROCKIES RESOURCES HOLDINGS LLC,ROCKIES RESOURCES LLC
ROCKY MOUNTAIN CRUDE OIL LLC,RMCO HOLDINGS LLC
RODATHERM ENERGY CORPORATION,RODATHERM ENERGY CORP
RODDY PRODUCTION COMPANYLLC,RODDY PRODUCTION CO LLC
