Payor Name,Corporate Name
BLACK WARRIOR METHANE CORP,BLACK WARRIOR METHANE CORP
BLACKCOMB ENERGY LLC,BLACKCOMB ENERGY LLC
BLACKJEWEL LLC,BLACKJEWEL LLC
BLUE DOLPHIN PIPE LINE COMPANY,BLUE DOLPHIN PRODUCTION LLC
BLUE DOLPHIN PRODUCTIONLLC,BLUE DOLPHIN PRODUCTION LLC
BLUE DOME OPERATING LLC,BLUE DOME OPERATING LLC
BLUE MOUNTAIN ENERGYINC,BLUE MOUNTAIN ENERGY INC
BLUE SPRUCE OPERATING LLC,BLUE SPRUCE OPERATING LLC
BLUEPOINT WIND LLC,BLUEPOINT WIND LLC
BLUESTONE NATURAL RESOURCES II LLC,BLUESTONE NATURAL RESOURCES LLC
BNI COALLTD,BNI ENERGY INC
BOE EXPLORATION & PRODUCTION LLC,BOE E&P LLC
BOIS D ARC EXPLORATION LLC,STONE ENERGY CORP
BONANZA CREEK OPERATING COLLC,CIVITAS RESOURCES INC
BOPCO LP,EXXON MOBIL CORP
BOPCOL P,EXXON MOBIL CORP
BOREALIS ALASKA OIL INC,BOREALIS ALASKA OIL INC
BOWIE RESOURCES LLC,BOWIE RESOURCES LLC
BP AMERICA PRODUCTION COMPANY,BP PLC
BP AMERICAN PRODUCTION COMPANY,BP PLC
BPX OPERATING COMPANY,BP PLC
BRADY POWER PARTNERS,ORMAT TECHNOLOGIES INC
BRAVO ARKOMA LLC,BRAVO NATURAL RESOURCES LLC
BRAZOS LIMITED PARTNERSHIP,BRAZOS LP
BREITBURN OPERATING L P,MAVERICK NATURAL RESOURCES LLC
BRG PETROLEUM LLC,CHESAPEAKE ENERGY CORP
BRIGHT ROCK ENERGY LLC,DEUTSCHE ROHSTOFF GROUP
BRO ENERGYLLC,BRO ENERGY LLC
BRONCO UTAH RESERVES INC.,BRONCO UTAH RESERVES INC
BROWER OIL AND GAS COMPANYINC,BROWER OIL AND GAS CO INC
BRUIN E&P OPERATING LLC,ENERPLUS CORP
BTA OIL PRODUCERSLLC,BTA OIL PRODUCERS LLC
BURGUNDY O&G OF NEW MEXICO INC,BURGUNDY OIL & GAS OF NEW MEXICO INC
BURLINGTON RESOURCES O&G CO LP,CONOCOPHILLIPS
BURLINGTON RESOURCES OIL & GAS,CONOCOPHILLIPS
BURLINGTON RESOURCES OIL AND GAS,CONOCOPHILLIPS
BURLINGTON RESOURCES OIL&GASCO,CONOCOPHILLIPS
BURLINGTONRESOURCES,CONOCOPHILLIPS
BURNETT OIL CO INC,BURNETT OIL CO INC
BUZZARDS BENCH LLC,BUZZARDS BENCH LLC
BXP OPERATING,BXP LTD
BYRON ENERGY INC,BYRON ENERGY LTD
C & J FIELD SERVICES,C & J GRAVEL PRODUCTS INC
CABALLO COAL COMPANY,PEABODY ENERGY CORP
CABOT OIL & GAS CORP,COTERRA ENERGY
CAERUS CROSS TIMBERS LLC,CAERUS OIL AND GAS LLC
CAERUS PICEANCE LLC,CAERUS OIL AND GAS LLC
CAERUS UINTA LLC,CAERUS OIL AND GAS LLC
CAERUS WASHCO LLC,CAERUS OIL AND GAS LLC
CALIFORNIA RESOURCES PRODUCTION CORP,CALIFORNIA RESOURCES CORP
CALLON PETROLEUM CO,CALLON PETROLEUM CO
CALNRG OPERATING LLC,CALIFORNIA NATURAL RESOURCES GROUP
CALPINE CALISTOGA HOLDINGS LLC,CALPINE CORP
CALYPSO EXPLORATIONLLC,STEPHENS NATURAL RESOURCES LLC
CAMTERRA RESOURCES INC,CAMTERRA RESOURCES INC
CANTIUM LLC,CANTIUM LLC
CANYON FUEL CO LLC-SKYLINE MNS,BOWIE RESOURCE PARTNERS
CANYON FUEL COLLC-DUGOUT CYN,BOWIE RESOURCE PARTNERS
CANYON FUEL COLLC-SUFCO MINE,BOWIE RESOURCE PARTNERS
CARBON CALIFORNIA COMPANY LLC,EVERGREEN RESOURCES INC
CARBON CREEK ENERGY LLC,CARBON CREEK ENERGY LLC
CARPENTER & SONS INC,CARPENTER & SONS INC
CARRELL OIL COMPANY,CARRELL OIL CO
CASILLAS PETROLEUM CORP,CASILLAS PETROLEUM CORP
CASILLAS PETROLEUM RESOURCE PARTNERS LLC,CASILLAS PETROLEUM RESOURCE PARTNERS LLC
CASSIDY AMERICAN RESOURCES LLC,TRIBUTE OIL & GAS LLC
CASTEX OFFSHORE INC,CASTEX ENERGY PARTNERS LP
CATAMOUNT ENERGY PARTNERS LLC,CATAMOUNT ENERGY PARTNERS LLC
CATHER-HERLEY,CATHER-HERLEY OIL CO
CAZA OPERATINGLLC,CAZA OIL & GAS INC
CEMEX,CEMEX
CENTENNIAL RESOURCE DEVELOPMENT INC,PERMIAN RESOURCES CORP
CENTURY OIL AND GAS LLC,CENTURY NATURAL RESOURCES LLC
CENTURY OIL AND GAS SOUTH LLC,CENTURY NATURAL RESOURCES LLC
CHACO ENERGY COMPANY,ENERGY FUTURE HOLDINGS CORP
CHAPARRAL ENERGY LLC,CHAPARRAL ENERGY LLC
CHAPARRAL ENERGYL L C,CHAPARRAL ENERGY LLC
CHARTER ENERGY PARTNERS LLC,CHARTER ENERGY PARTNERS LLC
CHARTER OAK PRODUCTION CO LLC,CHARTER ENERGY PARTNERS LLC
CHEMILY MANAGEMENT COMPANY,CHEMILY MANAGEMENT CO
CHESAPEAKE APPALACHIA LLC,CHESAPEAKE ENERGY CORP
CHESAPEAKE EXPLORATION LLC,CHESAPEAKE ENERGY CORP
CHESAPEAKE EXPLORATION LP,CHESAPEAKE ENERGY CORP
CHESAPEAKE OPERATINGLLC,CHESAPEAKE ENERGY CORP
CHEVRON MIDCONTINENTLP ROYALTY ONLY,CHEVRON CORP
