, URL, Mobile_Performance, Mobile_Accessibility, Mobile_Best_Practices, Mobile_SEO, Desktop_Performance, Desktop_Accessibility, Desktop_Best_Practices, Desktop_SEO,
,https://revenuedata.doi.gov/,38,90,100,97,82,90,100,97,
,https://revenuedata.doi.gov/explore/,65,85,79,95,64,85,79,95,
,https://revenuedata.doi.gov/query-data/,73,92,86,100,75,92,86,100,
,https://revenuedata.doi.gov/downloads/,81,100,86,100,85,100,86,100,
,https://revenuedata.doi.gov/glossary/,56.99999999999999,84,86,91,82,84,86,91,
,https://revenuedata.doi.gov/how-revenue-works/,82,99,86,100,73,99,86,100
