period,calendar_year,fiscal_year,month,month_long,fiscal_month,period_date,location_name,fips_code,state,state_name,county,land_class,land_category,land_type,region_type,district_type,offshore_region,commodity,product,revenue,duplicate_no,row_number
Monthly,2008,2008,1,January,4,2008-01-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Coal,"",4788215.12,0,41
Monthly,2008,2008,1,January,4,2008-01-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Copper,"",150000,0,42
Monthly,2008,2008,1,January,4,2008-01-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Gas,"",2109.96,0,43
Monthly,2008,2008,1,January,4,2008-01-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",NGL,"",3440.65,0,44
Monthly,2008,2008,1,January,4,2008-01-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Oil,"",-903.44,0,45
Monthly,2008,2008,1,January,4,2008-01-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Oil & Gas,"",-173478.26,0,46
Monthly,2008,2008,1,January,4,2008-01-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Sand & Gravel,"",25000,0,47
Monthly,2008,2008,1,January,4,2008-01-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Coal,"",-65234.56,0,48
Monthly,2008,2008,1,January,4,2008-01-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Oil & Gas,"",102668.39,0,49
Monthly,2008,2008,1,January,4,2008-01-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Coal,"",5721721.16,0,50
Monthly,2008,2008,1,January,4,2008-01-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Gas,"",19538176.78,0,51
Monthly,2008,2008,1,January,4,2008-01-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",NGL,"",2735749.97,0,52
Monthly,2008,2008,1,January,4,2008-01-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Oil,"",8903597.65,0,53
Monthly,2008,2008,1,January,4,2008-01-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Other Products,"",80256.97,0,54
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Oil & Gas,"",629077931,0,55
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"",Not tied to a location,"","",Federal,Offshore,Federal Offshore,"","","",Gas,"",20090.93,0,56
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"",Not tied to a location,"","",Federal,Offshore,Federal Offshore,"","","",NGL,"",2883.77,0,57
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"",Not tied to a location,"","",Federal,Offshore,Federal Offshore,"","","",Oil,"",605129.9,0,58
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"",Not tied to a location,"","",Federal,Offshore,Federal Offshore,"","","",Oil & Gas,"",4451287.99,0,59
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Oil & Gas,"",12873314.3,0,60
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Gas,"",240128191.28,0,61
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",NGL,"",29219160.76,0,62
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Oil,"",312936211.6,0,63
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Other Products,"",11077.2,0,64
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Coal,"",214677491.26,0,65
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Oil & Gas,"",19597975.75,0,66
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Coal,"",998859.87,0,67
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Gas,"",4061.42,0,68
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Geothermal,"",-60057.84,0,69
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Gilsonite,"",1080,0,70
