period,calendar_year,fiscal_year,month,month_long,fiscal_month,period_date,location_name,fips_code,state,state_name,county,land_class,land_category,land_type,region_type,district_type,offshore_region,commodity,product,revenue,duplicate_no,row_number
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Coal,"",285394.24,0,173
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Gas,"",2651.7,0,174
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Geothermal,"",2034.9,0,175
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Hardrock,"",18747,0,176
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Oil & Gas,"",13263013.99,0,177
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Phosphate,"",25640,0,178
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Potassium,"",-26386.31,0,179
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Sodium,"",-20697.51,0,180
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Coal,"",59163.39,0,181
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Geothermal,"",24034.22,0,182
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Hardrock,"",3098,0,183
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Oil & Gas,"",4121247.7,0,184
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Phosphate,"",-2396,0,185
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Potassium,"",1160,0,186
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Sodium,"",10244,0,187
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Coal,"",60262488.96,0,188
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Gas,"",227196940.85,0,189
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",NGL,"",30223151.92,0,190
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Oil,"",89629598.57,0,191
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Other Products,"",9874560.93,0,192
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"","","","",Federal,"",Federal - not tied to a location,"","","",Not tied to a commodity,"",107812.5,0,193
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"",Not tied to a location,"","",Federal,"",Federal - not tied to a location,"","","",Not tied to a commodity,"",-21985.53,0,194
