Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Land and Water Conservation Fund,Specific Fund,Land & Water Conservation Fund,Royalties,GOMESA offshore,Gas,"",427064.68,0,26
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Land and Water Conservation Fund,Specific Fund,Land & Water Conservation Fund,Royalties,GOMESA offshore,Oil,"",5410423.74,0,27
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Land and Water Conservation Fund,Specific Fund,Land & Water Conservation Fund,Rents & Bonuses,GOMESA offshore,Oil & Gas,"",213919.75,0,28
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Land and Water Conservation Fund,Specific Fund,Land & Water Conservation Fund,Royalties,GOMESA offshore,Oil & Gas,"",-370252.11,0,29
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Lease Process Improvement (BLM),Specific Fund,Lease Process Improvement (BLM),Rents & Bonuses,Onshore,Coal,"",-250591.23,0,30
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Lease Process Improvement (BLM),Specific Fund,Lease Process Improvement (BLM),Rents & Bonuses,Onshore,Copper,"",10,0,31
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Lease Process Improvement (BLM),Specific Fund,Lease Process Improvement (BLM),Rents & Bonuses,Onshore,Gilsonite,"",10,0,32
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Lease Process Improvement (BLM),Specific Fund,Lease Process Improvement (BLM),Rents & Bonuses,Onshore,Oil & Gas,"",463523.56,0,33
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Lease Process Improvement (BLM),Specific Fund,Lease Process Improvement (BLM),Rents & Bonuses,Onshore,Phosphate,"",-1037.5,0,34
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Lease Process Improvement (BLM),Specific Fund,Lease Process Improvement (BLM),Rents & Bonuses,Onshore,Sodium,"",-649.5,0,35
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Native American tribes and individuals,Native American tribes and individuals,Native American Tribes & Allottees,Other Distributions,Onshore,Not tied to a commodity,"",2896202.96,0,36
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Native American tribes and individuals,Native American tribes and individuals,Native American Tribes & Allottees,Other Distributions,Onshore,Coal,"",463.79,0,37
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Native American tribes and individuals,Native American tribes and individuals,Native American Tribes & Allottees,Rents & Bonuses,Onshore,Coal,"",-17098.72,0,38
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Native American tribes and individuals,Native American tribes and individuals,Native American Tribes & Allottees,Royalties,Onshore,Coal,"",7444615.58,0,39
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Native American tribes and individuals,Native American tribes and individuals,Native American Tribes & Allottees,Other Distributions,Onshore,Gas,"",-898.03,0,40
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Native American tribes and individuals,Native American tribes and individuals,Native American Tribes & Allottees,Royalties,Onshore,Gas,"",16190253.08,0,41
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Native American tribes and individuals,Native American tribes and individuals,Native American Tribes & Allottees,Other Distributions,Onshore,Oil,"",-9018.78,0,42
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Native American tribes and individuals,Native American tribes and individuals,Native American Tribes & Allottees,Royalties,Onshore,Oil,"",77016718.44,0,43
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Native American tribes and individuals,Native American tribes and individuals,Native American Tribes & Allottees,Other Distributions,Onshore,Oil & Gas,"",-936442.8,0,44
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Native American tribes and individuals,Native American tribes and individuals,Native American Tribes & Allottees,Rents & Bonuses,Onshore,Oil & Gas,"",542871.43,0,45
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Native American tribes and individuals,Native American tribes and individuals,Native American Tribes & Allottees,Royalties,Onshore,Oil & Gas,"",59070.57,0,46
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Reclamation Fund,Specific Fund,Reclamation Fund,Other Distributions,Onshore,Coal,"",3842.85,0,47
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Reclamation Fund,Specific Fund,Reclamation Fund,Rents & Bonuses,Onshore,Coal,"",368640,0,48
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Reclamation Fund,Specific Fund,Reclamation Fund,Royalties,Onshore,Coal,"",16623964.02,0,49
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Reclamation Fund,Specific Fund,Reclamation Fund,Other Distributions,Onshore,Gas,"",-22.63,0,50
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Reclamation Fund,Specific Fund,Reclamation Fund,Royalties,Onshore,Gas,"",30500813.74,0,51
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Reclamation Fund,Specific Fund,Reclamation Fund,Other Distributions,Onshore,Gilsonite,"",48,0,52
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Reclamation Fund,Specific Fund,Reclamation Fund,Royalties,Onshore,Gilsonite,"",72006.26,0,53
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Reclamation Fund,Specific Fund,Reclamation Fund,Other Distributions,Onshore,Oil,"",-87.42,0,54
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Reclamation Fund,Specific Fund,Reclamation Fund,Royalties,Onshore,Oil,"",54252281.61,0,55
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Reclamation Fund,Specific Fund,Reclamation Fund,Other Distributions,Onshore,Oil & Gas,"",4770143.15,0,56
Monthly,2018,2019,10,October,1,2018-10-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Reclamation Fund,Specific Fund,Reclamation Fund,Rents & Bonuses,Onshore,Oil & Gas,"",3506,0,57
