period,calendar_year,fiscal_year,month,month_long,fiscal_month,period_date,location_name,fips_code,state,state_name,county,land_class,land_category,land_type,region_type,district_type,offshore_region,commodity,product,volume,duplicate_no,row_number
Monthly,2003,2003,1,January,4,2003-01-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Gas,Gas (mcf),388912405,0,2
Monthly,2003,2003,1,January,4,2003-01-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Oil,Oil (bbl),51902064,0,3
Monthly,2003,2003,1,January,4,2003-01-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Coal,Coal (tons),37822686,0,4
Monthly,2003,2003,1,January,4,2003-01-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Gas,Gas (mcf),253570099,0,5
Monthly,2003,2003,1,January,4,2003-01-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Oil,Oil (bbl),8410708,0,6
Monthly,2003,2003,1,January,4,2003-01-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Coal,Coal (tons),2400984,0,7
Monthly,2003,2003,1,January,4,2003-01-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Gas,Gas (mcf),33558894,0,8
Monthly,2003,2003,1,January,4,2003-01-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Oil,Oil (bbl),999840,0,9
Monthly,2003,2003,2,February,5,2003-02-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Gas,Gas (mcf),357135900,0,10
Monthly,2003,2003,2,February,5,2003-02-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Oil,Oil (bbl),47525866,0,11
Monthly,2003,2003,2,February,5,2003-02-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Coal,Coal (tons),33743641,0,12
Monthly,2003,2003,2,February,5,2003-02-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Gas,Gas (mcf),233888260,0,13
Monthly,2003,2003,2,February,5,2003-02-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Oil,Oil (bbl),7493581,0,14
Monthly,2003,2003,2,February,5,2003-02-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Coal,Coal (tons),2329191,0,15
Monthly,2003,2003,2,February,5,2003-02-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Gas,Gas (mcf),29709696,0,16
Monthly,2003,2003,2,February,5,2003-02-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Oil,Oil (bbl),898897,0,17
Monthly,2003,2003,3,March,6,2003-03-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Gas,Gas (mcf),403710487,0,18
Monthly,2003,2003,3,March,6,2003-03-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Oil,Oil (bbl),52454393,0,19
Monthly,2003,2003,3,March,6,2003-03-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Coal,Coal (tons),34916953,0,20
Monthly,2003,2003,3,March,6,2003-03-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Gas,Gas (mcf),256897770,0,21
Monthly,2003,2003,3,March,6,2003-03-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Oil,Oil (bbl),8337346,0,22
Monthly,2003,2003,3,March,6,2003-03-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Coal,Coal (tons),2144013,0,23
Monthly,2003,2003,3,March,6,2003-03-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Gas,Gas (mcf),32568168,0,24
Monthly,2003,2003,3,March,6,2003-03-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Oil,Oil (bbl),963003,0,25
Monthly,2003,2003,4,April,7,2003-04-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Gas,Gas (mcf),392131061,0,26
Monthly,2003,2003,4,April,7,2003-04-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Oil,Oil (bbl),49827275,0,27
Monthly,2003,2003,4,April,7,2003-04-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Coal,Coal (tons),35430343,0,28
Monthly,2003,2003,4,April,7,2003-04-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Gas,Gas (mcf),242692369,0,29
Monthly,2003,2003,4,April,7,2003-04-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Oil,Oil (bbl),7928603,0,30
Monthly,2003,2003,4,April,7,2003-04-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Coal,Coal (tons),2526695,0,31
Monthly,2003,2003,4,April,7,2003-04-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Gas,Gas (mcf),30727963,0,32
Monthly,2003,2003,4,April,7,2003-04-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Oil,Oil (bbl),935474,0,33
Monthly,2003,2003,5,May,8,2003-05-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Gas,Gas (mcf),396856114,0,34
Monthly,2003,2003,5,May,8,2003-05-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Oil,Oil (bbl),50379253,0,35
Monthly,2003,2003,5,May,8,2003-05-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Coal,Coal (tons),36677762,0,36
Monthly,2003,2003,5,May,8,2003-05-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Gas,Gas (mcf),237888717,0,37
Monthly,2003,2003,5,May,8,2003-05-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Oil,Oil (bbl),8245098,0,38
Monthly,2003,2003,5,May,8,2003-05-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Coal,Coal (tons),2860051,0,39
Monthly,2003,2003,5,May,8,2003-05-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Gas,Gas (mcf),31517001,0,40
Monthly,2003,2003,5,May,8,2003-05-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Oil,Oil (bbl),949557,0,41
Monthly,2003,2003,6,June,9,2003-06-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Gas,Gas (mcf),374519636,0,42
Monthly,2003,2003,6,June,9,2003-06-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Oil,Oil (bbl),49264615,0,43
Monthly,2003,2003,6,June,9,2003-06-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Coal,Coal (tons),37340028,0,44
Monthly,2003,2003,6,June,9,2003-06-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Gas,Gas (mcf),236642042,0,45
Monthly,2003,2003,6,June,9,2003-06-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Oil,Oil (bbl),7935881,0,46
Monthly,2003,2003,6,June,9,2003-06-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Coal,Coal (tons),2417336,0,47
Monthly,2003,2003,6,June,9,2003-06-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Gas,Gas (mcf),31016504,0,48
Monthly,2003,2003,6,June,9,2003-06-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Oil,Oil (bbl),899813,0,49
Monthly,2003,2003,7,July,10,2003-07-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Gas,Gas (mcf),366434604,0,50
Monthly,2003,2003,7,July,10,2003-07-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Oil,Oil (bbl),48285432,0,51
Monthly,2003,2003,7,July,10,2003-07-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Coal,Coal (tons),37367365,0,52
Monthly,2003,2003,7,July,10,2003-07-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Gas,Gas (mcf),244493439,0,53
