Date,Fund Type,Local Recipient,Recipient,Source,Land Category,State,County,FIPS Code,Revenue Type,Disbursement
12/01/2018,State,State,State and local governments,Onshore,Onshore,Oklahoma,"","",Royalties,-5805.93
12/01/2018,State,State,State and local governments,Onshore,Onshore,Oklahoma,"","",Sequestration,-24310.07
12/01/2018,Bureau of Safety & Environmental Enforcement,"",Other funds,Offshore,Offshore,"","","",Other Distributions,1227010.20
12/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,Offshore,Offshore,"","","",Royalties,372145432.62
12/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,GOMESA offshore,Offshore,"","","",Royalties,19215662.86
12/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,Offshore,Offshore,"","","",Other Distributions,-413942.99
12/01/2018,Land & Water Conservation Fund,Land and Water Conservation Fund,Land and Water Conservation Fund,GOMESA offshore,Offshore,"","","",Royalties,4803915.37
12/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,Offshore,Offshore,"","","",Rents & Bonuses,9863924.00
12/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,GOMESA offshore,Offshore,"","","",Rents & Bonuses,66837313.47
12/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,Offshore,Offshore,"","","",Royalties,6.55
12/01/2018,Bureau of Ocean Energy Management,"",Other funds,Offshore,Offshore,"","","",Rents & Bonuses,4971547.05
12/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,GOMESA offshore,Offshore,"","","",Royalties,2879202.73
12/01/2018,Land & Water Conservation Fund,Land and Water Conservation Fund,Land and Water Conservation Fund,GOMESA offshore,Offshore,"","","",Rents & Bonuses,16288371.37
12/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,Offshore,Offshore,"","","",Other Distributions,3967918.98
12/01/2018,Bureau of Safety & Environmental Enforcement,"",Other funds,Offshore,Offshore,"","","",Rents & Bonuses,2134168.43
12/01/2018,Land & Water Conservation Fund,Land and Water Conservation Fund,Land and Water Conservation Fund,GOMESA offshore,Offshore,"","","",Royalties,719800.67
12/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,Offshore,Offshore,"","","",Rents & Bonuses,727315.58
12/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,Offshore,Offshore,"","","",Royalties,36306674.03
12/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,GOMESA offshore,Offshore,"","","",Royalties,2064367.91
12/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,Offshore,Offshore,"","","",Other Distributions,9873.26
12/01/2018,Land & Water Conservation Fund,Land and Water Conservation Fund,Land and Water Conservation Fund,GOMESA offshore,Offshore,"","","",Royalties,516091.47
12/01/2018,State,State,State and local governments,Onshore,Onshore,Arizona,"","",Rents & Bonuses,6191.50
12/01/2018,State,State,State and local governments,Onshore,Onshore,Arizona,"","",Royalties,-123.83
12/01/2018,State,State,State and local governments,Onshore,Onshore,Arizona,"","",Sequestration,-376.2
12/01/2018,State,State,State and local governments,8(g) offshore,Offshore,Alabama,"","",Royalties,228700.46
12/01/2018,State,State,State and local governments,8(g) offshore,Offshore,Alabama,"","",Other Distributions,57707.67
12/01/2018,State,State,State and local governments,8(g) offshore,Offshore,Alabama,"","",Royalties,-0.43
12/01/2018,State,State,State and local governments,8(g) offshore,Offshore,Alabama,"","",Royalties,-134850.00
12/01/2018,State,State,State and local governments,Onshore,Onshore,Nevada,"","",Rents & Bonuses,58546.07
12/01/2018,State,State,State and local governments,Onshore,Onshore,Nevada,"","",Other Distributions,10166.83
12/01/2018,State,State,State and local governments,Onshore,Onshore,Nevada,"","",Royalties,213341.42
12/01/2018,State,State,State and local governments,Onshore,Onshore,Nevada,"","",Rents & Bonuses,69087.50
12/01/2018,State,State,State and local governments,Onshore,Onshore,Nevada,"","",Other Distributions,2422.35
12/01/2018,State,State,State and local governments,Onshore,Onshore,Nevada,"","",Royalties,189163.60
12/01/2018,State,State,State and local governments,Onshore,Onshore,Nevada,"","",Other Distributions,15.1
12/01/2018,State,State,State and local governments,Onshore,Onshore,Nevada,"","",Royalties,-10854.56
12/01/2018,State,State,State and local governments,Onshore,Onshore,Nevada,"","",Sequestration,-32977.08
12/01/2018,State,State,State and local governments,Onshore,Onshore,North Carolina,"","",Rents & Bonuses,-33.11
12/01/2018,State,State,State and local governments,Onshore,Onshore,North Carolina,"","",Other Distributions,33.11
12/01/2018,State,State,State and local governments,Onshore,Onshore,Washington,"","",Royalties,117.39
12/01/2018,State,State,State and local governments,Onshore,Onshore,Washington,"","",Royalties,-2.35
12/01/2018,State,State,State and local governments,Onshore,Onshore,Washington,"","",Sequestration,-7.13
12/01/2018,State,State,State and local governments,Onshore,Onshore,Pennsylvania,"","",Royalties,15.97
12/01/2018,State,State,State and local governments,Onshore,Onshore,Pennsylvania,"","",Other Distributions,138.7
12/01/2018,State,State,State and local governments,Onshore,Onshore,Pennsylvania,"","",Sequestration,-9.59
12/01/2018,State,State,State and local governments,8(g) offshore,Offshore,Mississippi,"","",Royalties,4052.39
12/01/2018,State,State,State and local governments,8(g) offshore,Offshore,Mississippi,"","",Royalties,65106.00
12/01/2018,U.S. TreasuryAI,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Royalties,3713.33
12/01/2018,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Royalties,11536378.13
12/01/2018,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Other Distributions,1531.26
12/01/2018,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Rents & Bonuses,395670.25
12/01/2018,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Royalties,98607.50
12/01/2018,State,State,State and local governments,Onshore,Onshore,Illinois,"","",Royalties,14126.30
12/01/2018,State,State,State and local governments,Onshore,Onshore,Illinois,"","",Sequestration,-875.83
12/01/2018,State,County,State and local governments,Onshore,Onshore,California,Imperial,"06025",Sequestration,-280.37
12/01/2018,State,County,State and local governments,Onshore,Onshore,California,Imperial,"06025",Royalties,4522.09
12/01/2018,U.S. TreasuryAI,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Other Distributions,0.3
12/01/2018,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Other Distributions,848803.33
12/01/2018,U.S. TreasuryAI,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Royalties,2443.73
12/01/2018,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Royalties,83369588.96
12/01/2018,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Other Distributions,-8070.18
12/01/2018,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Rents & Bonuses,0
12/01/2018,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Royalties,6053300.73
12/01/2018,U.S. TreasuryAI,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Rents & Bonuses,21102.77
12/01/2018,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Other Distributions,847749.43
12/01/2018,State,County,State and local governments,Onshore,Onshore,California,Inyo,"06027",Sequestration,-14.07
12/01/2018,State,County,State and local governments,Onshore,Onshore,California,Inyo,"06027",Royalties,226.98
12/01/2018,State,State,State and local governments,Onshore,Onshore,Kansas,"","",Royalties,28509.95
12/01/2018,State,State,State and local governments,Onshore,Onshore,Kansas,"","",Rents & Bonuses,4498.00
12/01/2018,State,State,State and local governments,Onshore,Onshore,Kansas,"","",Other Distributions,1514.04
12/01/2018,State,State,State and local governments,Onshore,Onshore,Kansas,"","",Royalties,3.77
12/01/2018,State,County,State and local governments,Onshore,Onshore,California,Lake,"06033",Sequestration,-3758.26
12/01/2018,State,County,State and local governments,Onshore,Onshore,California,Lake,"06033",Royalties,60617.11
12/01/2018,State,County,State and local governments,Onshore,Onshore,Utah,Millard,"49027",Rents & Bonuses,1025.25
12/01/2018,State,County,State and local governments,Onshore,Onshore,Utah,Millard,"49027",Royalties,1108.01
12/01/2018,State,County,State and local governments,Onshore,Onshore,Utah,Millard,"49027",Sequestration,-132.26
12/01/2018,State,County,State and local governments,Onshore,Onshore,Utah,Beaver,"49001",Rents & Bonuses,4501.50
12/01/2018,State,County,State and local governments,Onshore,Onshore,Utah,Beaver,"49001",Royalties,9668.78
12/01/2018,State,County,State and local governments,Onshore,Onshore,Utah,Beaver,"49001",Sequestration,-878.56
12/01/2018,State,State,State and local governments,Onshore,Onshore,Kansas,"","",Royalties,23892.30
12/01/2018,State,State,State and local governments,Onshore,Onshore,Kansas,"","",Other Distributions,4.64
12/01/2018,State,State,State and local governments,Onshore,Onshore,Kansas,"","",Royalties,-1167.98
12/01/2018,State,State,State and local governments,Onshore,Onshore,Kansas,"","",Sequestration,-3549.79
12/01/2018,State,County,State and local governments,Onshore,Onshore,California,Lassen,"06035",Sequestration,-310.1
12/01/2018,State,County,State and local governments,Onshore,Onshore,California,Lassen,"06035",Royalties,5001.62
12/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Washoe,"32031",Rents & Bonuses,4148.50
12/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Washoe,"32031",Other Distributions,4110.04
12/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Washoe,"32031",Royalties,1933.95
12/01/2018,State,County,State and local governments,Onshore,Onshore,California,Mono,"06051",Sequestration,-69.4
12/01/2018,State,County,State and local governments,Onshore,Onshore,California,Mono,"06051",Royalties,1119.28
12/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Washoe,"32031",Sequestration,-631.93
12/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Pershing,"32027",Rents & Bonuses,3780.75
12/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Pershing,"32027",Other Distributions,29.07
12/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Pershing,"32027",Royalties,102.02
12/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Pershing,"32027",Sequestration,-242.53
12/01/2018,State,County,State and local governments,Onshore,Onshore,California,Sonoma,"06097",Sequestration,-5610.56
12/01/2018,State,County,State and local governments,Onshore,Onshore,California,Sonoma,"06097",Royalties,90492.95
12/01/2018,State,State,State and local governments,Onshore,Onshore,Arkansas,"","",Sequestration,-6328.17
12/01/2018,State,State,State and local governments,Onshore,Onshore,Arkansas,"","",Royalties,-1051.70
12/01/2018,State,State,State and local governments,Onshore,Onshore,Arkansas,"","",Other Distributions,12.5
12/01/2018,State,State,State and local governments,Onshore,Onshore,Arkansas,"","",Other Distributions,7101.91
12/01/2018,State,State,State and local governments,Onshore,Onshore,Arkansas,"","",Rents & Bonuses,796.12
12/01/2018,State,State,State and local governments,Onshore,Onshore,Arkansas,"","",Other Distributions,0.14
12/01/2018,State,State,State and local governments,Onshore,Onshore,Arkansas,"","",Royalties,95207.98
12/01/2018,State,State,State and local governments,Onshore,Onshore,Arkansas,"","",Royalties,0.26
12/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Mineral,"32021",Rents & Bonuses,3776.44
12/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Mineral,"32021",Royalties,10683.16
12/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Mineral,"32021",Sequestration,-896.5
12/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Lyon,"32019",Rents & Bonuses,760
12/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Lyon,"32019",Royalties,300.89
12/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Lyon,"32019",Sequestration,-65.78
12/01/2018,State,County,State and local governments,Onshore,Onshore,New Mexico,Dona Ana,"35013",Sequestration,-383.63
12/01/2018,State,County,State and local governments,Onshore,Onshore,New Mexico,Dona Ana,"35013",Rents & Bonuses,6187.50
01/01/2019,State,State,State and local governments,Onshore,Onshore,Virginia,"","",Royalties,588.24
01/01/2019,State,State,State and local governments,Onshore,Onshore,Virginia,"","",Sequestration,-36.47
01/01/2019,State,State,State and local governments,Onshore,Onshore,Utah,"","",Royalties,3632.03
01/01/2019,State,State,State and local governments,Onshore,Onshore,Utah,"","",Rents & Bonuses,-65
01/01/2019,State,County,State and local governments,Onshore,Onshore,Nevada,Eureka,"32011",Sequestration,-11.22
01/01/2019,U.S. TreasuryAI,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Royalties,3566.89
01/01/2019,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Royalties,8476351.86
01/01/2019,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Other Distributions,-287.73
01/01/2019,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Rents & Bonuses,227955.26
01/01/2019,U.S. TreasuryAI,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Other Distributions,394.93
01/01/2019,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Other Distributions,-6928358.73
01/01/2019,U.S. TreasuryAI,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Royalties,1510.04
01/01/2019,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Royalties,68303038.36
01/01/2019,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Other Distributions,-7309.45
01/01/2019,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Other Distributions,4517658.29
01/01/2019,State,County,State and local governments,Onshore,Onshore,Nevada,Mineral,"32021",Sequestration,-716.43
01/01/2019,U.S. Treasury,U.S. Treasury,U.S. Treasury,Onshore,Onshore,"","","",Other Distributions,90005.11
01/01/2019,Lease Process Improvement (BLM),"",Other funds,Onshore,Onshore,"","","",Rents & Bonuses,99995.75
01/01/2019,State,State,State and local governments,Onshore,Onshore,Illinois,"","",Other Distributions,105
01/01/2019,State,State,State and local governments,Onshore,Onshore,Illinois,"","",Royalties,704.25
01/01/2019,State,State,State and local governments,Onshore,Onshore,Illinois,"","",Sequestration,-50.17
01/01/2019,Reclamation Fund,Reclamation Fund,Reclamation Fund,Onshore,Onshore,"","","",Royalties,234573.96
01/01/2019,U.S. Treasury,U.S. Treasury,U.S. Treasury,Onshore,Onshore,"","","",Rents & Bonuses,352
01/01/2019,U.S. Treasury,U.S. Treasury,U.S. Treasury,Onshore,Onshore,"","","",Royalties,59069.57
01/01/2019,Forest Service,"",Other funds,Onshore,Onshore,"","","",Other Distributions,-316126.40
01/01/2019,State,County,State and local governments,Onshore,Onshore,California,Imperial,"06025",Sequestration,-274.14
01/01/2019,State,County,State and local governments,Onshore,Onshore,California,Imperial,"06025",Royalties,4421.60
01/01/2019,State,County,State and local governments,Onshore,Onshore,New Mexico,Hidalgo,"35023",Royalties,538.52
01/01/2019,State,County,State and local governments,Onshore,Onshore,New Mexico,Hidalgo,"35023",Sequestration,-33.39
01/01/2019,State,State,State and local governments,Onshore,Onshore,Arkansas,"","",Royalties,72391.62
01/01/2019,State,State,State and local governments,Onshore,Onshore,Arkansas,"","",Royalties,0.82
01/01/2019,State,State,State and local governments,Onshore,Onshore,Louisiana,"","",Royalties,128641.03
01/01/2019,State,State,State and local governments,Onshore,Onshore,Louisiana,"","",Rents & Bonuses,191.25
01/01/2019,State,State,State and local governments,Onshore,Onshore,Louisiana,"","",Other Distributions,863.04
01/01/2019,State,State,State and local governments,Onshore,Onshore,Louisiana,"","",Royalties,50390.62
01/01/2019,State,State,State and local governments,Onshore,Onshore,Louisiana,"","",Royalties,-1424.17
01/01/2019,State,State,State and local governments,Onshore,Onshore,Louisiana,"","",Sequestration,-11077.04
01/01/2019,State,State,State and local governments,Onshore,Onshore,Utah,"","",Other Distributions,-360
01/01/2019,State,State,State and local governments,Onshore,Onshore,Utah,"","",Royalties,63511.12
01/01/2019,State,State,State and local governments,Onshore,Onshore,Utah,"","",Royalties,2324357.45
01/01/2019,State,State,State and local governments,Onshore,Onshore,Utah,"","",Rents & Bonuses,8325.00
01/01/2019,State,State,State and local governments,Onshore,Onshore,Utah,"","",Other Distributions,2.22
01/01/2019,Reclamation Fund,Reclamation Fund,Reclamation Fund,Onshore,Onshore,"","","",Rents & Bonuses,1278.00
01/01/2019,State,State,State and local governments,Onshore,Onshore,Utah,"","",Royalties,1117748.19
01/01/2019,U.S. Treasury,U.S. Treasury,U.S. Treasury,Offshore,Offshore,"","","",Rents & Bonuses,486821.15
01/01/2019,U.S. Treasury,U.S. Treasury,U.S. Treasury,Offshore,Offshore,"","","",Royalties,31232363.34
01/01/2019,State,State,State and local governments,Onshore,Onshore,Kansas,"","",Royalties,27718.65
01/01/2019,State,State,State and local governments,Onshore,Onshore,Kansas,"","",Rents & Bonuses,186.44
01/01/2019,State,State,State and local governments,Onshore,Onshore,Kansas,"","",Other Distributions,10.8
01/01/2019,State,State,State and local governments,Onshore,Onshore,Utah,"","",Other Distributions,6.04
01/01/2019,State,State,State and local governments,Onshore,Onshore,Utah,"","",Royalties,-113908.10
01/01/2019,State,State,State and local governments,Onshore,Onshore,Utah,"","",Sequestration,-346841.05
01/01/2019,State,County,State and local governments,Onshore,Onshore,California,Inyo,"06027",Sequestration,-1269.67
01/01/2019,State,County,State and local governments,Onshore,Onshore,California,Inyo,"06027",Royalties,20478.51
01/01/2019,State,County,State and local governments,Onshore,Onshore,California,Lassen,"06035",Sequestration,-92.16
01/01/2019,State,County,State and local governments,Onshore,Onshore,California,Lassen,"06035",Royalties,1486.50
01/01/2019,State,State,State and local governments,Onshore,Onshore,North Dakota,"","",Royalties,861571.65
01/01/2019,State,State,State and local governments,Onshore,Onshore,Kansas,"","",Royalties,3.73
01/01/2019,State,State,State and local governments,Onshore,Onshore,Kansas,"","",Royalties,29754.13
01/01/2019,State,State,State and local governments,Onshore,Onshore,Kansas,"","",Royalties,-1151.83
01/01/2019,State,State,State and local governments,Onshore,Onshore,Kansas,"","",Sequestration,-3504.36
01/01/2019,State,State,State and local governments,Onshore,Onshore,North Dakota,"","",Rents & Bonuses,2467.00
01/01/2019,State,State,State and local governments,Onshore,Onshore,North Dakota,"","",Other Distributions,124375.65
01/01/2019,State,State,State and local governments,Onshore,Onshore,North Dakota,"","",Other Distributions,-146.72
01/01/2019,State,State,State and local governments,Onshore,Onshore,North Dakota,"","",Royalties,8148035.19
01/01/2019,State,State,State and local governments,Onshore,Onshore,North Dakota,"","",Rents & Bonuses,5301.50
01/01/2019,State,County,State and local governments,Onshore,Onshore,California,Lake,"06033",Sequestration,-3852.39
01/01/2019,State,County,State and local governments,Onshore,Onshore,California,Lake,"06033",Royalties,62135.28
01/01/2019,State,State,State and local governments,Onshore,Onshore,North Dakota,"","",Royalties,94254.01
01/01/2019,State,State,State and local governments,Onshore,Onshore,North Dakota,"","",Other Distributions,0.83
01/01/2019,State,County,State and local governments,Onshore,Onshore,Utah,Millard,"49027",Royalties,1150.69
01/01/2019,State,County,State and local governments,Onshore,Onshore,Utah,Millard,"49027",Sequestration,-71.34
01/01/2019,State,State,State and local governments,Onshore,Onshore,North Dakota,"","",Royalties,-93805.85
01/01/2019,State,State,State and local governments,Onshore,Onshore,North Dakota,"","",Sequestration,-566807.30
01/01/2019,State,State,State and local governments,Onshore,Onshore,Michigan,"","",Sequestration,-88.44
01/01/2019,State,State,State and local governments,Onshore,Onshore,Michigan,"","",Royalties,-29.11
01/01/2019,State,State,State and local governments,Onshore,Onshore,Michigan,"","",Royalties,997.57
01/01/2019,State,State,State and local governments,Onshore,Onshore,Michigan,"","",Other Distributions,9.59
01/01/2019,State,County,State and local governments,Onshore,Onshore,Utah,Beaver,"49001",Royalties,17863.78
01/01/2019,State,County,State and local governments,Onshore,Onshore,Utah,Beaver,"49001",Sequestration,-1107.55
01/01/2019,State,State,State and local governments,Onshore,Onshore,Michigan,"","",Royalties,448.38
01/01/2019,U.S. Treasury,U.S. Treasury,U.S. Treasury,GOMESA offshore,Offshore,"","","",Royalties,2503934.80
01/01/2019,U.S. Treasury,U.S. Treasury,U.S. Treasury,Offshore,Offshore,"","","",Other Distributions,20171.04
01/01/2019,Land & Water Conservation Fund,Land and Water Conservation Fund,Land and Water Conservation Fund,GOMESA offshore,Offshore,"","","",Royalties,625983.11
01/01/2019,State,State,State and local governments,Onshore,Onshore,Wyoming,"","",Royalties,15911938.50
01/01/2019,State,State,State and local governments,Onshore,Onshore,Wyoming,"","",Rents & Bonuses,22533.50
01/01/2019,State,State,State and local governments,Onshore,Onshore,Wyoming,"","",Other Distributions,66823.50
01/01/2019,State,State,State and local governments,Onshore,Onshore,Wyoming,"","",Royalties,550752.96
01/01/2019,State,State,State and local governments,Onshore,Onshore,Wyoming,"","",Rents & Bonuses,271009.75
01/01/2019,State,State,State and local governments,Onshore,Onshore,Wyoming,"","",Other Distributions,1657524.00
01/01/2019,State,State,State and local governments,Onshore,Onshore,Wyoming,"","",Royalties,235548.46
01/01/2019,State,State,State and local governments,Onshore,Onshore,Wyoming,"","",Royalties,13300909.06
01/01/2019,State,State,State and local governments,Onshore,Onshore,Wyoming,"","",Rents & Bonuses,15699.00
01/01/2019,State,State,State and local governments,Onshore,Onshore,Wyoming,"","",Other Distributions,0
01/01/2019,State,State,State and local governments,Onshore,Onshore,Wyoming,"","",Royalties,14651353.48
01/01/2019,State,State,State and local governments,Onshore,Onshore,Wyoming,"","",Other Distributions,2533.59
01/01/2019,State,State,State and local governments,Onshore,Onshore,Wyoming,"","",Royalties,-933681.84
01/01/2019,State,State,State and local governments,Onshore,Onshore,Wyoming,"","",Sequestration,-2836682.52
01/01/2019,State,County,State and local governments,Onshore,Onshore,Nevada,Eureka,"32011",Royalties,180.97
01/01/2019,State,County,State and local governments,Onshore,Onshore,California,Mono,"06051",Sequestration,-73.73
01/01/2019,State,County,State and local governments,Onshore,Onshore,California,Mono,"06051",Royalties,1189.17
01/01/2019,Reclamation Fund,Reclamation Fund,Reclamation Fund,Onshore,Onshore,"","","",Other Distributions,2810646.66
01/01/2019,Bureau of Land Management,"",Other funds,Onshore,Onshore,"","","",Other Distributions,593.12
01/01/2019,U.S. Treasury,U.S. Treasury,U.S. Treasury,Onshore,Onshore,"","","",Other Distributions,795621.70
01/01/2019,Lease Process Improvement (BLM),"",Other funds,Onshore,Onshore,"","","",Rents & Bonuses,425020.89
01/01/2019,Forest Service,"",Other funds,Onshore,Onshore,"","","",Royalties,1.67
01/01/2019,Reclamation Fund,Reclamation Fund,Reclamation Fund,Onshore,Onshore,"","","",Royalties,1796692.88
01/01/2019,U.S. Treasury,U.S. Treasury,U.S. Treasury,Onshore,Onshore,"","","",Rents & Bonuses,84266.00
01/01/2019,Forest Service,"",Other funds,Onshore,Onshore,"","","",Rents & Bonuses,61667.87
01/01/2019,U.S. Treasury,U.S. Treasury,U.S. Treasury,Onshore,Onshore,"","","",Royalties,449250.42
01/01/2019,Fish & Wildlife,"",Other funds,Onshore,Onshore,"","","",Other Distributions,-8406.12
01/01/2019,Lease Process Improvement (BLM),"",Other funds,Onshore,Onshore,"","","",Rents & Bonuses,-65
01/01/2019,Reclamation Fund,Reclamation Fund,Reclamation Fund,Onshore,Onshore,"","","",Royalties,50808.89
01/01/2019,U.S. Treasury,U.S. Treasury,U.S. Treasury,Onshore,Onshore,"","","",Rents & Bonuses,460
01/01/2019,State,State,State and local governments,8(g) offshore,Offshore,Alabama,"","",Royalties,233098.56
01/01/2019,State,State,State and local governments,8(g) offshore,Offshore,Alabama,"","",Other Distributions,-85941.03
01/01/2019,State,County,State and local governments,Onshore,Onshore,Idaho,Cassia,"16031",Sequestration,-141.17
01/01/2019,State,State,State and local governments,Onshore,Onshore,Alaska,"","",Sequestration,-60826.44
01/01/2019,State,State,State and local governments,Onshore,Onshore,Alaska,"","",Royalties,-16716.69
01/01/2019,State,State,State and local governments,Onshore,Onshore,Alaska,"","",Royalties,469806.90
01/01/2019,State,State,State and local governments,Onshore,Onshore,Alaska,"","",Other Distributions,3788.12
01/01/2019,State,State,State and local governments,Onshore,Onshore,Alaska,"","",Other Distributions,5189.86
01/01/2019,State,State,State and local governments,Onshore,Onshore,Alaska,"","",Royalties,519003.47
01/01/2019,U.S. Treasury,U.S. Treasury,U.S. Treasury,Onshore,Onshore,"","","",Royalties,12702.22
01/01/2019,Forest Service,"",Other funds,Onshore,Onshore,"","","",Other Distributions,-3207.75
01/01/2019,Reclamation Fund,Reclamation Fund,Reclamation Fund,Onshore,Onshore,"","","",Other Distributions,-117.25
01/01/2019,U.S. Treasury,U.S. Treasury,U.S. Treasury,Onshore,Onshore,"","","",Other Distributions,3758.78
01/01/2019,Forest Service,"",Other funds,Onshore,Onshore,"","","",Royalties,8716160.86
01/01/2019,Reclamation Fund,Reclamation Fund,Reclamation Fund,Onshore,Onshore,"","","",Royalties,51122402.55
01/01/2019,U.S. Treasury,U.S. Treasury,U.S. Treasury,Onshore,Onshore,"","","",Royalties,16127453.08
01/01/2019,Bureau of Land Management,"",Other funds,Onshore,Onshore,"","","",Royalties,176613.05
01/01/2019,Fish & Wildlife,"",Other funds,Onshore,Onshore,"","","",Royalties,52455.82
01/01/2019,Forest Service,"",Other funds,Onshore,Onshore,"","","",Royalties,55779.62
01/01/2019,State,State,State and local governments,8(g) offshore,Offshore,Alaska,"","",Royalties,120282.37
01/01/2019,State,State,State and local governments,8(g) offshore,Offshore,Alabama,"","",Royalties,0.01
01/01/2019,State,State,State and local governments,8(g) offshore,Offshore,Alabama,"","",Royalties,-134850.00
01/01/2019,State,State,State and local governments,Onshore,Onshore,Kentucky,"","",Royalties,472.73
01/01/2019,State,State,State and local governments,Onshore,Onshore,Kentucky,"","",Other Distributions,5549.32
01/01/2019,State,State,State and local governments,Onshore,Onshore,Kentucky,"","",Royalties,14260.39
01/01/2019,State,State,State and local governments,Onshore,Onshore,Kentucky,"","",Sequestration,-1257.51
01/01/2019,State,County,State and local governments,Onshore,Onshore,Idaho,Cassia,"16031",Rents & Bonuses,2277.00
01/01/2019,Reclamation Fund,Reclamation Fund,Reclamation Fund,Onshore,Onshore,"","","",Rents & Bonuses,129312.00
01/01/2019,Reclamation Fund,Reclamation Fund,Reclamation Fund,Onshore,Onshore,"","","",Other Distributions,1273.24
01/01/2019,U.S. Treasury,U.S. Treasury,U.S. Treasury,Onshore,Onshore,"","","",Other Distributions,318.31
01/01/2019,Lease Process Improvement (BLM),"",Other funds,Onshore,Onshore,"","","",Rents & Bonuses,47140.50
01/01/2019,Forest Service,"",Other funds,Onshore,Onshore,"","","",Royalties,75828.18
01/01/2019,Reclamation Fund,Reclamation Fund,Reclamation Fund,Onshore,Onshore,"","","",Royalties,14807976.58
01/01/2019,U.S. Treasury,U.S. Treasury,U.S. Treasury,Onshore,Onshore,"","","",Rents & Bonuses,32328.00
01/01/2019,U.S. Treasury,U.S. Treasury,U.S. Treasury,Onshore,Onshore,"","","",Royalties,3724119.72
01/01/2019,U.S. Treasury,U.S. Treasury,U.S. Treasury,Onshore,Onshore,"","","",Other Distributions,218197.72
01/01/2019,U.S. Treasury,U.S. Treasury,U.S. Treasury,Onshore,Onshore,"","","",Rents & Bonuses,0
01/01/2019,U.S. Treasury,U.S. Treasury,U.S. Treasury,Onshore,Onshore,"","","",Royalties,2635920.33
