Date,Fund Type,Local Recipient,Recipient,Source,Land Category,State,County,FIPS Code,Revenue Type,Disbursement
10/01/2018,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Other Distributions,463.79
10/01/2018,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Royalties,7444615.58
10/01/2018,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Rents & Bonuses,-17098.72
10/01/2018,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Other Distributions,-9018.78
10/01/2018,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Royalties,77016718.44
10/01/2018,U.S. TreasuryAI,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Royalties,2288.90
10/01/2018,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Other Distributions,-936442.80
10/01/2018,U.S. TreasuryAI,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Other Distributions,73.91
10/01/2018,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Royalties,59070.57
10/01/2018,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Rents & Bonuses,542871.43
10/01/2018,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Other Distributions,-898.03
10/01/2018,Native American Tribes & Allottees,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Royalties,16190253.08
10/01/2018,State,State,State and local governments,Onshore,Onshore,Illinois,"","",Sequestration,-656.9
10/01/2018,State,State,State and local governments,Onshore,Onshore,Illinois,"","",Royalties,10354.74
10/01/2018,State,County,State and local governments,Onshore,Onshore,California,Inyo,"06027",Royalties,34085.18
10/01/2018,State,County,State and local governments,Onshore,Onshore,California,Inyo,"06027",Sequestration,3323.90
10/01/2018,U.S. TreasuryAI,Native American tribes and individuals,Native American tribes and individuals,Onshore,Onshore,"","","",Royalties,3833.43
10/01/2018,State,State,State and local governments,Onshore,Onshore,Louisiana,"","",Sequestration,121585.73
10/01/2018,State,State,State and local governments,Onshore,Onshore,Louisiana,"","",Royalties,-1259.33
10/01/2018,State,State,State and local governments,Onshore,Onshore,Louisiana,"","",Royalties,60302.89
10/01/2018,State,State,State and local governments,Onshore,Onshore,Louisiana,"","",Other Distributions,3191.18
10/01/2018,State,State,State and local governments,Onshore,Onshore,Louisiana,"","",Rents & Bonuses,15290.90
10/01/2018,State,State,State and local governments,Onshore,Onshore,Louisiana,"","",Royalties,12320.81
10/01/2018,State,State,State and local governments,Onshore,Onshore,Illinois,"","",Other Distributions,240.47
10/01/2018,State,County,State and local governments,Onshore,Onshore,California,Imperial,"06025",Rents & Bonuses,2899.50
10/01/2018,State,County,State and local governments,Onshore,Onshore,California,Imperial,"06025",Royalties,2298.02
10/01/2018,State,County,State and local governments,Onshore,Onshore,California,Imperial,"06025",Sequestration,6466.48
10/01/2018,State,State,State and local governments,8(g) offshore,Offshore,Mississippi,"","",Royalties,65106.00
10/01/2018,State,State,State and local governments,8(g) offshore,Offshore,Mississippi,"","",Royalties,5063.04
10/01/2018,State,State,State and local governments,8(g) offshore,Offshore,Alabama,"","",Royalties,-134850.00
10/01/2018,State,State,State and local governments,8(g) offshore,Offshore,Alabama,"","",Royalties,158.02
10/01/2018,State,State,State and local governments,Onshore,Onshore,Pennsylvania,"","",Sequestration,-16.26
10/01/2018,State,State,State and local governments,Onshore,Onshore,Pennsylvania,"","",Other Distributions,247.05
10/01/2018,State,State,State and local governments,Onshore,Onshore,Pennsylvania,"","",Royalties,15.17
10/01/2018,State,State,State and local governments,8(g) offshore,Offshore,Alaska,"","",Other Distributions,6509.98
10/01/2018,State,State,State and local governments,8(g) offshore,Offshore,Alaska,"","",Royalties,122573.59
10/01/2018,State,State,State and local governments,8(g) offshore,Offshore,Alabama,"","",Other Distributions,-29535.18
10/01/2018,State,State,State and local governments,8(g) offshore,Offshore,Alabama,"","",Royalties,27.67
10/01/2018,State,State,State and local governments,8(g) offshore,Offshore,Alabama,"","",Royalties,246343.56
10/01/2018,State,State,State and local governments,Onshore,Onshore,Washington,"","",Sequestration,522.41
10/01/2018,State,State,State and local governments,Onshore,Onshore,Washington,"","",Royalties,-5.9
10/01/2018,State,State,State and local governments,Onshore,Onshore,Washington,"","",Royalties,294.76
