Fiscal Year,Fund Type,Source,State,Disbursement
1994,State and local governments,Onshore,Arkansas,"$1,201,130.00 "
1994,State and local governments,Offshore,California,"$24,207,390.00 "
1994,State and local governments,Onshore,California,"$21,543,355.00 "
1994,State and local governments,Onshore,Colorado,"$34,371,348.00 "
1994,State and local governments,Offshore,Florida,"$14,307.00 "
1994,State and local governments,Onshore,Florida,"$80,736.00 "
1994,State and local governments,Onshore,Georgia,$46.00 
1994,State and local governments,Onshore,Idaho,"$2,509,727.00 "
1994,State and local governments,Onshore,Illinois,"$207,365.00 "
1994,State and local governments,Onshore,Indiana,$98.00 
1994,State and local governments,Onshore,Kansas,"$1,056,669.00 "
