Fiscal Year,Fund Type,Source,State,Disbursement
1985,Reclamation Fund,Onshore,,"$415,688,000.00 "
1985,State and local governments,Onshore,Alabama,"$200,458.00 "
1985,State and local governments,Onshore,Alaska,"$23,937,081.00 "
1985,State and local governments,Onshore,Arizona,"$1,128,549.00 "
1985,State and local governments,Onshore,Arkansas,"$718,046.00 "
1985,State and local governments,Onshore,California,"$41,833,064.00 "
1985,State and local governments,Onshore,Colorado,"$42,751,331.00 "
1985,State and local governments,Onshore,Florida,"$72,611.00 "
1985,State and local governments,Onshore,Idaho,"$3,766,487.00 "
1985,State and local governments,Onshore,Kansas,"$761,295.00 "
1985,State and local governments,Onshore,Louisiana,"$794,590.00 "
1985,State and local governments,Onshore,Michigan,"$44,373.00 "
1985,State and local governments,Onshore,Minnesota,"$1,929.00 "
1985,State and local governments,Onshore,Mississippi,"$1,073,211.00 "
1985,State and local governments,Onshore,Montana,"$21,139,956.00 "
1985,State and local governments,Onshore,Nebraska,"$320,315.00 "
1985,State and local governments,Onshore,Nevada,"$9,903,122.00 "
1985,State and local governments,Onshore,New Mexico,"$149,877,913.00 "
1985,State and local governments,Onshore,North Dakota,"$9,481,557.00 "
1985,State and local governments,Onshore,Ohio,$165.00 
1985,State and local governments,Onshore,Oklahoma,"$2,929,256.00 "
1985,State and local governments,Onshore,Oregon,"$1,760,930.00 "
1985,State and local governments,Onshore,South Dakota,"$1,227,062.00 "
1985,State and local governments,Onshore,Texas,"$11,136.00 "
1985,State and local governments,Onshore,Utah,"$34,770,623.00 "
1985,State and local governments,Onshore,Washington,"$640,504.00 "
1985,State and local governments,Onshore,West Virginia,"$27,750.00 "
1985,State and local governments,Onshore,Wyoming,"$199,777,595.00 "
1985,U.S. Treasury & Other Government Agencies,,,"$4,744,317,000.00 "
1986,Historic Preservation Fund,Offshore,,"$150,000,000.00 "
1986,Land and Water Conservation Fund,Offshore,,"$755,224,000.00 "
1986,Native American tribes and individuals,Onshore,,"$122,865,000.00 "
1986,Reclamation Fund,Onshore,,"$339,624,000.00 "
