Fiscal Year,Land Class,Land Category,State,County,FIPS Code,Offshore Region,Product,Volume
2003,Federal,Onshore,Michigan,Oscoda,"26135","",Gas (mcf),1265444
2003,Federal,Onshore,Oklahoma,Lincoln,"40081","",Oil (bbl),10906
2003,Federal,Onshore,Oklahoma,Lincoln,"40081","",Gas (mcf),188799
2003,Federal,Onshore,South Dakota,Harding,"46063","",Gas (mcf),1767497
2003,Federal,Onshore,South Dakota,Harding,"46063","",Oil (bbl),132627
2003,Federal,Onshore,California,Kern,"06029","",Oil (bbl),14497235
2003,Federal,Onshore,California,Kern,"06029","",Gas (mcf),1548611
2003,Federal,Onshore,Virginia,Dickenson,"51051","",Gas (mcf),300547
2003,Federal,Onshore,Ohio,Licking,"39089","",Oil (bbl),158
2003,Federal,Onshore,Michigan,Otsego,"26137","",Gas (mcf),18798
2003,Mixed Exploratory,Onshore,Wyoming,Fremont,"56013","",Oil (bbl),18261
2003,Federal,Onshore,Kansas,Morton,"20129","",Oil (bbl),37955
2003,Federal,Onshore,New Mexico,Mckinley,"35031","",Coal (ton),1874253
2003,Federal,Onshore,Kansas,Morton,"20129","",Gas (mcf),4960549
2003,Federal,Onshore,Virginia,Giles,"51071","",Limestone (ton),189956
2003,Federal,Onshore,Mississippi,Jones,"28067","",Gas (mcf),1884
2003,Federal,Onshore,Mississippi,Jones,"28067","",Oil (bbl),627
2003,Federal,Onshore,Kansas,Gove,"20063","",Oil (bbl),1990
2003,Federal,Onshore,Utah,Grand,"49019","",Gas (mcf),4746187
2003,Mixed Exploratory,Onshore,Wyoming,Fremont,"56013","",Gas (mcf),266709
2003,Federal,Onshore,Michigan,Roscommon,"26143","",Oil (bbl),6293
2003,Federal,Onshore,Oklahoma,Logan,"40083","",Oil (bbl),15
2003,Federal,Onshore,Oklahoma,Logan,"40083","",Gas (mcf),454
2003,Federal,Onshore,New Mexico,Mckinley,"35031","",Gas (mcf),12726
2003,Federal,Onshore,New Mexico,Mckinley,"35031","",Oil (bbl),21717
2003,Federal,Onshore,Michigan,Roscommon,"26143","",Gas (mcf),14671
2003,Mixed Exploratory,Onshore,Wyoming,Uinta,"56041","",Oil (bbl),224
2003,Federal,Onshore,Montana,Toole,"30101","",Oil (bbl),48332
2003,Federal,Onshore,New Mexico,Eddy,"35015","",Langbeinite (ton),839326
2003,Federal,Onshore,Mississippi,Jeffer Davis,"28065","",Gas (mcf),13518
2003,Federal,Onshore,Mississippi,Jeffer Davis,"28065","",Oil (bbl),46
2003,Federal,Onshore,New Mexico,Eddy,"35015","",Muriate of potash-standard (ton),80802
2003,Federal,Onshore,New Mexico,Eddy,"35015","",Muriate of potash-granular (ton),256830
2003,Mixed Exploratory,Onshore,Wyoming,Uinta,"56041","",Gas (mcf),9257
2003,Federal,Onshore,Alabama,Bibb,"01007","",Clay (ton),58434
2003,Federal,Onshore,South Dakota,Fall River,"46047","",Gas (mcf),10465
2003,Federal,Onshore,South Dakota,Fall River,"46047","",Oil (bbl),33210
2003,Federal,Onshore,Nebraska,Hitchcock,"31087","",Oil (bbl),6129
2003,Federal,Onshore,Nevada,Churchill,"32001","","Geothermal - electrical generation, kilowatt hours (kwh)",610972587
2003,Federal,Onshore,Nevada,Churchill,"32001","","Geothermal - direct utilization, hundreds of gallons (cgal)",79971425
2003,Federal,Onshore,Alabama,Lamar,"01075","",Gas (mcf),4380
2003,Federal,Onshore,Alabama,Lamar,"01075","",Oil (bbl),1883
2003,Federal,Onshore,North Dakota,Divide,"38023","",Gas (mcf),65
2003,Federal,Onshore,California,Kings,"06031","",Oil (bbl),31976
2003,Federal,Onshore,California,Kings,"06031","",Gas (mcf),158559
2003,Federal,Onshore,Utah,Grand,"49019","",Oil (bbl),97244
2003,Federal,Onshore,Colorado,Gunnison,"08051","",Oil (bbl),310
2003,Federal,Onshore,Pennsylvania,Westmoreland,"42129","",Gas (mcf),9720
2003,Federal,Onshore,Pennsylvania,Indiana,"42063","",Gas (mcf),5693
2003,Federal,Onshore,North Dakota,Divide,"38023","",Oil (bbl),77
2003,Federal,Onshore,North Dakota,Mckenzie,"38053","",Oil (bbl),1067653
2003,Federal,Onshore,Texas,Wheeler,"48483","",Gas (mcf),3631
2003,Federal,Onshore,Mississippi,Jasper,"28061","",Gas (mcf),276
2003,Federal,Onshore,Mississippi,Jasper,"28061","",Oil (bbl),1
2003,Federal,Onshore,Missouri,Dent,"29065","",Copper concentrate (ton),1885
2003,Federal,Onshore,Missouri,Dent,"29065","",Zinc concentrate (ton),7118
2003,Federal,Onshore,Ohio,Muskingum,"39119","",Oil (bbl),282
2003,Federal,Onshore,Ohio,Muskingum,"39119","",Gas (mcf),24
2003,Federal,Onshore,Mississippi,Hancock,"28045","",Gas (mcf),2879
2003,Federal,Onshore,Mississippi,Hancock,"28045","",Oil (bbl),26
2003,Federal,Onshore,Oklahoma,Major,"40093","",Oil (bbl),33945
2003,Federal,Onshore,Kansas,Haskell,"20081","",Oil (bbl),30174
2003,Federal,Onshore,Oklahoma,Major,"40093","",Gas (mcf),1174628
2003,Federal,Onshore,Missouri,Dent,"29065","",Lead concentrate (ton),31009
2003,Federal,Onshore,Alabama,Choctaw,"01023","",Oil (bbl),110
2003,Federal,Onshore,Nevada,Clark,"32003","",Sand/gravel (ton),459714
2003,Federal,Onshore,Ohio,Hocking,"39073","",Oil (bbl),2212
2003,Federal,Onshore,North Dakota,Slope,"38087","",Oil (bbl),124001
2003,Federal,Onshore,North Dakota,Slope,"38087","",Gas (mcf),57993
2003,Federal,Onshore,Louisiana,Beauregard,"22011","",Oil (bbl),178
2003,Federal,Onshore,Oklahoma,Woodward,"40153","",Gas (mcf),429538
2003,Federal,Onshore,Oklahoma,Woodward,"40153","",Oil (bbl),2102
2003,Federal,Onshore,Missouri,Iron,"29093","",Copper concentrate (ton),5569
2003,Federal,Onshore,Missouri,Iron,"29093","",Zinc concentrate (ton),8512
2003,Federal,Onshore,Missouri,Iron,"29093","",Lead concentrate (ton),40975
2003,Federal,Onshore,North Dakota,Mountrail,"38061","",Oil (bbl),317
2003,Federal,Onshore,New Mexico,Rio Arriba,"35039","",Oil (bbl),849946
2003,Federal,Onshore,New Mexico,Rio Arriba,"35039","",Gas (mcf),302317868
2003,Federal,Onshore,California,San Bernardino,"06071","",Anhydrous sodium sulfate (ton),169750
2003,Federal,Onshore,California,San Bernardino,"06071","",Borax-decahydrate (ton),8791
2003,Federal,Onshore,California,San Bernardino,"06071","",Borax-anhydrous (ton),206
2003,Federal,Onshore,California,Lake,"06033","","Geothermal - electrical generation, thousands of pounds (klb)",23398882
2003,Federal,Onshore,New Mexico,Eddy,"35015","",Salt (ton),260806
2003,Federal,Onshore,California,San Bernardino,"06071","",Soda ash (ton),813171
2003,Federal,Onshore,New Mexico,Eddy,"35015","",Potash (ton),267979
2003,Federal,Onshore,New Mexico,Eddy,"35015","",Brine barrels (bbl),28321
2003,Federal,Onshore,New Mexico,Eddy,"35015","",Potassium sulphate-standard (ton),128353
2003,Federal,Onshore,California,San Bernardino,"06071","",Borax-pentahydrate (ton),8001
2003,Federal,Onshore,California,San Bernardino,"06071","",Salt (ton),25357
2003,Federal,Onshore,California,San Bernardino,"06071","",Boric acid (ton),18828
2003,Federal,Onshore,Oklahoma,Woods,"40151","",Gas (mcf),866974
2003,Federal,Onshore,New Mexico,Eddy,"35015","",Gas (mcf),212836176
2003,Federal,Onshore,New Mexico,Eddy,"35015","",Oil (bbl),19784274
2003,Federal,Onshore,Louisiana,Beauregard,"22011","",Gas (mcf),996
2003,Federal,Onshore,New Mexico,Dona Ana,"35013","","Geothermal - direct utilization, hundreds of gallons (cgal)",4160
2003,Federal,Onshore,Wyoming,Sheridan,"56033","",Gas (mcf),1723947
2003,Federal,Onshore,Nebraska,Kimball,"31105","",Oil (bbl),6446
2003,Federal,Onshore,Nebraska,Kimball,"31105","",Gas (mcf),33
2003,Federal,Onshore,Utah,Tooele,"49045","",Potash (ton),12881
2003,Federal,Onshore,Kansas,Haskell,"20081","",Gas (mcf),546590
2003,Federal,Onshore,California,Lassen,"06035","","Geothermal - direct utilization, millions of btus (mmbtu)",275711
2003,Federal,Onshore,Louisiana,Bienville,"22013","",Oil (bbl),65
2003,Federal,Onshore,Oklahoma,Woods,"40151","",Oil (bbl),10809
2003,Federal,Onshore,Missouri,Reynolds,"29179","",Copper concentrate (ton),2136
2003,Federal,Onshore,Louisiana,Bienville,"22013","",Gas (mcf),46669
2003,Federal,Onshore,Colorado,La Plata,"08067","",Coal (ton),292546
2003,Federal,Onshore,Mississippi,Franklin,"28037","",Gas (mcf),15037
2003,Federal,Onshore,Mississippi,Franklin,"28037","",Oil (bbl),105260
2003,Federal,Onshore,Missouri,Reynolds,"29179","",Zinc concentrate (ton),53926
2003,Federal,Onshore,Oklahoma,Mcintosh,"40091","",Gas (mcf),26816
2003,Federal,Onshore,Colorado,La Plata,"08067","",Gas (mcf),12699634
2003,Native American,Onshore,"","","","",Cinders (ton),9263
2003,Native American,Onshore,"","","","",Copper concentrate (ton),66764
2003,Native American,Onshore,"","","","",Gypsum (ton),657123
2003,Native American,Onshore,"","","","",Sand/gravel (cubic yards),269568
2003,Native American,Onshore,"","","","",Coal-bituminous-raw (ton),4225
2003,Native American,Onshore,"","","","",Coal (ton),30767577
2003,Native American,Onshore,"","","","","Geothermal - electrical generation, kilowatt hours (kwh)",994984
2003,Native American,Onshore,"","","","",Sand/gravel (ton),7671287
2003,Native American,Onshore,"","","","",Gas (mcf),382996007
2003,Native American,Onshore,"","","","",Oil (bbl),11276474
2003,Federal,Onshore,New York,Chautauqua,"36013","",Gas (mcf),14075
2003,Federal,Onshore,Missouri,Reynolds,"29179","",Lead concentrate (ton),199573
2003,Federal,Onshore,California,San Benito,"06069","",Gas (mcf),25
2003,Federal,Onshore,California,Los Angeles,"06037","",Oil (bbl),716024
2003,Federal,Onshore,California,Los Angeles,"06037","",Gas (mcf),128593
2003,Federal,Onshore,Colorado,La Plata,"08067","",Oil (bbl),72
2003,Federal,Onshore,Kansas,Seward,"20175","",Oil (bbl),591
2003,Federal,Onshore,California,San Benito,"06069","",Oil (bbl),1567
2003,Mixed Exploratory,Onshore,Wyoming,Campbell,"56005","",Gas (mcf),4860
2003,Mixed Exploratory,Onshore,Utah,Uintah,"49047","",Gas (mcf),63726
2003,Federal,Onshore,Wyoming,Hot Springs,"56017","",Oil (bbl),2581353
2003,Federal,Onshore,Montana,Rosebud,"30087","",Coal (ton),7687487
2003,Mixed Exploratory,Onshore,Utah,Emery,"49015","",Gas (mcf),57893
2003,Federal,Onshore,Oklahoma,Washita,"40149","",Gas (mcf),4832
2003,Federal,Onshore,Montana,Rosebud,"30087","",Gas (mcf),1340
2003,Federal,Onshore,Montana,Rosebud,"30087","",Oil (bbl),18383
2003,Federal,Onshore,Mississippi,Forrest,"28035","",Gas (mcf),37080
2003,Federal,Onshore,Mississippi,Forrest,"28035","",Oil (bbl),253
2003,Federal,Onshore,Oklahoma,Oklahoma,"40109","",Oil (bbl),10
2003,Federal,Onshore,Oklahoma,Oklahoma,"40109","",Gas (mcf),1596
2003,Federal,Onshore,Texas,Washington,"48477","",Gas (mcf),629593
2003,Federal,Onshore,Ohio,Perry,"39127","",Oil (bbl),298
2003,Federal,Onshore,Oklahoma,Washita,"40149","",Oil (bbl),215
2003,Federal,Onshore,Oklahoma,Tillman,"40141","",Oil (bbl),23145
2003,Federal,Onshore,Alabama,Covington,"01039","",Oil (bbl),287413
2003,Mixed Exploratory,Onshore,Utah,Uintah,"49047","",Oil (bbl),1848
2003,Federal,Onshore,Nevada,Eureka,"32011","","Geothermal - electrical generation, kilowatt hours (kwh)",2852857
2003,Federal,Onshore,Utah,Summit,"49043","",Gas (mcf),332384
2003,Federal,Onshore,Nebraska,Cheyenne,"31033","",Oil (bbl),35172
2003,Federal,Onshore,Mississippi,Covington,"28031","",Gas (mcf),1231
2003,Federal,Onshore,Texas,Washington,"48477","",Oil (bbl),16032
2003,Federal,Onshore,California,Sacramento,"06067","",Gas (mcf),4687074
2003,Federal,Onshore,California,Sacramento,"06067","",Oil (bbl),3657
2003,Mixed Exploratory,Onshore,Colorado,Las Animas,"08071","",Gas (mcf),229313
2003,Federal,Onshore,Texas,Taylor,"48441","",Gas (mcf),6288
2003,Federal,Onshore,Louisiana,Bossier,"22015","",Oil (bbl),33725
2003,Federal,Onshore,Texas,Wilbarger,"48487","",Gas (mcf),16111
2003,Federal,Onshore,Texas,Wilbarger,"48487","",Oil (bbl),1181
2003,Federal,Onshore,Mississippi,Covington,"28031","",Oil (bbl),390
2003,Federal,Onshore,Oklahoma,Payne,"40119","",Oil (bbl),110
2003,Federal,Onshore,Oklahoma,Payne,"40119","",Gas (mcf),64951
2003,Federal,Onshore,California,Mono,"06051","","Geothermal - electrical generation, kilowatt hours (kwh)",105039825
2003,Federal,Onshore,Louisiana,Bossier,"22015","",Gas (mcf),7455483
2003,Federal,Onshore,Nevada,Eureka,"32011","",Oil (bbl),52026
2003,Federal,Onshore,Oklahoma,Texas,"40139","",Gas (mcf),1520335
2003,Federal,Onshore,Wyoming,Converse,"56009","",Coal (ton),20455444
2003,Federal,Onshore,Montana,Yellowstone,"30111","",Oil (bbl),96
2003,Federal,Onshore,Oklahoma,Texas,"40139","",Oil (bbl),4879
2003,Federal,Onshore,Wyoming,Converse,"56009","",Gas (mcf),15997434
2003,Federal,Onshore,Mississippi,Clarke,"28023","",Oil (bbl),0
2003,Federal,Onshore,Oklahoma,Sequoyah,"40135","",Gas (mcf),32437
2003,Mixed Exploratory,Onshore,New Mexico,San Juan,"35045","",Gas (mcf),280100
2003,Federal,Onshore,North Dakota,Burke,"38013","",Oil (bbl),7895
2003,Federal,Onshore,Montana,Roosevelt,"30085","",Gas (mcf),7932
2003,Federal,Onshore,Oklahoma,Roger Mills,"40129","",Gas (mcf),4192614
2003,Federal,Onshore,Montana,Roosevelt,"30085","",Oil (bbl),6401
2003,Federal,Onshore,Arkansas,Sharp,"05135","",Gas (mcf),38889
2003,Federal,Onshore,Ohio,Portage,"39133","",Oil (bbl),11894
2003,Federal,Onshore,Mississippi,Chickasaw,"28017","",Gas (mcf),43926
2003,Federal,Onshore,Oklahoma,Pittsburg,"40121","",Gas (mcf),1498522
2003,Federal,Onshore,California,Monterey,"06053","",Oil (bbl),5235
2003,Federal,Onshore,California,Monterey,"06053","",Gas (mcf),1510
2003,Federal,Onshore,Ohio,Portage,"39133","",Gas (mcf),226498
2003,Federal,Onshore,Wyoming,Converse,"56009","",Oil (bbl),1097169
2003,Federal,Onshore,Oklahoma,Roger Mills,"40129","",Oil (bbl),16264
2003,Federal,Onshore,Mississippi,Adams,"28001","",Oil (bbl),31960
2003,Federal,Onshore,Kansas,Seward,"20175","",Gas (mcf),253468
2003,Federal,Onshore,North Dakota,Burke,"38013","",Gas (mcf),66462
2003,Federal,Onshore,Colorado,Garfield,"08045","",Coal (ton),290958
2003,Federal,Onshore,Colorado,Garfield,"08045","",Gas (mcf),39952955
2003,Federal,Onshore,Colorado,Garfield,"08045","",Oil (bbl),116071
2003,Federal,Onshore,Wyoming,Sublette,"56035","",Oil (bbl),3839869
