Calendar Year,Land Category,State,Offshore Region,Revenue Type,Commodity,Revenue
1982,Onshore,Kansas,,Royalty,Gas,"$1,584,177.00 "
1982,Onshore,Kansas,,Royalty,Oil,"$1,400,628.00 "
1982,Onshore,Kentucky,,Bonus,,"$52,893.00 "
1982,Onshore,Kentucky,,Royalty,Gas,"$34,590.00 "
1982,Onshore,Kentucky,,Royalty,Oil,"$17,205.00 "
1982,Onshore,Louisiana,,Bonus,,$800.00 
1982,Onshore,Louisiana,,Royalty,Gas,"$2,599,118.00 "
1982,Onshore,Louisiana,,Royalty,Oil,"$5,913,809.00 "
1982,Onshore,Louisiana,,Royalty,Other,"$1,026,086.00 "
1982,Onshore,Maryland,,Royalty,Gas,$624.00 
1982,Onshore,Michigan,,Royalty,Gas,"$213,500.00 "
1982,Onshore,Michigan,,Royalty,Oil,"$241,070.00 "
1982,Onshore,Minnesota,,Royalty,Other,"$3,533.00 "
1982,Onshore,Mississippi,,Bonus,,"$599,450.00 "
1982,Onshore,Mississippi,,Royalty,Gas,"$165,565.00 "
1982,Onshore,Mississippi,,Royalty,Oil,"$2,200,325.00 "
1982,Onshore,Mississippi,,Royalty,Other,$250.00 
1982,Onshore,Missouri,,Royalty,Other,"$4,652,521.00 "
1982,Onshore,Montana,,Bonus,,"$513,132.00 "
1982,Onshore,Montana,,Royalty,Coal,"$12,119,969.00 "
1982,Onshore,Montana,,Royalty,Gas,"$3,269,307.00 "
1982,Onshore,Montana,,Royalty,Oil,"$23,851,845.00 "
1982,Onshore,Montana,,Royalty,Other,"$172,504.00 "
1982,Onshore,Nebraska,,Royalty,Gas,"$136,076.00 "
1982,Onshore,Nebraska,,Royalty,Oil,"$445,583.00 "
1982,Onshore,Nebraska,,Royalty,Other,"$28,779.00 "
1982,Onshore,Nevada,,Bonus,,"$59,875.00 "
1982,Onshore,Nevada,,Royalty,Oil,"$1,493,253.00 "
1982,Onshore,Nevada,,Royalty,Other,"$81,412.00 "
1982,Onshore,New Mexico,,Bonus,,"$8,136,804.00 "
1982,Onshore,New Mexico,,Royalty,Coal,"$10,999,528.00 "
1982,Onshore,New Mexico,,Royalty,Gas,"$228,881,472.00 "
1982,Onshore,New Mexico,,Royalty,Oil,"$77,148,282.00 "
1982,Onshore,New Mexico,,Royalty,Other,"$14,433,217.00 "
1982,Onshore,North Dakota,,Bonus,,"$1,059,471.00 "
1982,Onshore,North Dakota,,Royalty,Coal,"$1,085,399.00 "
1982,Onshore,North Dakota,,Royalty,Gas,"$3,518,846.00 "
1982,Onshore,North Dakota,,Royalty,Oil,"$54,662,673.00 "
1982,Onshore,North Dakota,,Royalty,Other,"$570,545.00 "
1982,Onshore,Ohio,,Royalty,Gas,"$6,170.00 "
1982,Onshore,Ohio,,Royalty,Oil,"$6,375.00 "
1982,Onshore,Oklahoma,,Bonus,,"$621,941.00 "
1982,Onshore,Oklahoma,,Royalty,Coal,"$997,193.00 "
1982,Onshore,Oklahoma,,Royalty,Gas,"$22,452,637.00 "
1982,Onshore,Oklahoma,,Royalty,Oil,"$16,739,045.00 "
1982,Onshore,Oklahoma,,Royalty,Other,"$197,631.00 "
1982,Onshore,Oregon,,Bonus,,"$112,019.00 "
1982,Onshore,South Dakota,,Bonus,,"$216,570.00 "
1982,Onshore,South Dakota,,Royalty,Gas,"$93,590.00 "
1982,Onshore,South Dakota,,Royalty,Oil,"$1,421,730.00 "
1982,Onshore,Texas,,Bonus,,"$1,251,370.00 "
1982,Onshore,Texas,,Royalty,Gas,"$358,905.00 "
1982,Onshore,Texas,,Royalty,Oil,"$579,969.00 "
1982,Onshore,Texas,,Royalty,Other,"$9,900.00 "
1982,Onshore,Utah,,Bonus,,"$9,485,577.00 "
1982,Onshore,Utah,,Royalty,Coal,"$8,976,648.00 "
1982,Onshore,Utah,,Royalty,Gas,"$13,252,305.00 "
1982,Onshore,Utah,,Royalty,Oil,"$61,460,701.00 "
1982,Onshore,Utah,,Royalty,Other,"$2,736,131.00 "
1982,Onshore,Virginia,,Royalty,Other,"$19,155.00 "
1982,Onshore,Washington,,Bonus,,$231.00 
1982,Onshore,Washington,,Royalty,Coal,"$17,342.00 "
1982,Onshore,Washington,,Royalty,Other,"$14,803.00 "
1982,Onshore,West Virginia,,Royalty,Gas,"$166,750.00 "
1982,Onshore,Wyoming,,Bonus,,"$5,105,989.00 "
1982,Onshore,Wyoming,,Royalty,Coal,"$21,331,355.00 "
1982,Onshore,Wyoming,,Royalty,Gas,"$88,407,810.00 "
1982,Onshore,Wyoming,,Royalty,Oil,"$258,779,160.00 "
1982,Onshore,Wyoming,,Royalty,Other,"$6,412,106.00 "
1983,Offshore,,Alaska,Bonus,,"$744,332,202.00 "
1983,Offshore,,Alaska,Other Revenues,,"$12,516.00 "
1983,Offshore,,Alaska,Rent,,"$4,248,241.00 "
1983,Offshore,,Atlantic,Bonus,,"$81,772,280.00 "
1983,Offshore,,Atlantic,Rent,,"$4,406,382.00 "
1983,Offshore,,Gulf,Bonus,,"$4,906,889,551.00 "
1983,Offshore,,Gulf,Other Revenues,,"$3,969,210.00 "
1983,Offshore,,Gulf,Rent,,"$21,986,969.00 "
1983,Offshore,,Gulf,Royalty,Gas,"$1,754,644,207.00 "
1983,Offshore,,Gulf,Royalty,Oil,"$1,440,878,220.00 "
1983,Offshore,,Pacific,Bonus,,"$16,022,336.00 "
1983,Offshore,,Pacific,Other Revenues,,"$481,932.00 "
1983,Offshore,,Pacific,Rent,,"$1,821,505.00 "
1983,Offshore,,Pacific,Royalty,Gas,"$17,101,120.00 "
1983,Offshore,,Pacific,Royalty,Oil,"$163,064,618.00 "
1983,Onshore,Alabama,,Bonus,,"$515,074.00 "
1983,Onshore,Alabama,,Royalty,Coal,"$175,600.00 "
1983,Onshore,Alabama,,Royalty,Gas,"$16,209.00 "
1983,Onshore,Alabama,,Royalty,Oil,"$14,236.00 "
1983,Onshore,Alabama,,Royalty,Other,"$3,215.00 "
1983,Onshore,Alaska,,Bonus,,"$5,723,850.00 "
1983,Onshore,Alaska,,Royalty,Gas,"$13,123,950.00 "
1983,Onshore,Alaska,,Royalty,Oil,"$10,148,762.00 "
1983,Onshore,Alaska,,Royalty,Other,"$234,000.00 "
1983,Onshore,Arizona,,Royalty,Coal,"$3,496,174.00 "
1983,Onshore,Arizona,,Royalty,Gas,"$7,123.00 "
1983,Onshore,Arizona,,Royalty,Oil,"$1,324,079.00 "
1983,Onshore,Arizona,,Royalty,Other,"$643,480.00 "
1983,Onshore,Arkansas,,Bonus,,"$433,288.00 "
1983,Onshore,Arkansas,,Royalty,Gas,"$1,575,575.00 "
1983,Onshore,Arkansas,,Royalty,Oil,"$1,603.00 "
1983,Onshore,Arkansas,,Royalty,Other,$293.00 
1983,Onshore,California,,Bonus,,"$3,559.00 "
1983,Onshore,California,,Royalty,Gas,"$3,595,100.00 "
1983,Onshore,California,,Royalty,Oil,"$56,787,500.00 "
1983,Onshore,California,,Royalty,Other,"$5,867,325.00 "
1983,Onshore,Colorado,,Bonus,,"$373,450.00 "
1983,Onshore,Colorado,,Royalty,Coal,"$12,270,325.00 "
1983,Onshore,Colorado,,Royalty,Gas,"$19,764,915.00 "
1983,Onshore,Colorado,,Royalty,Oil,"$44,790,767.00 "
1983,Onshore,Colorado,,Royalty,Other,"$1,497,205.00 "
1983,Onshore,Florida,,Royalty,Other,"$411,089.00 "
1983,Onshore,Georgia,,Royalty,Other,$340.00 
1983,Onshore,Idaho,,Royalty,Other,"$634,760.00 "
1983,Onshore,Kansas,,Royalty,Gas,"$1,961,616.00 "
1983,Onshore,Kansas,,Royalty,Oil,"$1,248,656.00 "
1983,Onshore,Kentucky,,Royalty,Gas,"$59,605.00 "
1983,Onshore,Kentucky,,Royalty,Oil,"$16,740.00 "
1983,Onshore,Louisiana,,Bonus,,"$245,062.00 "
1983,Onshore,Louisiana,,Royalty,Gas,"$3,102,094.00 "
1983,Onshore,Louisiana,,Royalty,Oil,"$7,391,594.00 "
1983,Onshore,Louisiana,,Royalty,Other,"$902,800.00 "
1983,Onshore,Maryland,,Royalty,Gas,$691.00 
1983,Onshore,Michigan,,Bonus,,"$2,800.00 "
1983,Onshore,Michigan,,Royalty,Gas,"$211,428.00 "
1983,Onshore,Michigan,,Royalty,Oil,"$194,832.00 "
1983,Onshore,Minnesota,,Royalty,Other,"$39,185.00 "
1983,Onshore,Mississippi,,Bonus,,"$355,425.00 "
1983,Onshore,Mississippi,,Royalty,Gas,"$299,200.00 "
1983,Onshore,Mississippi,,Royalty,Oil,"$1,700,888.00 "
1983,Onshore,Mississippi,,Royalty,Other,$210.00 
1983,Onshore,Missouri,,Bonus,,"$43,193.00 "
1983,Onshore,Missouri,,Royalty,Other,"$4,617,952.00 "
1983,Onshore,Montana,,Bonus,,"$4,782,406.00 "
1983,Onshore,Montana,,Royalty,Coal,"$15,487,623.00 "
1983,Onshore,Montana,,Royalty,Gas,"$3,526,480.00 "
1983,Onshore,Montana,,Royalty,Oil,"$22,334,495.00 "
1983,Onshore,Montana,,Royalty,Other,"$201,894.00 "
1983,Onshore,Nebraska,,Royalty,Gas,"$85,900.00 "
1983,Onshore,Nebraska,,Royalty,Oil,"$308,784.00 "
1983,Onshore,Nebraska,,Royalty,Other,"$23,500.00 "
1983,Onshore,Nevada,,Royalty,Oil,"$1,750,350.00 "
1983,Onshore,Nevada,,Royalty,Other,"($555,126.00)"
1983,Onshore,New Mexico,,Bonus,,"$14,615,575.00 "
1983,Onshore,New Mexico,,Royalty,Coal,"$8,461,088.00 "
1983,Onshore,New Mexico,,Royalty,Gas,"$202,314,960.00 "
1983,Onshore,New Mexico,,Royalty,Oil,"$74,586,588.00 "
1983,Onshore,New Mexico,,Royalty,Other,"$13,280,864.00 "
1983,Onshore,North Dakota,,Bonus,,"$301,919.00 "
1983,Onshore,North Dakota,,Royalty,Coal,"$2,106,053.00 "
1983,Onshore,North Dakota,,Royalty,Gas,"$4,316,150.00 "
1983,Onshore,North Dakota,,Royalty,Oil,"$54,413,300.00 "
1983,Onshore,North Dakota,,Royalty,Other,"$324,650.00 "
1983,Onshore,Ohio,,Bonus,,"$74,017.00 "
1983,Onshore,Ohio,,Royalty,Gas,"$8,973.00 "
1983,Onshore,Ohio,,Royalty,Oil,"$6,732.00 "
1983,Onshore,Oklahoma,,Bonus,,"$444,835.00 "
1983,Onshore,Oklahoma,,Royalty,Coal,"$606,141.00 "
1983,Onshore,Oklahoma,,Royalty,Gas,"$25,638,500.00 "
1983,Onshore,Oklahoma,,Royalty,Oil,"$16,077,500.00 "
1983,Onshore,Oklahoma,,Royalty,Other,"$227,416.00 "
1983,Onshore,Oregon,,Bonus,,"$2,141,097.00 "
1983,Onshore,Pennsylvania,,Bonus,,"$10,440.00 "
1983,Onshore,South Dakota,,Royalty,Gas,"$112,600.00 "
1983,Onshore,South Dakota,,Royalty,Oil,"$1,393,448.00 "
1983,Onshore,Texas,,Bonus,,"$337,501.00 "
1983,Onshore,Texas,,Royalty,Gas,"$68,353.00 "
1983,Onshore,Texas,,Royalty,Oil,"$4,975.00 "
1983,Onshore,Texas,,Royalty,Other,"$3,000.00 "
1983,Onshore,Utah,,Bonus,,"$4,617,317.00 "
1983,Onshore,Utah,,Royalty,Coal,"$7,611,949.00 "
1983,Onshore,Utah,,Royalty,Gas,"$13,220,700.00 "
1983,Onshore,Utah,,Royalty,Oil,"$58,736,700.00 "
1983,Onshore,Utah,,Royalty,Other,"$1,641,362.00 "
1983,Onshore,Virginia,,Royalty,Other,"$9,009.00 "
1983,Onshore,Washington,,Bonus,,$720.00 
1983,Onshore,Washington,,Royalty,Coal,"$46,149.00 "
1983,Onshore,Washington,,Royalty,Other,"$16,500.00 "
1983,Onshore,West Virginia,,Royalty,Gas,"$154,000.00 "
1983,Onshore,Wyoming,,Bonus,,"$27,086,677.00 "
1983,Onshore,Wyoming,,Royalty,Coal,"$15,168,037.00 "
1983,Onshore,Wyoming,,Royalty,Gas,"$106,458,800.00 "
1983,Onshore,Wyoming,,Royalty,Oil,"$259,749,018.00 "
1983,Onshore,Wyoming,,Royalty,Other,"$15,919,696.00 "
1984,Offshore,,Alaska,Bonus,,"$1,496,455,658.00 "
1984,Offshore,,Alaska,Other Revenues,,"$39,934.00 "
1984,Offshore,,Alaska,Rent,,"$4,601,574.00 "
1984,Offshore,,Atlantic,Other Revenues,,"$73,728.00 "
1984,Offshore,,Atlantic,Rent,,"$3,889,152.00 "
1984,Offshore,,Gulf,Bonus,,"$2,478,473,398.00 "
1984,Offshore,,Gulf,Other Revenues,,"$3,166,358.00 "
1984,Offshore,,Gulf,Rent,,"$25,179,979.00 "
1984,Offshore,,Gulf,Royalty,Gas,"$2,074,344,299.00 "
1984,Offshore,,Gulf,Royalty,Oil,"$1,701,177,257.00 "
1984,Offshore,,Gulf,Royalty,Other,"$49,356,276.00 "
1984,Offshore,,Pacific,Bonus,,"$62,121,252.00 "
1984,Offshore,,Pacific,Other Revenues,,"$178,119.00 "
1984,Offshore,,Pacific,Rent,,"$1,937,130.00 "
1984,Offshore,,Pacific,Royalty,Gas,"$16,932,454.00 "
1984,Offshore,,Pacific,Royalty,Oil,"$122,270,587.00 "
1984,Offshore,,Pacific,Royalty,Other,"$99,800.00 "
1984,Onshore,Alabama,,Bonus,,"$15,920.00 "
1984,Onshore,Alabama,,Royalty,Coal,"$40,641.00 "
1984,Onshore,Alabama,,Royalty,Gas,"$81,165.00 "
1984,Onshore,Alabama,,Royalty,Oil,"$67,023.00 "
1984,Onshore,Alabama,,Royalty,Other,"$2,968.00 "
1984,Onshore,Alaska,,Bonus,,"$11,196,431.00 "
1984,Onshore,Alaska,,Royalty,Gas,"$6,890,060.00 "
1984,Onshore,Alaska,,Royalty,Oil,"$5,557,160.00 "
1984,Onshore,Alaska,,Royalty,Other,"$117,664.00 "
1984,Onshore,Arizona,,Royalty,Coal,"$4,139,210.00 "
1984,Onshore,Arizona,,Royalty,Gas,"$12,152.00 "
1984,Onshore,Arizona,,Royalty,Oil,"$890,665.00 "
1984,Onshore,Arizona,,Royalty,Other,"$1,663,185.00 "
1984,Onshore,Arkansas,,Bonus,,"$81,279.00 "
1984,Onshore,Arkansas,,Royalty,Gas,"$1,973,767.00 "
1984,Onshore,Arkansas,,Royalty,Oil,$408.00 
1984,Onshore,Arkansas,,Royalty,Other,$637.00 
1984,Onshore,California,,Bonus,,"$639,384.00 "
1984,Onshore,California,,Royalty,Gas,"$3,718,648.00 "
1984,Onshore,California,,Royalty,Oil,"$53,446,459.00 "
1984,Onshore,California,,Royalty,Other,"$14,664,423.00 "
1984,Onshore,Colorado,,Bonus,,"$503,291.00 "
1984,Onshore,Colorado,,Royalty,Coal,"$15,170,851.00 "
1984,Onshore,Colorado,,Royalty,Gas,"$22,541,048.00 "
1984,Onshore,Colorado,,Royalty,Oil,"$41,478,786.00 "
1984,Onshore,Colorado,,Royalty,Other,"$5,753,758.00 "
1984,Onshore,Florida,,Bonus,,"$23,200.00 "
1984,Onshore,Florida,,Royalty,Other,"$297,721.00 "
1984,Onshore,Georgia,,Royalty,Other,$495.00 
1984,Onshore,Idaho,,Bonus,,"$1,180.00 "
1984,Onshore,Idaho,,Royalty,Other,"$3,125,387.00 "
1984,Onshore,Illinois,,Royalty,Oil,$444.00 
1984,Onshore,Illinois,,Royalty,Other,"$24,966.00 "
1984,Onshore,Kansas,,Royalty,Gas,"$851,847.00 "
1984,Onshore,Kansas,,Royalty,Oil,"$1,026,721.00 "
1984,Onshore,Kentucky,,Bonus,,"$2,750.00 "
1984,Onshore,Kentucky,,Royalty,Gas,"$140,872.00 "
1984,Onshore,Kentucky,,Royalty,Oil,"$23,247.00 "
1984,Onshore,Louisiana,,Bonus,,"$205,479.00 "
1984,Onshore,Louisiana,,Royalty,Gas,"$2,478,550.00 "
1984,Onshore,Louisiana,,Royalty,Oil,"$5,572,088.00 "
1984,Onshore,Louisiana,,Royalty,Other,"$867,694.00 "
1984,Onshore,Maryland,,Royalty,Gas,$271.00 
1984,Onshore,Michigan,,Bonus,,"$123,391.00 "
1984,Onshore,Michigan,,Royalty,Gas,"$345,223.00 "
1984,Onshore,Michigan,,Royalty,Oil,"$768,705.00 "
1984,Onshore,Minnesota,,Royalty,Other,"$58,018.00 "
1984,Onshore,Mississippi,,Bonus,,"$286,407.00 "
1984,Onshore,Mississippi,,Royalty,Gas,"$2,806,365.00 "
1984,Onshore,Mississippi,,Royalty,Oil,"$3,005,419.00 "
1984,Onshore,Mississippi,,Royalty,Other,$646.00 
1984,Onshore,Missouri,,Royalty,Other,"$3,750,857.00 "
1984,Onshore,Montana,,Bonus,,"$328,859.00 "
1984,Onshore,Montana,,Royalty,Coal,"$11,266,075.00 "
1984,Onshore,Montana,,Royalty,Gas,"$3,660,389.00 "
1984,Onshore,Montana,,Royalty,Oil,"$22,135,842.00 "
1984,Onshore,Montana,,Royalty,Other,"$440,612.00 "
1984,Onshore,Nebraska,,Royalty,Gas,"$58,141.00 "
1984,Onshore,Nebraska,,Royalty,Oil,"$553,226.00 "
1984,Onshore,Nebraska,,Royalty,Other,"$26,585.00 "
1984,Onshore,Nevada,,Royalty,Oil,"$3,825,346.00 "
