Date,Land Class,Land Category,Commodity,Volume
12/01/2003,Native American,Onshore,Oil Prod Vol (bbl),936588
12/01/2003,Native American,Onshore,Gas Prod Vol (mcf),31241002
01/01/2004,Native American,Onshore,Coal Prod Vol (tons),2790396
01/01/2004,Native American,Onshore,Gas Prod Vol (mcf),30639762
01/01/2004,Federal,Offshore,Gas Prod Vol (mcf),365448070
01/01/2004,Federal,Offshore,Oil Prod Vol (bbl),50125549
01/01/2004,Federal,Onshore,Coal Prod Vol (tons),39793156
01/01/2004,Federal,Onshore,Oil Prod Vol (bbl),8050201
01/01/2004,Federal,Onshore,Gas Prod Vol (mcf),266146534
01/01/2004,Native American,Onshore,Oil Prod Vol (bbl),940267
02/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7586095
02/01/2004,Federal,Onshore,Gas Prod Vol (mcf),245499245
02/01/2004,Federal,Offshore,Oil Prod Vol (bbl),47429307
02/01/2004,Native American,Onshore,Gas Prod Vol (mcf),28658179
02/01/2004,Native American,Onshore,Oil Prod Vol (bbl),890849
02/01/2004,Federal,Offshore,Gas Prod Vol (mcf),342796942
02/01/2004,Native American,Onshore,Coal Prod Vol (tons),2274690
02/01/2004,Federal,Onshore,Coal Prod Vol (tons),34206060
03/01/2004,Native American,Onshore,Coal Prod Vol (tons),2926896
03/01/2004,Federal,Offshore,Gas Prod Vol (mcf),375062970
03/01/2004,Federal,Onshore,Coal Prod Vol (tons),38220610
03/01/2004,Federal,Onshore,Oil Prod Vol (bbl),8055411
03/01/2004,Federal,Onshore,Gas Prod Vol (mcf),264227882
03/01/2004,Native American,Onshore,Gas Prod Vol (mcf),30530455
03/01/2004,Native American,Onshore,Oil Prod Vol (bbl),956040
03/01/2004,Federal,Offshore,Oil Prod Vol (bbl),50179164
04/01/2004,Native American,Onshore,Gas Prod Vol (mcf),29686338
04/01/2004,Federal,Onshore,Coal Prod Vol (tons),37325558
04/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7757463
04/01/2004,Federal,Onshore,Gas Prod Vol (mcf),254508616
04/01/2004,Federal,Offshore,Gas Prod Vol (mcf),362132217
04/01/2004,Federal,Offshore,Oil Prod Vol (bbl),48108084
04/01/2004,Native American,Onshore,Coal Prod Vol (tons),2441696
04/01/2004,Native American,Onshore,Oil Prod Vol (bbl),953460
05/01/2004,Federal,Onshore,Gas Prod Vol (mcf),256826256
05/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7955980
05/01/2004,Federal,Onshore,Coal Prod Vol (tons),37085297
05/01/2004,Native American,Onshore,Gas Prod Vol (mcf),30267873
05/01/2004,Native American,Onshore,Oil Prod Vol (bbl),986597
05/01/2004,Native American,Onshore,Coal Prod Vol (tons),2714456
05/01/2004,Federal,Offshore,Oil Prod Vol (bbl),50195658
05/01/2004,Federal,Offshore,Gas Prod Vol (mcf),367575603
06/01/2004,Native American,Onshore,Coal Prod Vol (tons),2814287
06/01/2004,Native American,Onshore,Gas Prod Vol (mcf),29264609
06/01/2004,Native American,Onshore,Oil Prod Vol (bbl),915013
06/01/2004,Federal,Onshore,Coal Prod Vol (tons),37941288
06/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7645308
06/01/2004,Federal,Onshore,Gas Prod Vol (mcf),247873489
06/01/2004,Federal,Offshore,Oil Prod Vol (bbl),45749647
06/01/2004,Federal,Offshore,Gas Prod Vol (mcf),343370433
07/01/2004,Native American,Onshore,Gas Prod Vol (mcf),30139616
07/01/2004,Federal,Onshore,Gas Prod Vol (mcf),262335355
07/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7858435
