Calendar Year,Land Class,Land Category,State,County,FIPS Code,Offshore Region,Product,Volume
2003,Federal,Onshore,CA,Imperial,06025,,Geothermal - electrical generation (other),"211,508"
2003,Federal,Onshore,CA,Inyo,06027,,Geothermal - electrical generation (kilowatt hours),"568,826,868"
2003,Federal,Onshore,CA,Kern,06029,,Gas (mcf),"1,475,125"
2003,Federal,Onshore,CA,Kern,06029,,Oil (bbl),"14,187,653"
2003,Federal,Onshore,CA,Kings,06031,,Gas (mcf),"144,013"
2003,Federal,Onshore,CA,Kings,06031,,Oil (bbl),"31,697"
2003,Federal,Onshore,CA,Lake,06033,,Geothermal - electrical generation (thousands of pounds),"23,506,100"
2003,Federal,Onshore,CA,Lassen,06035,,Geothermal - direct utilization (millions of btus),"288,029"
2003,Federal,Onshore,CA,Los Angeles,06037,,Gas (mcf),"135,304"
2003,Federal,Onshore,CA,Los Angeles,06037,,Oil (bbl),"691,473"
2003,Federal,Onshore,CA,Mono,06051,,Geothermal - electrical generation (kilowatt hours),"95,893,248"
2003,Federal,Onshore,CA,Monterey,06053,,Gas (mcf),"1,457"
2003,Federal,Onshore,CA,Monterey,06053,,Oil (bbl),"5,054"
2003,Federal,Onshore,CA,Sacramento,06067,,Gas (mcf),"4,849,474"
2003,Federal,Onshore,CA,Sacramento,06067,,Oil (bbl),"4,141"
2003,Federal,Onshore,CA,San Benito,06069,,Gas (mcf),33
2003,Federal,Onshore,CA,San Benito,06069,,Oil (bbl),"1,921"
2003,Federal,Onshore,CA,San Bernardino,06071,,Anhydrous sodium sulfate (ton),"164,769"
2003,Federal,Onshore,CA,San Bernardino,06071,,Borax-anhydrous (ton),206
2003,Federal,Onshore,CA,San Bernardino,06071,,Borax-decahydrate (ton),"7,181"
2003,Federal,Onshore,CA,San Bernardino,06071,,Borax-pentahydrate (ton),"7,320"
2003,Federal,Onshore,CA,San Bernardino,06071,,Boric acid (ton),"16,417"
2003,Federal,Onshore,CA,San Bernardino,06071,,Salt (ton),"33,622"
2003,Federal,Onshore,CA,San Bernardino,06071,,Soda ash (ton),"803,481"
2003,Federal,Onshore,CA,San Bernardino,06071,,Sodium bi-carbonate (ton),96
