Production Date,Land Class,Land Category,Commodity,Volume
10/01/2016,Native American,Onshore,Oil Prod Vol (bbl),"5,398,837"
11/01/2016,Federal,Offshore,Gas Prod Vol (mcf),"102,108,663"
11/01/2016,Federal,Offshore,Oil Prod Vol (bbl),"51,136,340"
11/01/2016,Federal,Onshore,Coal Prod Vol (ton),"29,341,898"
11/01/2016,Federal,Onshore,Gas Prod Vol (mcf),"270,182,652"
11/01/2016,Federal,Onshore,Oil Prod Vol (bbl),"13,938,556"
11/01/2016,Native American,Onshore,Coal Prod Vol (ton),"1,334,842"
11/01/2016,Native American,Onshore,Gas Prod Vol (mcf),"25,644,542"
11/01/2016,Native American,Onshore,Oil Prod Vol (bbl),"5,003,735"
12/01/2016,Federal,Offshore,Gas Prod Vol (mcf),"108,062,380"
12/01/2016,Federal,Offshore,Oil Prod Vol (bbl),"54,384,739"
12/01/2016,Federal,Onshore,Coal Prod Vol (ton),"27,874,498"
12/01/2016,Federal,Onshore,Gas Prod Vol (mcf),"274,331,182"
12/01/2016,Federal,Onshore,Oil Prod Vol (bbl),"14,014,746"
12/01/2016,Native American,Onshore,Coal Prod Vol (ton),"1,275,026"
12/01/2016,Native American,Onshore,Gas Prod Vol (mcf),"26,027,531"
12/01/2016,Native American,Onshore,Oil Prod Vol (bbl),"5,191,076"
01/01/2017,Federal,Offshore,Gas Prod Vol (mcf),"106,371,851"
01/01/2017,Federal,Offshore,Oil Prod Vol (bbl),"54,837,583"
01/01/2017,Federal,Onshore,Coal Prod Vol (ton),"30,451,363"
01/01/2017,Federal,Onshore,Gas Prod Vol (mcf),"268,196,962"
01/01/2017,Federal,Onshore,Oil Prod Vol (bbl),"14,064,068"
01/01/2017,Native American,Onshore,Coal Prod Vol (ton),"1,386,837"
01/01/2017,Native American,Onshore,Gas Prod Vol (mcf),"25,447,712"
01/01/2017,Native American,Onshore,Oil Prod Vol (bbl),"5,369,437"
02/01/2017,Federal,Offshore,Gas Prod Vol (mcf),"93,083,146"
02/01/2017,Federal,Offshore,Oil Prod Vol (bbl),"49,591,707"
02/01/2017,Federal,Onshore,Coal Prod Vol (ton),"26,764,551"
02/01/2017,Federal,Onshore,Gas Prod Vol (mcf),"245,790,418"
02/01/2017,Federal,Onshore,Oil Prod Vol (bbl),"13,366,536"
02/01/2017,Native American,Onshore,Coal Prod Vol (ton),"1,270,347"
02/01/2017,Native American,Onshore,Gas Prod Vol (mcf),"23,200,733"
02/01/2017,Native American,Onshore,Oil Prod Vol (bbl),"4,995,471"
03/01/2017,Federal,Offshore,Gas Prod Vol (mcf),"106,321,826"
03/01/2017,Federal,Offshore,Oil Prod Vol (bbl),"55,557,255"
03/01/2017,Federal,Onshore,Coal Prod Vol (ton),"24,856,969"
03/01/2017,Federal,Onshore,Gas Prod Vol (mcf),"274,774,609"
03/01/2017,Federal,Onshore,Oil Prod Vol (bbl),"15,200,418"
03/01/2017,Native American,Onshore,Coal Prod Vol (ton),"994,299"
03/01/2017,Native American,Onshore,Gas Prod Vol (mcf),"26,004,409"
03/01/2017,Native American,Onshore,Oil Prod Vol (bbl),"5,648,390"
04/01/2017,Federal,Offshore,Gas Prod Vol (mcf),"95,311,046"
04/01/2017,Federal,Offshore,Oil Prod Vol (bbl),"50,490,231"
04/01/2017,Federal,Onshore,Coal Prod Vol (ton),"23,773,493"
04/01/2017,Federal,Onshore,Gas Prod Vol (mcf),"267,052,078"
04/01/2017,Federal,Onshore,Oil Prod Vol (bbl),"14,725,732"
04/01/2017,Native American,Onshore,Coal Prod Vol (ton),"1,006,718"
04/01/2017,Native American,Onshore,Gas Prod Vol (mcf),"25,294,747"
04/01/2017,Native American,Onshore,Oil Prod Vol (bbl),"5,517,122"
05/01/2017,Federal,Offshore,Gas Prod Vol (mcf),"99,383,215"
05/01/2017,Federal,Offshore,Oil Prod Vol (bbl),"52,823,361"
05/01/2017,Federal,Onshore,Coal Prod Vol (ton),"26,338,321"
05/01/2017,Federal,Onshore,Gas Prod Vol (mcf),"270,204,763"
05/01/2017,Federal,Onshore,Oil Prod Vol (bbl),"15,632,151"
05/01/2017,Native American,Onshore,Coal Prod Vol (ton),"1,133,016"
05/01/2017,Native American,Onshore,Gas Prod Vol (mcf),"26,970,762"
05/01/2017,Native American,Onshore,Oil Prod Vol (bbl),"5,761,054"
06/01/2017,Federal,Offshore,Gas Prod Vol (mcf),"90,631,984"
06/01/2017,Federal,Offshore,Oil Prod Vol (bbl),"49,430,681"
06/01/2017,Federal,Onshore,Coal Prod Vol (ton),"26,859,514"
06/01/2017,Federal,Onshore,Gas Prod Vol (mcf),"263,875,394"
06/01/2017,Federal,Onshore,Oil Prod Vol (bbl),"14,466,818"
06/01/2017,Native American,Onshore,Coal Prod Vol (ton),"1,211,408"
06/01/2017,Native American,Onshore,Gas Prod Vol (mcf),"26,695,362"
06/01/2017,Native American,Onshore,Oil Prod Vol (bbl),"5,835,141"
07/01/2017,Federal,Offshore,Gas Prod Vol (mcf),"97,838,828"
07/01/2017,Federal,Offshore,Oil Prod Vol (bbl),"55,000,657"
07/01/2017,Federal,Onshore,Coal Prod Vol (ton),"29,686,410"
07/01/2017,Federal,Onshore,Gas Prod Vol (mcf),"271,581,391"
07/01/2017,Federal,Onshore,Oil Prod Vol (bbl),"15,269,269"
07/01/2017,Native American,Onshore,Coal Prod Vol (ton),"920,473"
07/01/2017,Native American,Onshore,Gas Prod Vol (mcf),"27,671,929"
07/01/2017,Native American,Onshore,Oil Prod Vol (bbl),"6,021,916"
08/01/2017,Federal,Offshore,Gas Prod Vol (mcf),"92,785,951"
08/01/2017,Federal,Offshore,Oil Prod Vol (bbl),"53,913,173"
08/01/2017,Federal,Onshore,Coal Prod Vol (ton),"30,158,575"
08/01/2017,Federal,Onshore,Gas Prod Vol (mcf),"271,152,412"
08/01/2017,Federal,Onshore,Oil Prod Vol (bbl),"15,827,605"
08/01/2017,Native American,Onshore,Coal Prod Vol (ton),"1,203,341"
08/01/2017,Native American,Onshore,Gas Prod Vol (mcf),"28,383,989"
08/01/2017,Native American,Onshore,Oil Prod Vol (bbl),"6,420,788"
09/01/2017,Federal,Offshore,Gas Prod Vol (mcf),"88,478,807"
09/01/2017,Federal,Offshore,Oil Prod Vol (bbl),"51,299,175"
09/01/2017,Federal,Onshore,Coal Prod Vol (ton),"27,217,702"
09/01/2017,Federal,Onshore,Gas Prod Vol (mcf),"267,824,215"
09/01/2017,Federal,Onshore,Oil Prod Vol (bbl),"16,227,974"
09/01/2017,Native American,Onshore,Coal Prod Vol (ton),"958,857"
09/01/2017,Native American,Onshore,Gas Prod Vol (mcf),"27,582,487"
09/01/2017,Native American,Onshore,Oil Prod Vol (bbl),"6,197,775"
10/01/2017,Federal,Offshore,Gas Prod Vol (mcf),"80,366,449"
10/01/2017,Federal,Offshore,Oil Prod Vol (bbl),"46,471,477"
10/01/2017,Federal,Onshore,Coal Prod Vol (ton),"27,484,858"
10/01/2017,Federal,Onshore,Gas Prod Vol (mcf),"277,776,952"
10/01/2017,Federal,Onshore,Oil Prod Vol (bbl),"17,228,107"
10/01/2017,Native American,Onshore,Coal Prod Vol (ton),"1,123,323"
10/01/2017,Native American,Onshore,Gas Prod Vol (mcf),"29,018,881"
10/01/2017,Native American,Onshore,Oil Prod Vol (bbl),"6,551,663"
11/01/2017,Federal,Offshore,Gas Prod Vol (mcf),"81,806,450"
11/01/2017,Federal,Offshore,Oil Prod Vol (bbl),"51,449,165"
11/01/2017,Federal,Onshore,Coal Prod Vol (ton),"26,341,943"
11/01/2017,Federal,Onshore,Gas Prod Vol (mcf),"271,754,492"
11/01/2017,Federal,Onshore,Oil Prod Vol (bbl),"16,906,771"
11/01/2017,Native American,Onshore,Coal Prod Vol (ton),"1,147,396"
11/01/2017,Native American,Onshore,Gas Prod Vol (mcf),"28,855,117"
11/01/2017,Native American,Onshore,Oil Prod Vol (bbl),"6,540,356"
12/01/2017,Federal,Offshore,Gas Prod Vol (mcf),"78,469,559"
12/01/2017,Federal,Offshore,Oil Prod Vol (bbl),"49,115,810"
12/01/2017,Federal,Onshore,Coal Prod Vol (ton),"26,144,818"
12/01/2017,Federal,Onshore,Gas Prod Vol (mcf),"283,383,970"
12/01/2017,Federal,Onshore,Oil Prod Vol (bbl),"17,992,635"
12/01/2017,Native American,Onshore,Coal Prod Vol (ton),"1,361,183"
12/01/2017,Native American,Onshore,Gas Prod Vol (mcf),"30,491,880"
12/01/2017,Native American,Onshore,Oil Prod Vol (bbl),"6,742,249"
01/01/2018,Federal,Offshore,Gas Prod Vol (mcf),"79,016,590"
01/01/2018,Federal,Offshore,Oil Prod Vol (bbl),"51,241,840"
01/01/2018,Federal,Onshore,Coal Prod Vol (ton),"24,632,904"
01/01/2018,Federal,Onshore,Gas Prod Vol (mcf),"281,408,351"
01/01/2018,Federal,Onshore,Oil Prod Vol (bbl),"17,623,911"
01/01/2018,Native American,Onshore,Coal Prod Vol (ton),"1,354,891"
01/01/2018,Native American,Onshore,Gas Prod Vol (mcf),"30,878,522"
01/01/2018,Native American,Onshore,Oil Prod Vol (bbl),"6,666,525"
02/01/2018,Federal,Offshore,Gas Prod Vol (mcf),"74,932,036"
02/01/2018,Federal,Offshore,Oil Prod Vol (bbl),"48,387,662"
02/01/2018,Federal,Onshore,Coal Prod Vol (ton),"25,195,995"
02/01/2018,Federal,Onshore,Gas Prod Vol (mcf),"255,456,504"
02/01/2018,Federal,Onshore,Oil Prod Vol (bbl),"16,515,453"
02/01/2018,Native American,Onshore,Coal Prod Vol (ton),"701,497"
02/01/2018,Native American,Onshore,Gas Prod Vol (mcf),"27,939,164"
02/01/2018,Native American,Onshore,Oil Prod Vol (bbl),"5,878,042"
03/01/2018,Federal,Offshore,Gas Prod Vol (mcf),"84,075,319"
03/01/2018,Federal,Offshore,Oil Prod Vol (bbl),"53,328,725"
03/01/2018,Federal,Onshore,Coal Prod Vol (ton),"25,653,837"
03/01/2018,Federal,Onshore,Gas Prod Vol (mcf),"283,594,397"
03/01/2018,Federal,Onshore,Oil Prod Vol (bbl),"18,582,899"
03/01/2018,Native American,Onshore,Coal Prod Vol (ton),"827,534"
03/01/2018,Native American,Onshore,Gas Prod Vol (mcf),"32,266,297"
03/01/2018,Native American,Onshore,Oil Prod Vol (bbl),"6,947,836"
04/01/2018,Federal,Offshore,Gas Prod Vol (mcf),"76,396,971"
04/01/2018,Federal,Offshore,Oil Prod Vol (bbl),"48,560,685"
04/01/2018,Federal,Onshore,Coal Prod Vol (ton),"22,442,433"
04/01/2018,Federal,Onshore,Gas Prod Vol (mcf),"272,802,102"
04/01/2018,Federal,Onshore,Oil Prod Vol (bbl),"18,840,491"
04/01/2018,Native American,Onshore,Coal Prod Vol (ton),"815,363"
04/01/2018,Native American,Onshore,Gas Prod Vol (mcf),"31,453,794"
04/01/2018,Native American,Onshore,Oil Prod Vol (bbl),"7,416,199"
05/01/2018,Federal,Offshore,Gas Prod Vol (mcf),"78,906,511"
05/01/2018,Federal,Offshore,Oil Prod Vol (bbl),"48,110,831"
05/01/2018,Federal,Onshore,Coal Prod Vol (ton),"22,509,973"
05/01/2018,Federal,Onshore,Gas Prod Vol (mcf),"281,191,109"
05/01/2018,Federal,Onshore,Oil Prod Vol (bbl),"19,561,002"
05/01/2018,Native American,Onshore,Coal Prod Vol (ton),"1,223,737"
05/01/2018,Native American,Onshore,Gas Prod Vol (mcf),"32,559,238"
05/01/2018,Native American,Onshore,Oil Prod Vol (bbl),"7,661,050"
06/01/2018,Federal,Offshore,Gas Prod Vol (mcf),"79,075,914"
06/01/2018,Federal,Offshore,Oil Prod Vol (bbl),"50,368,222"
06/01/2018,Federal,Onshore,Coal Prod Vol (ton),"24,851,719"
06/01/2018,Federal,Onshore,Gas Prod Vol (mcf),"268,865,747"
06/01/2018,Federal,Onshore,Oil Prod Vol (bbl),"18,542,834"
06/01/2018,Native American,Onshore,Coal Prod Vol (ton),"1,024,930"
06/01/2018,Native American,Onshore,Gas Prod Vol (mcf),"31,527,997"
06/01/2018,Native American,Onshore,Oil Prod Vol (bbl),"7,195,831"
07/01/2018,Federal,Offshore,Gas Prod Vol (mcf),"92,147,157"
07/01/2018,Federal,Offshore,Oil Prod Vol (bbl),"58,348,394"
07/01/2018,Federal,Onshore,Coal Prod Vol (ton),"26,629,804"
07/01/2018,Federal,Onshore,Gas Prod Vol (mcf),"281,504,228"
07/01/2018,Federal,Onshore,Oil Prod Vol (bbl),"19,546,503"
07/01/2018,Native American,Onshore,Coal Prod Vol (ton),"1,200,779"
07/01/2018,Native American,Onshore,Gas Prod Vol (mcf),"32,010,896"
07/01/2018,Native American,Onshore,Oil Prod Vol (bbl),"7,228,676"
08/01/2018,Federal,Offshore,Gas Prod Vol (mcf),"98,046,731"
08/01/2018,Federal,Offshore,Oil Prod Vol (bbl),"61,083,179"
08/01/2018,Federal,Onshore,Coal Prod Vol (ton),"27,555,964"
08/01/2018,Federal,Onshore,Gas Prod Vol (mcf),"283,348,211"
08/01/2018,Federal,Onshore,Oil Prod Vol (bbl),"21,046,250"
08/01/2018,Native American,Onshore,Coal Prod Vol (ton),"1,444,528"
08/01/2018,Native American,Onshore,Gas Prod Vol (mcf),"32,174,332"
08/01/2018,Native American,Onshore,Oil Prod Vol (bbl),"7,388,593"
09/01/2018,Federal,Offshore,Gas Prod Vol (mcf),"88,573,767"
09/01/2018,Federal,Offshore,Oil Prod Vol (bbl),"54,372,726"
09/01/2018,Federal,Onshore,Coal Prod Vol (ton),"29,721,951"
09/01/2018,Federal,Onshore,Gas Prod Vol (mcf),"276,387,764"
09/01/2018,Federal,Onshore,Oil Prod Vol (bbl),"21,396,602"
09/01/2018,Native American,Onshore,Coal Prod Vol (ton),"1,182,334"
09/01/2018,Native American,Onshore,Gas Prod Vol (mcf),"31,677,714"
09/01/2018,Native American,Onshore,Oil Prod Vol (bbl),"7,538,377"
10/01/2018,Federal,Offshore,Gas Prod Vol (mcf),"86,434,152"
10/01/2018,Federal,Offshore,Oil Prod Vol (bbl),"54,680,101"
10/01/2018,Federal,Onshore,Coal Prod Vol (ton),"26,731,949"
10/01/2018,Federal,Onshore,Gas Prod Vol (mcf),"289,710,553"
10/01/2018,Federal,Onshore,Oil Prod Vol (bbl),"23,128,104"
10/01/2018,Native American,Onshore,Coal Prod Vol (ton),"1,252,350"
10/01/2018,Native American,Onshore,Gas Prod Vol (mcf),"32,638,890"
10/01/2018,Native American,Onshore,Oil Prod Vol (bbl),"7,788,251"
11/01/2018,Federal,Offshore,Gas Prod Vol (mcf),"90,532,142"
11/01/2018,Federal,Offshore,Oil Prod Vol (bbl),"58,952,570"
11/01/2018,Federal,Onshore,Coal Prod Vol (ton),"26,932,688"
11/01/2018,Federal,Onshore,Gas Prod Vol (mcf),"277,773,229"
11/01/2018,Federal,Onshore,Oil Prod Vol (bbl),"22,033,581"
11/01/2018,Native American,Onshore,Coal Prod Vol (ton),"1,487,964"
11/01/2018,Native American,Onshore,Gas Prod Vol (mcf),"31,415,326"
11/01/2018,Native American,Onshore,Oil Prod Vol (bbl),"7,785,661"
12/01/2018,Federal,Offshore,Gas Prod Vol (mcf),"92,328,000"
12/01/2018,Federal,Offshore,Oil Prod Vol (bbl),"59,996,517"
12/01/2018,Federal,Onshore,Coal Prod Vol (ton),"28,361,627"
12/01/2018,Federal,Onshore,Gas Prod Vol (mcf),"288,250,514"
12/01/2018,Federal,Onshore,Oil Prod Vol (bbl),"23,268,069"
12/01/2018,Native American,Onshore,Coal Prod Vol (ton),"1,368,888"
12/01/2018,Native American,Onshore,Gas Prod Vol (mcf),"32,458,078"
12/01/2018,Native American,Onshore,Oil Prod Vol (bbl),"7,938,422"
01/01/2019,Federal,Offshore,Gas Prod Vol (mcf),"94,249,276"
01/01/2019,Federal,Offshore,Oil Prod Vol (bbl),"59,870,632"
01/01/2019,Federal,Onshore,Coal Prod Vol (ton),"28,977,593"
01/01/2019,Federal,Onshore,Gas Prod Vol (mcf),"281,182,824"
01/01/2019,Federal,Onshore,Oil Prod Vol (bbl),"23,543,809"
01/01/2019,Native American,Onshore,Coal Prod Vol (ton),"1,150,322"
01/01/2019,Native American,Onshore,Gas Prod Vol (mcf),"32,295,007"
01/01/2019,Native American,Onshore,Oil Prod Vol (bbl),"8,074,570"
02/01/2019,Federal,Offshore,Gas Prod Vol (mcf),"80,433,942"
02/01/2019,Federal,Offshore,Oil Prod Vol (bbl),"48,945,100"
02/01/2019,Federal,Onshore,Coal Prod Vol (ton),"22,819,653"
02/01/2019,Federal,Onshore,Gas Prod Vol (mcf),"257,172,917"
02/01/2019,Federal,Onshore,Oil Prod Vol (bbl),"21,871,751"
02/01/2019,Native American,Onshore,Coal Prod Vol (ton),"1,113,086"
02/01/2019,Native American,Onshore,Gas Prod Vol (mcf),"28,603,984"
02/01/2019,Native American,Onshore,Oil Prod Vol (bbl),"7,158,875"
03/01/2019,Federal,Offshore,Gas Prod Vol (mcf),"96,098,709"
03/01/2019,Federal,Offshore,Oil Prod Vol (bbl),"60,021,434"
03/01/2019,Federal,Onshore,Coal Prod Vol (ton),"18,331,999"
03/01/2019,Federal,Onshore,Gas Prod Vol (mcf),"286,666,948"
03/01/2019,Federal,Onshore,Oil Prod Vol (bbl),"25,084,294"
03/01/2019,Native American,Onshore,Coal Prod Vol (ton),"979,629"
03/01/2019,Native American,Onshore,Gas Prod Vol (mcf),"33,077,474"
03/01/2019,Native American,Onshore,Oil Prod Vol (bbl),"8,398,065"
04/01/2019,Federal,Offshore,Gas Prod Vol (mcf),"91,170,947"
04/01/2019,Federal,Offshore,Oil Prod Vol (bbl),"59,301,805"
04/01/2019,Federal,Onshore,Coal Prod Vol (ton),"25,741,411"
04/01/2019,Federal,Onshore,Gas Prod Vol (mcf),"278,254,893"
04/01/2019,Federal,Onshore,Oil Prod Vol (bbl),"24,317,019"
04/01/2019,Native American,Onshore,Coal Prod Vol (ton),"1,556,977"
04/01/2019,Native American,Onshore,Gas Prod Vol (mcf),"33,448,131"
04/01/2019,Native American,Onshore,Oil Prod Vol (bbl),"8,267,113"
05/01/2019,Federal,Offshore,Gas Prod Vol (mcf),"91,694,311"
05/01/2019,Federal,Offshore,Oil Prod Vol (bbl),"59,781,391"
05/01/2019,Federal,Onshore,Coal Prod Vol (ton),"24,071,406"
05/01/2019,Federal,Onshore,Gas Prod Vol (mcf),"289,127,125"
05/01/2019,Federal,Onshore,Oil Prod Vol (bbl),"25,679,665"
05/01/2019,Native American,Onshore,Coal Prod Vol (ton),"1,347,300"
05/01/2019,Native American,Onshore,Gas Prod Vol (mcf),"34,000,951"
05/01/2019,Native American,Onshore,Oil Prod Vol (bbl),"8,574,195"
06/01/2019,Federal,Offshore,Gas Prod Vol (mcf),"85,301,229"
06/01/2019,Federal,Offshore,Oil Prod Vol (bbl),"58,116,500"
06/01/2019,Federal,Onshore,Coal Prod Vol (ton),"22,173,626"
06/01/2019,Federal,Onshore,Gas Prod Vol (mcf),"280,547,928"
06/01/2019,Federal,Onshore,Oil Prod Vol (bbl),"24,750,960"
06/01/2019,Native American,Onshore,Coal Prod Vol (ton),"1,002,502"
06/01/2019,Native American,Onshore,Gas Prod Vol (mcf),"33,752,347"
06/01/2019,Native American,Onshore,Oil Prod Vol (bbl),"8,751,176"
07/01/2019,Federal,Offshore,Gas Prod Vol (mcf),"70,627,115"
07/01/2019,Federal,Offshore,Oil Prod Vol (bbl),"47,896,834"
07/01/2019,Federal,Onshore,Coal Prod Vol (ton),"24,792,370"
07/01/2019,Federal,Onshore,Gas Prod Vol (mcf),"273,913,764"
07/01/2019,Federal,Onshore,Oil Prod Vol (bbl),"24,913,686"
07/01/2019,Native American,Onshore,Coal Prod Vol (ton),"906,463"
07/01/2019,Native American,Onshore,Gas Prod Vol (mcf),"35,330,891"
07/01/2019,Native American,Onshore,Oil Prod Vol (bbl),"9,325,209"
08/01/2019,Federal,Offshore,Gas Prod Vol (mcf),"94,465,599"
08/01/2019,Federal,Offshore,Oil Prod Vol (bbl),"63,762,088"
08/01/2019,Federal,Onshore,Coal Prod Vol (ton),"27,972,989"
08/01/2019,Federal,Onshore,Gas Prod Vol (mcf),"281,272,064"
08/01/2019,Federal,Onshore,Oil Prod Vol (bbl),"25,511,761"
08/01/2019,Native American,Onshore,Coal Prod Vol (ton),"1,341,162"
08/01/2019,Native American,Onshore,Gas Prod Vol (mcf),"35,547,307"
08/01/2019,Native American,Onshore,Oil Prod Vol (bbl),"9,326,611"
09/01/2019,Federal,Offshore,Gas Prod Vol (mcf),"87,877,326"
09/01/2019,Federal,Offshore,Oil Prod Vol (bbl),"57,909,789"
09/01/2019,Federal,Onshore,Coal Prod Vol (ton),"25,445,787"
09/01/2019,Federal,Onshore,Gas Prod Vol (mcf),"280,840,058"
09/01/2019,Federal,Onshore,Oil Prod Vol (bbl),"25,548,703"
09/01/2019,Native American,Onshore,Coal Prod Vol (ton),"847,728"
09/01/2019,Native American,Onshore,Gas Prod Vol (mcf),"35,395,605"
09/01/2019,Native American,Onshore,Oil Prod Vol (bbl),"9,414,752"
10/01/2019,Federal,Offshore,Gas Prod Vol (mcf),"90,162,916"
10/01/2019,Federal,Offshore,Oil Prod Vol (bbl),"59,703,128"
10/01/2019,Federal,Onshore,Coal Prod Vol (ton),"25,341,262"
10/01/2019,Federal,Onshore,Gas Prod Vol (mcf),"293,244,535"
10/01/2019,Federal,Onshore,Oil Prod Vol (bbl),"26,836,134"
10/01/2019,Native American,Onshore,Coal Prod Vol (ton),"711,302"
10/01/2019,Native American,Onshore,Gas Prod Vol (mcf),"37,083,740"
10/01/2019,Native American,Onshore,Oil Prod Vol (bbl),"10,228,593"
11/01/2019,Federal,Offshore,Gas Prod Vol (mcf),"87,158,831"
11/01/2019,Federal,Offshore,Oil Prod Vol (bbl),"60,364,084"
11/01/2019,Federal,Onshore,Coal Prod Vol (ton),"21,889,815"
11/01/2019,Federal,Onshore,Gas Prod Vol (mcf),"285,262,336"
11/01/2019,Federal,Onshore,Oil Prod Vol (bbl),"26,999,308"
11/01/2019,Native American,Onshore,Coal Prod Vol (ton),"552,751"
11/01/2019,Native American,Onshore,Gas Prod Vol (mcf),"35,946,696"
11/01/2019,Native American,Onshore,Oil Prod Vol (bbl),"10,129,146"
12/01/2019,Federal,Offshore,Gas Prod Vol (mcf),"91,060,925"
12/01/2019,Federal,Offshore,Oil Prod Vol (bbl),"61,764,285"
12/01/2019,Federal,Onshore,Coal Prod Vol (ton),"23,608,717"
12/01/2019,Federal,Onshore,Gas Prod Vol (mcf),"292,323,631"
12/01/2019,Federal,Onshore,Oil Prod Vol (bbl),"28,330,191"
12/01/2019,Native American,Onshore,Coal Prod Vol (ton),"540,830"
12/01/2019,Native American,Onshore,Gas Prod Vol (mcf),"36,132,642"
12/01/2019,Native American,Onshore,Oil Prod Vol (bbl),"10,141,960"
01/01/2020,Federal,Offshore,Gas Prod Vol (mcf),"89,908,726"
01/01/2020,Federal,Offshore,Oil Prod Vol (bbl),"62,008,004"
01/01/2020,Federal,Onshore,Coal Prod Vol (ton),"23,240,339"
01/01/2020,Federal,Onshore,Gas Prod Vol (mcf),"291,984,575"
01/01/2020,Federal,Onshore,Oil Prod Vol (bbl),"28,118,957"
01/01/2020,Native American,Onshore,Coal Prod Vol (ton),"607,705"
01/01/2020,Native American,Onshore,Gas Prod Vol (mcf),"34,677,530"
01/01/2020,Native American,Onshore,Oil Prod Vol (bbl),"9,275,509"
02/01/2020,Federal,Offshore,Gas Prod Vol (mcf),"84,533,779"
02/01/2020,Federal,Offshore,Oil Prod Vol (bbl),"58,204,848"
02/01/2020,Federal,Onshore,Coal Prod Vol (ton),"19,524,985"
02/01/2020,Federal,Onshore,Gas Prod Vol (mcf),"269,097,450"
02/01/2020,Federal,Onshore,Oil Prod Vol (bbl),"26,979,753"
02/01/2020,Native American,Onshore,Coal Prod Vol (ton),"466,920"
02/01/2020,Native American,Onshore,Gas Prod Vol (mcf),"32,955,030"
02/01/2020,Native American,Onshore,Oil Prod Vol (bbl),"8,835,125"
03/01/2020,Federal,Offshore,Gas Prod Vol (mcf),"91,426,034"
03/01/2020,Federal,Offshore,Oil Prod Vol (bbl),"61,651,487"
03/01/2020,Federal,Onshore,Coal Prod Vol (ton),"19,661,724"
03/01/2020,Federal,Onshore,Gas Prod Vol (mcf),"288,623,989"
03/01/2020,Federal,Onshore,Oil Prod Vol (bbl),"30,309,044"
03/01/2020,Native American,Onshore,Coal Prod Vol (ton),"569,826"
03/01/2020,Native American,Onshore,Gas Prod Vol (mcf),"35,030,549"
03/01/2020,Native American,Onshore,Oil Prod Vol (bbl),"9,173,821"
04/01/2020,Federal,Offshore,Gas Prod Vol (mcf),"83,592,952"
04/01/2020,Federal,Offshore,Oil Prod Vol (bbl),"57,679,850"
04/01/2020,Federal,Onshore,Coal Prod Vol (ton),"16,640,682"
04/01/2020,Federal,Onshore,Gas Prod Vol (mcf),"265,192,185"
04/01/2020,Federal,Onshore,Oil Prod Vol (bbl),"26,482,861"
04/01/2020,Native American,Onshore,Coal Prod Vol (ton),"582,654"
04/01/2020,Native American,Onshore,Gas Prod Vol (mcf),"31,172,348"
04/01/2020,Native American,Onshore,Oil Prod Vol (bbl),"7,900,045"
05/01/2020,Federal,Offshore,Gas Prod Vol (mcf),"67,632,563"
05/01/2020,Federal,Offshore,Oil Prod Vol (bbl),"50,149,289"
05/01/2020,Federal,Onshore,Coal Prod Vol (ton),"17,586,691"
05/01/2020,Federal,Onshore,Gas Prod Vol (mcf),"255,114,890"
05/01/2020,Federal,Onshore,Oil Prod Vol (bbl),"21,848,223"
05/01/2020,Native American,Onshore,Coal Prod Vol (ton),"380,998"
05/01/2020,Native American,Onshore,Gas Prod Vol (mcf),"27,316,805"
05/01/2020,Native American,Onshore,Oil Prod Vol (bbl),"5,581,930"
06/01/2020,Federal,Offshore,Gas Prod Vol (mcf),"65,028,806"
06/01/2020,Federal,Offshore,Oil Prod Vol (bbl),"47,013,897"
06/01/2020,Federal,Onshore,Coal Prod Vol (ton),"17,628,063"
06/01/2020,Federal,Onshore,Gas Prod Vol (mcf),"250,055,186"
06/01/2020,Federal,Onshore,Oil Prod Vol (bbl),"23,006,120"
06/01/2020,Native American,Onshore,Coal Prod Vol (ton),"324,627"
06/01/2020,Native American,Onshore,Gas Prod Vol (mcf),"28,633,932"
06/01/2020,Native American,Onshore,Oil Prod Vol (bbl),"7,015,943"
07/01/2020,Federal,Offshore,Gas Prod Vol (mcf),"71,395,254"
07/01/2020,Federal,Offshore,Oil Prod Vol (bbl),"51,718,242"
07/01/2020,Federal,Onshore,Coal Prod Vol (ton),"18,744,268"
07/01/2020,Federal,Onshore,Gas Prod Vol (mcf),"263,741,991"
07/01/2020,Federal,Onshore,Oil Prod Vol (bbl),"25,654,240"
07/01/2020,Native American,Onshore,Coal Prod Vol (ton),"456,822"
07/01/2020,Native American,Onshore,Gas Prod Vol (mcf),"30,005,997"
07/01/2020,Native American,Onshore,Oil Prod Vol (bbl),"7,572,697"
08/01/2020,Federal,Offshore,Gas Prod Vol (mcf),"47,272,481"
08/01/2020,Federal,Offshore,Oil Prod Vol (bbl),"37,244,611"
08/01/2020,Federal,Onshore,Coal Prod Vol (ton),"21,662,515"
08/01/2020,Federal,Onshore,Gas Prod Vol (mcf),"264,589,823"
08/01/2020,Federal,Onshore,Oil Prod Vol (bbl),"26,539,351"
08/01/2020,Native American,Onshore,Coal Prod Vol (ton),"811,777"
08/01/2020,Native American,Onshore,Gas Prod Vol (mcf),"30,959,842"
08/01/2020,Native American,Onshore,Oil Prod Vol (bbl),"7,853,788"
09/01/2020,Federal,Offshore,Gas Prod Vol (mcf),"52,000,367"
09/01/2020,Federal,Offshore,Oil Prod Vol (bbl),"46,422,251"
