Production Date,Land Class,Land Category,Commodity,Volume
10/01/2013,Federal,Offshore,Oil Prod Vol (bbl),"38,063,930"
10/01/2013,Federal,Onshore,Coal Prod Vol (ton),"32,376,034"
10/01/2013,Federal,Onshore,Gas Prod Vol (mcf),"304,179,927"
10/01/2013,Federal,Onshore,Oil Prod Vol (bbl),"12,006,842"
10/01/2013,Native American,Onshore,Coal Prod Vol (ton),"1,750,278"
10/01/2013,Native American,Onshore,Gas Prod Vol (mcf),"27,558,553"
10/01/2013,Native American,Onshore,Oil Prod Vol (bbl),"4,971,237"
11/01/2013,Federal,Offshore,Gas Prod Vol (mcf),"113,186,673"
11/01/2013,Federal,Offshore,Oil Prod Vol (bbl),"40,705,222"
11/01/2013,Federal,Onshore,Coal Prod Vol (ton),"33,665,424"
11/01/2013,Federal,Onshore,Gas Prod Vol (mcf),"293,451,370"
11/01/2013,Federal,Onshore,Oil Prod Vol (bbl),"11,559,594"
11/01/2013,Native American,Onshore,Coal Prod Vol (ton),"1,970,620"
11/01/2013,Native American,Onshore,Gas Prod Vol (mcf),"26,394,637"
11/01/2013,Native American,Onshore,Oil Prod Vol (bbl),"4,763,446"
12/01/2013,Federal,Offshore,Gas Prod Vol (mcf),"112,085,694"
12/01/2013,Federal,Offshore,Oil Prod Vol (bbl),"41,536,399"
12/01/2013,Federal,Onshore,Coal Prod Vol (ton),"32,510,561"
12/01/2013,Federal,Onshore,Gas Prod Vol (mcf),"293,554,822"
12/01/2013,Federal,Onshore,Oil Prod Vol (bbl),"11,835,112"
12/01/2013,Native American,Onshore,Coal Prod Vol (ton),"1,894,694"
12/01/2013,Native American,Onshore,Gas Prod Vol (mcf),"26,051,372"
12/01/2013,Native American,Onshore,Oil Prod Vol (bbl),"4,695,335"
01/01/2014,Federal,Offshore,Gas Prod Vol (mcf),"107,846,232"
01/01/2014,Federal,Offshore,Oil Prod Vol (bbl),"42,113,512"
01/01/2014,Federal,Onshore,Coal Prod Vol (ton),"34,790,955"
01/01/2014,Federal,Onshore,Gas Prod Vol (mcf),"296,464,652"
01/01/2014,Federal,Onshore,Oil Prod Vol (bbl),"12,246,613"
01/01/2014,Native American,Onshore,Coal Prod Vol (ton),"1,757,529"
01/01/2014,Native American,Onshore,Gas Prod Vol (mcf),"26,630,920"
01/01/2014,Native American,Onshore,Oil Prod Vol (bbl),"4,690,766"
02/01/2014,Federal,Offshore,Gas Prod Vol (mcf),"100,353,829"
02/01/2014,Federal,Offshore,Oil Prod Vol (bbl),"38,741,358"
02/01/2014,Federal,Onshore,Coal Prod Vol (ton),"29,682,030"
02/01/2014,Federal,Onshore,Gas Prod Vol (mcf),"269,355,401"
02/01/2014,Federal,Onshore,Oil Prod Vol (bbl),"11,335,061"
02/01/2014,Native American,Onshore,Coal Prod Vol (ton),"1,485,922"
02/01/2014,Native American,Onshore,Gas Prod Vol (mcf),"24,637,759"
02/01/2014,Native American,Onshore,Oil Prod Vol (bbl),"4,407,526"
03/01/2014,Federal,Offshore,Gas Prod Vol (mcf),"110,289,136"
03/01/2014,Federal,Offshore,Oil Prod Vol (bbl),"42,350,207"
03/01/2014,Federal,Onshore,Coal Prod Vol (ton),"34,623,327"
03/01/2014,Federal,Onshore,Gas Prod Vol (mcf),"300,493,668"
03/01/2014,Federal,Onshore,Oil Prod Vol (bbl),"12,933,817"
03/01/2014,Native American,Onshore,Coal Prod Vol (ton),"1,998,634"
03/01/2014,Native American,Onshore,Gas Prod Vol (mcf),"27,406,641"
03/01/2014,Native American,Onshore,Oil Prod Vol (bbl),"4,873,504"
04/01/2014,Federal,Offshore,Gas Prod Vol (mcf),"110,515,310"
04/01/2014,Federal,Offshore,Oil Prod Vol (bbl),"44,227,740"
04/01/2014,Federal,Onshore,Coal Prod Vol (ton),"32,988,348"
04/01/2014,Federal,Onshore,Gas Prod Vol (mcf),"289,093,513"
04/01/2014,Federal,Onshore,Oil Prod Vol (bbl),"12,696,466"
04/01/2014,Native American,Onshore,Coal Prod Vol (ton),"1,820,690"
04/01/2014,Native American,Onshore,Gas Prod Vol (mcf),"27,077,158"
04/01/2014,Native American,Onshore,Oil Prod Vol (bbl),"4,886,127"
05/01/2014,Federal,Offshore,Gas Prod Vol (mcf),"116,214,621"
05/01/2014,Federal,Offshore,Oil Prod Vol (bbl),"45,565,794"
05/01/2014,Federal,Onshore,Coal Prod Vol (ton),"34,429,428"
05/01/2014,Federal,Onshore,Gas Prod Vol (mcf),"296,607,065"
05/01/2014,Federal,Onshore,Oil Prod Vol (bbl),"13,471,917"
05/01/2014,Native American,Onshore,Coal Prod Vol (ton),"1,935,957"
05/01/2014,Native American,Onshore,Gas Prod Vol (mcf),"27,623,634"
05/01/2014,Native American,Onshore,Oil Prod Vol (bbl),"5,161,708"
06/01/2014,Federal,Offshore,Gas Prod Vol (mcf),"112,392,061"
06/01/2014,Federal,Offshore,Oil Prod Vol (bbl),"44,049,359"
06/01/2014,Federal,Onshore,Coal Prod Vol (ton),"33,330,150"
06/01/2014,Federal,Onshore,Gas Prod Vol (mcf),"287,705,291"
06/01/2014,Federal,Onshore,Oil Prod Vol (bbl),"13,230,291"
06/01/2014,Native American,Onshore,Coal Prod Vol (ton),"1,138,596"
06/01/2014,Native American,Onshore,Gas Prod Vol (mcf),"26,726,398"
06/01/2014,Native American,Onshore,Oil Prod Vol (bbl),"5,239,588"
07/01/2014,Federal,Offshore,Gas Prod Vol (mcf),"115,129,019"
07/01/2014,Federal,Offshore,Oil Prod Vol (bbl),"45,970,762"
07/01/2014,Federal,Onshore,Coal Prod Vol (ton),"35,490,509"
07/01/2014,Federal,Onshore,Gas Prod Vol (mcf),"295,043,135"
07/01/2014,Federal,Onshore,Oil Prod Vol (bbl),"13,987,653"
07/01/2014,Native American,Onshore,Coal Prod Vol (ton),"1,683,686"
07/01/2014,Native American,Onshore,Gas Prod Vol (mcf),"27,632,547"
07/01/2014,Native American,Onshore,Oil Prod Vol (bbl),"5,258,445"
08/01/2014,Federal,Offshore,Gas Prod Vol (mcf),"116,132,898"
08/01/2014,Federal,Offshore,Oil Prod Vol (bbl),"46,295,033"
08/01/2014,Federal,Onshore,Coal Prod Vol (ton),"36,037,153"
08/01/2014,Federal,Onshore,Gas Prod Vol (mcf),"290,272,864"
08/01/2014,Federal,Onshore,Oil Prod Vol (bbl),"13,892,651"
08/01/2014,Native American,Onshore,Coal Prod Vol (ton),"1,750,222"
08/01/2014,Native American,Onshore,Gas Prod Vol (mcf),"28,297,125"
08/01/2014,Native American,Onshore,Oil Prod Vol (bbl),"5,540,375"
09/01/2014,Federal,Offshore,Gas Prod Vol (mcf),"111,795,848"
09/01/2014,Federal,Offshore,Oil Prod Vol (bbl),"44,314,603"
09/01/2014,Federal,Onshore,Coal Prod Vol (ton),"32,763,629"
09/01/2014,Federal,Onshore,Gas Prod Vol (mcf),"285,503,431"
09/01/2014,Federal,Onshore,Oil Prod Vol (bbl),"13,498,330"
09/01/2014,Native American,Onshore,Coal Prod Vol (ton),"1,690,498"
09/01/2014,Native American,Onshore,Gas Prod Vol (mcf),"26,920,390"
09/01/2014,Native American,Onshore,Oil Prod Vol (bbl),"5,380,541"
10/01/2014,Federal,Offshore,Gas Prod Vol (mcf),"116,050,717"
10/01/2014,Federal,Offshore,Oil Prod Vol (bbl),"45,952,636"
10/01/2014,Federal,Onshore,Coal Prod Vol (ton),"35,706,815"
10/01/2014,Federal,Onshore,Gas Prod Vol (mcf),"294,707,010"
10/01/2014,Federal,Onshore,Oil Prod Vol (bbl),"14,731,217"
10/01/2014,Native American,Onshore,Coal Prod Vol (ton),"1,618,495"
10/01/2014,Native American,Onshore,Gas Prod Vol (mcf),"27,117,877"
10/01/2014,Native American,Onshore,Oil Prod Vol (bbl),"5,431,134"
11/01/2014,Federal,Offshore,Gas Prod Vol (mcf),"106,704,659"
11/01/2014,Federal,Offshore,Oil Prod Vol (bbl),"43,283,494"
11/01/2014,Federal,Onshore,Coal Prod Vol (ton),"34,749,343"
11/01/2014,Federal,Onshore,Gas Prod Vol (mcf),"287,979,051"
11/01/2014,Federal,Onshore,Oil Prod Vol (bbl),"14,346,268"
11/01/2014,Native American,Onshore,Coal Prod Vol (ton),"1,438,145"
11/01/2014,Native American,Onshore,Gas Prod Vol (mcf),"26,248,218"
11/01/2014,Native American,Onshore,Oil Prod Vol (bbl),"5,314,536"
12/01/2014,Federal,Offshore,Gas Prod Vol (mcf),"113,023,911"
12/01/2014,Federal,Offshore,Oil Prod Vol (bbl),"46,728,405"
12/01/2014,Federal,Onshore,Coal Prod Vol (ton),"34,896,430"
12/01/2014,Federal,Onshore,Gas Prod Vol (mcf),"295,276,927"
12/01/2014,Federal,Onshore,Oil Prod Vol (bbl),"15,266,982"
12/01/2014,Native American,Onshore,Coal Prod Vol (ton),"1,610,645"
12/01/2014,Native American,Onshore,Gas Prod Vol (mcf),"26,992,757"
12/01/2014,Native American,Onshore,Oil Prod Vol (bbl),"5,374,201"
01/01/2015,Federal,Offshore,Gas Prod Vol (mcf),"113,368,271"
01/01/2015,Federal,Offshore,Oil Prod Vol (bbl),"46,704,429"
01/01/2015,Federal,Onshore,Coal Prod Vol (ton),"35,837,786"
01/01/2015,Federal,Onshore,Gas Prod Vol (mcf),"290,638,486"
01/01/2015,Federal,Onshore,Oil Prod Vol (bbl),"15,209,947"
01/01/2015,Native American,Onshore,Coal Prod Vol (ton),"1,534,367"
01/01/2015,Native American,Onshore,Gas Prod Vol (mcf),"26,654,872"
01/01/2015,Native American,Onshore,Oil Prod Vol (bbl),"5,416,940"
02/01/2015,Federal,Offshore,Gas Prod Vol (mcf),"100,576,192"
02/01/2015,Federal,Offshore,Oil Prod Vol (bbl),"42,327,937"
02/01/2015,Federal,Onshore,Coal Prod Vol (ton),"30,718,492"
02/01/2015,Federal,Onshore,Gas Prod Vol (mcf),"264,752,056"
02/01/2015,Federal,Onshore,Oil Prod Vol (bbl),"14,125,427"
02/01/2015,Native American,Onshore,Coal Prod Vol (ton),"1,558,406"
02/01/2015,Native American,Onshore,Gas Prod Vol (mcf),"24,020,031"
02/01/2015,Native American,Onshore,Oil Prod Vol (bbl),"5,051,059"
03/01/2015,Federal,Offshore,Gas Prod Vol (mcf),"101,933,470"
03/01/2015,Federal,Offshore,Oil Prod Vol (bbl),"44,235,910"
03/01/2015,Federal,Onshore,Coal Prod Vol (ton),"32,855,558"
03/01/2015,Federal,Onshore,Gas Prod Vol (mcf),"296,734,015"
03/01/2015,Federal,Onshore,Oil Prod Vol (bbl),"16,271,893"
03/01/2015,Native American,Onshore,Coal Prod Vol (ton),"1,441,836"
03/01/2015,Native American,Onshore,Gas Prod Vol (mcf),"26,970,138"
03/01/2015,Native American,Onshore,Oil Prod Vol (bbl),"5,592,203"
04/01/2015,Federal,Offshore,Gas Prod Vol (mcf),"113,010,854"
04/01/2015,Federal,Offshore,Oil Prod Vol (bbl),"46,465,840"
04/01/2015,Federal,Onshore,Coal Prod Vol (ton),"28,846,112"
04/01/2015,Federal,Onshore,Gas Prod Vol (mcf),"289,540,250"
04/01/2015,Federal,Onshore,Oil Prod Vol (bbl),"15,862,721"
04/01/2015,Native American,Onshore,Coal Prod Vol (ton),"1,541,307"
04/01/2015,Native American,Onshore,Gas Prod Vol (mcf),"25,674,195"
04/01/2015,Native American,Onshore,Oil Prod Vol (bbl),"5,038,303"
05/01/2015,Federal,Offshore,Gas Prod Vol (mcf),"117,142,766"
05/01/2015,Federal,Offshore,Oil Prod Vol (bbl),"45,003,548"
05/01/2015,Federal,Onshore,Coal Prod Vol (ton),"27,400,394"
05/01/2015,Federal,Onshore,Gas Prod Vol (mcf),"294,267,875"
05/01/2015,Federal,Onshore,Oil Prod Vol (bbl),"16,011,547"
05/01/2015,Native American,Onshore,Coal Prod Vol (ton),"1,799,151"
05/01/2015,Native American,Onshore,Gas Prod Vol (mcf),"26,311,998"
05/01/2015,Native American,Onshore,Oil Prod Vol (bbl),"5,087,618"
06/01/2015,Federal,Offshore,Gas Prod Vol (mcf),"109,719,979"
06/01/2015,Federal,Offshore,Oil Prod Vol (bbl),"43,143,757"
06/01/2015,Federal,Onshore,Coal Prod Vol (ton),"28,418,282"
06/01/2015,Federal,Onshore,Gas Prod Vol (mcf),"285,083,364"
06/01/2015,Federal,Onshore,Oil Prod Vol (bbl),"15,518,233"
06/01/2015,Native American,Onshore,Coal Prod Vol (ton),"1,698,264"
06/01/2015,Native American,Onshore,Gas Prod Vol (mcf),"25,160,500"
06/01/2015,Native American,Onshore,Oil Prod Vol (bbl),"5,116,456"
07/01/2015,Federal,Offshore,Gas Prod Vol (mcf),"121,187,670"
07/01/2015,Federal,Offshore,Oil Prod Vol (bbl),"49,229,102"
07/01/2015,Federal,Onshore,Coal Prod Vol (ton),"32,434,763"
07/01/2015,Federal,Onshore,Gas Prod Vol (mcf),"291,335,290"
07/01/2015,Federal,Onshore,Oil Prod Vol (bbl),"15,508,548"
07/01/2015,Native American,Onshore,Coal Prod Vol (ton),"1,528,851"
07/01/2015,Native American,Onshore,Gas Prod Vol (mcf),"27,099,786"
07/01/2015,Native American,Onshore,Oil Prod Vol (bbl),"5,551,129"
08/01/2015,Federal,Offshore,Gas Prod Vol (mcf),"123,314,133"
08/01/2015,Federal,Offshore,Oil Prod Vol (bbl),"51,147,545"
08/01/2015,Federal,Onshore,Coal Prod Vol (ton),"35,097,309"
