Calendar Year,Corporate Name,Revenue Type,Commodity,Revenues
2024,1237025 NEVADA INC,BLM - Permit Fees,Mining Claims,"$112,600.00 "
2024,1876 RESOURCES LLC,BLM - Permit Fees,Oil & Gas,"$174,700.00 "
2024,3R OPERATING LLC,BLM - Permit Fees,Oil & Gas,"$18,575.00 "
2024,3R OPERATING LLC,ONRR - Other Revenues,Oil & Gas,"$592,199.54 "
2024,3R OPERATING LLC,ONRR - Royalties,Gas,"$192,901.49 "
2024,3R OPERATING LLC,ONRR - Royalties,Oil,"$3,378,245.38 "
2024,4TH GEN FUELS LLC,OSMRE - AML Fees including Audits and Late Charges,Coal,"$119,809.26 "
2024,A U MINES INC,BLM - Permit Fees,Mining Claims,"$167,400.00 "
2024,A1 LITHIUM INC,BLM - Permit Fees,Mining Claims,"$271,090.00 "
2024,ABC SAND & ROCK,BLM - Permit Fees,Mineral Materials,"$1,086,225.17 "
2024,ADVANCE WIRELESS COMMUNICATIONS LLC,ONRR - Other Revenues,Oil & Gas,"$2,462.57 "
2024,ADVANCE WIRELESS COMMUNICATIONS LLC,ONRR - Royalties,Gas,"$245,032.20 "
2024,ADVANCE WIRELESS COMMUNICATIONS LLC,ONRR - Royalties,Oil,"$155,309.91 "
2024,AERA ENERGY LLC,ONRR - Other Revenues,Oil & Gas,"$1,710.00 "
2024,AERA ENERGY LLC,ONRR - Royalties,Gas,"$16,716.42 "
2024,AERA ENERGY LLC,ONRR - Royalties,Oil,"$10,174,670.19 "
2024,AERA ENERGY LLC,ONRR/BLM - Rents,Oil & Gas,"$1,297.00 "
2024,AETHON ENERGY MANGEMENT LLC,ONRR - Other Revenues,Oil & Gas,"$61,073.83 "
2024,AETHON ENERGY MANGEMENT LLC,ONRR - Royalties,Gas,"$6,916,194.26 "
2024,AETHON ENERGY MANGEMENT LLC,ONRR - Royalties,Oil,"$668,176.38 "
2024,AETHON ENERGY MANGEMENT LLC,ONRR/BLM - Rents,Oil & Gas,"$145,414.50 "
2024,AGNICO EAGLE USA LIMITED,BLM - Permit Fees,Locatable Minerals,"$128,400.00 "
2024,ALAMO-PALACE MP 59 LLC,ONRR - Royalties,Oil,"$626,819.13 "
2024,ALCOA FUELS INC,OSMRE - AML Fees including Audits and Late Charges,Coal,"$155,617.51 "
2024,ALLEGIANT GOLD US LTD,BLM - Permit Fees,Mining Claims,"$270,930.00 "
2024,ALMADEX AMERICA INC,BLM - Permit Fees,Locatable Minerals,"$38,319.00 "
2024,ALMADEX AMERICA INC,BLM - Permit Fees,Mining Claims,"$416,543.00 "
2024,ALTA MAR ENERGY WINTERFELL LLC,ONRR - Royalties,Gas,"$7,341.04 "
2024,ALTA MAR ENERGY WINTERFELL LLC,ONRR - Royalties,Oil,"$800,619.08 "
2024,ALTAMONT ENERGY LLC,BLM - Permit Fees,Oil & Gas,"$2,000.00 "
2024,ALTAMONT ENERGY LLC,ONRR - Royalties,Gas,"$3,192.36 "
2024,ALTAMONT ENERGY LLC,ONRR - Royalties,Oil,"$104,745.54 "
2024,AMEREDEV II LLC,ONRR - Other Revenues,Oil & Gas,"$319,049.16 "
2024,AMEREDEV II LLC,ONRR - Royalties,Gas,"$5,648,112.36 "
2024,AMEREDEV II LLC,ONRR - Royalties,Oil,"$55,923,366.69 "
2024,AMEREDEV II LLC,ONRR/BLM - Rents,Oil & Gas,"$5,640.00 "
2024,AMERICAN BATTERY TECHNOLOGY COMPANY,BLM - Permit Fees,Mining Claims,"$106,400.00 "
2024,AMERICAN COLLOID CO,BLM - Permit Fees,Mining Claims,"$255,000.00 "
2024,AMERICAN CONSOLIDATED NATURAL RES INC,OSMRE - AML Fees including Audits and Late Charges,Coal,"$2,466,150.01 "
2024,AMERICAN COPPER NMX INC,BLM - Permit Fees,Mining Claims,"$146,320.00 "
2024,AMERICAN GILSONITE CO,ONRR - Other Revenues,Gilsonite,"$8,247.28 "
2024,AMERICAN GILSONITE CO,ONRR - Royalties,Gilsonite,"$1,730,731.00 "
2024,AMERICAN GILSONITE CO,ONRR/BLM - Rents,Gilsonite,"$1,402.50 "
2024,AMERICAN GOLD CAPITAL US INC,BLM - Permit Fees,Mining Claims,"$101,800.00 "
2024,AMERICAN POTASH CORP,BLM - Permit Fees,Mining Claims,"$193,400.00 "
2024,AMERICAN SODA LLC,BLM - Permit Fees,Other Leasable Minerals,"$43,635.00 "
2024,AMERICAN SODA LLC,ONRR - Other Revenues,Sodium,"$69,229.94 "
2024,AMERICAN SODA LLC,ONRR - Royalties,Soda Ash,"$1,608,162.81 "
2024,AMERICAN SODA LLC,ONRR - Royalties,Sodium,"$696,236.54 "
2024,AMERICAN SODA LLC,ONRR/BLM - Rents,Sodium,"($31,150.00)"
2024,AMPLIFY ENERGY CORP,ONRR - Other Revenues,N/a,$772.03 
2024,AMPLIFY ENERGY CORP,ONRR - Other Revenues,Oil & Gas,"$33,313.72 "
2024,AMPLIFY ENERGY CORP,ONRR - Royalties,Gas,"$1,001,777.10 "
2024,AMPLIFY ENERGY CORP,ONRR - Royalties,Oil,"$31,810,660.95 "
2024,AMPLIFY ENERGY CORP,ONRR - Inspection Fees,N/a,"$172,475.00 "
2024,AMPLIFY ENERGY CORP,ONRR/BLM - Rents,Oil & Gas,"$4,439.25 "
2024,ANADARKO E&P ONSHORE,BLM - Permit Fees,Oil & Gas,"$223,110.00 "
2024,ANCHOR CRUDE MARKETING LLC,ONRR - Royalties,Oil,"$319,399.87 "
2024,ANGLO-BOMARC US INC,BLM - Permit Fees,Mining Claims,"$189,880.00 "
2024,ANOVA METALS USA LLC,BLM - Permit Fees,Mining Claims,"$196,505.00 "
2024,ANSCHUTZ EXPLORATION CORP,BLM - Permit Fees,Oil & Gas,"$118,910.00 "
2024,ANSCHUTZ EXPLORATION CORPORATION,BLM - Permit Fees,Oil & Gas,"$3,993,455.00 "
2024,ANTELOPE MARYSVALE EXPLORATION LLC,BLM - Permit Fees,Mining Claims,"$110,400.00 "
2024,APA CORP,ONRR - Other Revenues,N/a,"$8,174.07 "
2024,APA CORP,ONRR - Other Revenues,Oil,"$80,348.84 "
2024,APA CORP,ONRR - Other Revenues,Oil & Gas,"($291,228.58)"
2024,APA CORP,ONRR - Royalties,Gas,"$5,680,019.35 "
2024,APA CORP,ONRR - Royalties,Oil,"$35,990,546.71 "
2024,APA CORP,ONRR - Civil Penalties,N/a,"$74,675.00 "
2024,APA CORP,ONRR - Inspection Fees,N/a,"$2,095,060.00 "
2024,APA CORP,ONRR/BLM - Rents,Oil & Gas,"$9,315.00 "
2024,APEX OIL AND GAS INC,ONRR - Other Revenues,Oil & Gas,"$9,088.32 "
2024,APEX OIL AND GAS INC,ONRR - Royalties,Gas,"$249,777.24 "
2024,APEX OIL AND GAS INC,ONRR - Royalties,Oil,"$41,160.00 "
2024,APPALACHIAN RES WEST VIRGINIA LLC,OSMRE - AML Fees including Audits and Late Charges,Coal,"$130,858.13 "
2024,AQUITARD COPPER CORP,BLM - Permit Fees,Mining Claims,"$578,780.00 "
2024,ARACOMA COAL CO LLC,OSMRE - AML Fees including Audits and Late Charges,Coal,"$245,020.65 "
2024,ARB ENERGY UTAH LLC,ONRR - Other Revenues,Oil & Gas,"$10,979.38 "
2024,ARB ENERGY UTAH LLC,ONRR - Royalties,Gas,"$251,911.97 "
2024,ARB ENERGY UTAH LLC,ONRR - Royalties,Oil,"$4,570.00 "
2024,ARB ENERGY UTAH LLC,ONRR/BLM - Rents,Oil & Gas,"$5,835.00 "
2024,ARCH RESOURCES,ONRR - Other Revenues,Coal,"$44,324.28 "
2024,ARCH RESOURCES,ONRR - Royalties,Coal,"$85,173,655.03 "
2024,ARCH RESOURCES,ONRR/BLM - Rents,Coal,"$143,628.00 "
2024,ARCH WESTERN RESOURCES LLC,OSMRE - AML Fees including Audits and Late Charges,Coal,"$11,365,762.06 "
2024,ARCLIGHT CAPITAL PARTNERS,ONRR - Other Revenues,N/a,$243.00 
2024,ARCLIGHT CAPITAL PARTNERS,ONRR - Other Revenues,Oil & Gas,"($423,284.75)"
2024,ARCLIGHT CAPITAL PARTNERS,ONRR - Royalties,Gas,"$7,094,922.37 "
2024,ARCLIGHT CAPITAL PARTNERS,ONRR - Royalties,Oil,"$2,304,531.82 "
2024,ARCLIGHT CAPITAL PARTNERS,ONRR/BLM - Rents,Oil & Gas,"$14,741.00 "
2024,ARENA ENERGY,ONRR - Other Revenues,Oil,"($22,015.02)"
2024,ARENA ENERGY,ONRR - Other Revenues,Oil & Gas,"($82,848.52)"
2024,ARENA ENERGY,ONRR - Royalties,Gas,"$3,963,083.64 "
2024,ARENA ENERGY,ONRR - Royalties,Oil,"$93,861,001.44 "
2024,ARENA ENERGY,ONRR - Civil Penalties,N/a,"$31,323.00 "
2024,ARENA ENERGY,ONRR - Inspection Fees,N/a,"$2,319,835.00 "
2024,ARENA ENERGY,ONRR/BLM - Bonus,Oil & Gas,"$815,328.00 "
2024,ARENA ENERGY,ONRR/BLM - Rents,Oil & Gas,"$1,185,187.00 "
2024,ARMSTRONG ENERGY CORP,BLM - Permit Fees,Oil & Gas,$195.00 
2024,ARMSTRONG ENERGY CORP,ONRR - Other Revenues,Oil & Gas,"$1,696.34 "
2024,ARMSTRONG ENERGY CORP,ONRR - Royalties,Gas,"$30,226.96 "
2024,ARMSTRONG ENERGY CORP,ONRR - Royalties,Oil,"$286,118.98 "
2024,ARMSTRONG ENERGY CORP,ONRR/BLM - Bonus,Oil & Gas,"$112,320.00 "
2024,ARMSTRONG ENERGY CORP,ONRR/BLM - Rents,Oil & Gas,"$11,728.00 "
2024,ARNELL OIL CO,ONRR - Other Revenues,Oil & Gas,$160.00 
2024,ARNELL OIL CO,ONRR - Royalties,Oil,"$794,601.10 "
2024,ASARCO LLC,BLM - Permit Fees,Mining Claims,"$374,384.00 "
2024,ASPECT HOLDINGS LLC,ONRR/BLM - Rents,Geothermal,"$112,776.00 "
2024,ATR ENERGY CORP,BLM - Permit Fees,Oil & Gas,"$24,310.00 "
2024,ATR ENERGY CORP,ONRR - Other Revenues,Oil & Gas,"$1,401.36 "
2024,ATR ENERGY CORP,ONRR - Royalties,Oil,"$125,222.75 "
2024,AU-REKA GOLD CORP,BLM - Permit Fees,Mining Claims,"$334,200.00 "
2024,AUSTIN AMERICAN CORPORATION,BLM - Permit Fees,Mining Claims,"$141,240.00 "
2024,AUTHIUM LLC,BLM - Permit Fees,Mining Claims,"$185,800.00 "
2024,AVAD ENERGY PARTNERS LLC,ONRR - Other Revenues,Oil & Gas,"$149,449.11 "
2024,AVAD ENERGY PARTNERS LLC,ONRR - Royalties,Gas,"$462,695.89 "
2024,AVANT NATURAL RESOURCES LLC,ONRR - Other Revenues,Oil & Gas,"($1,243,432.54)"
