Calendar Year,Corporate Name,Revenue Type,Commodity,Revenues
2013,ANGLO SUISSE OFFSHORE PARTNERS LLC,ONRR/BLM - Rents,Oil & Gas,540
2013,ANKOR ENERGY LLC,ONRR - Inspection Fees,Oil & Gas,1049300
2013,ANKOR ENERGY LLC,ONRR - Other Revenues,Oil & Gas,-12222.13
2013,ANKOR ENERGY LLC,ONRR - Royalties,Gas,6475447.17
2013,ANKOR ENERGY LLC,ONRR - Royalties,Oil,51616337.48
2013,ANKOR ENERGY LLC,ONRR/BLM - Rents,Oil & Gas,177490
2013,ANTERO RESOURCES CORP,BLM - Permit Fees,Oil & Gas,2975
2013,ANTERO RESOURCES CORP,ONRR - Other Revenues,Oil & Gas,-63285.55
2013,ANTERO RESOURCES CORP,ONRR - Royalties,Gas,232174.38
2013,ANTERO RESOURCES CORP,ONRR - Royalties,Oil,88834.77
2013,ANTERO RESOURCES CORP,ONRR/BLM - Rents,Oil & Gas,25720
2013,APACHE CORP,ONRR - Inspection Fees,Oil & Gas,122000
2013,APACHE CORP,ONRR - Other Revenues,Oil & Gas,2595866.52
2013,APACHE CORP,ONRR - Royalties,Gas,73834462.64
2013,APACHE CORP,ONRR - Royalties,Oil,364754961
2013,APACHE CORP,ONRR/BLM - Bonus,Oil & Gas,33478000
2013,APACHE CORP,ONRR/BLM - Rents,Oil & Gas,3627692
2013,APEX ENERGY INC,OSMRE - AML Fees including Audits and Late Charges ,Coal,215501.73
2013,APEX OIL & GAS INC,ONRR - Other Revenues,Oil & Gas,1025.8
2013,APEX OIL & GAS INC,ONRR - Royalties,Gas,1371662.56
2013,APEX OIL & GAS INC,ONRR - Royalties,Oil,58140.09
2013,APEX OIL & GAS INC,ONRR/BLM - Bonus,Oil & Gas,23017
2013,APEX OIL & GAS INC,ONRR/BLM - Rents,Oil & Gas,36594
2013,APOGEE COAL CO LLC,OSMRE - AML Fees including Audits and Late Charges ,Coal,505566.53
2013,ARCH COAL INC,BLM - Permit Fees,Oil & Gas,734
2013,ARCH COAL INC,ONRR - Other Revenues,Coal,3583452.5
2013,ARCH COAL INC,ONRR - Royalties,Coal,182167078.4
2013,ARCH COAL INC,ONRR/BLM - Bonus,Coal,60436982.34
2013,ARCH COAL INC,ONRR/BLM - Rents,Coal,205384.75
2013,ARCH COAL INC,ONRR/BLM - Rents,Oil & Gas,30196.5
