original_name,new_name
CAERUS WASHCO LLC,CAERUS OIL AND GAS LLC
CATAMOUNT ENERGY PARTNERS,CATAMOUNT ENERGY PARTNERS LLC
CAZA,CAZA OIL AND GAS INC
CAZA OIL & GAS INC,CAZA OIL AND GAS INC
CEMEX SAB DE CV,CEMEX
CHORD ENERGY,CHORD ENERGY CORP
CIMAREX ENERGY INC,CIMAREX ENERGY CO
CITATION OIL & GAS CORP,CITATION OIL AND GAS CORP
CITIZEN ENERGY III LLC,CITIZEN ENERGY LLC
CITIZEN ENERGY OPERATING LLC,CITIZEN ENERGY LLC
CLOUD PEAK ENERGY INC,CLOUD PEAK ENERGY RESOURCES LLC
COBALT INTERNATIONAL ENERGY LP,COBALT INTERNATIONAL ENERGY INC
COLEMAN OIL & GAS INC,COLEMAN OIL AND GAS INC
CONCORD ENERGY HOLDINGS LLC,CONCORD ENERGY LLC
CONTANGO OIL & GAS CO,CONTANGO OIL AND GAS CO
CONTANGO OPERATORS INC,CONTANGO OIL AND GAS CO
CONTANGO RESOURCES INC,CONTANGO OIL AND GAS CO
COUNTRYMARK COOPERATIVE HOLDING CORP,COUNTRYMARK
COUNTRYMARK REFINING AND LOGISTICS LLC,COUNTRYMARK
CRESTONE PEAK RESOURCES OPERATING LLS,CRESTONE PEAK RESOURCES OPERATING LLC
CRIMSON RESOURCE MANAGEMENT,CRIMSON RESOURCE MANAGEMENT CORP
CROWN OIL PARTNERS,CROWN ENERGY PARTNERS LLC
DENBURY ONSHORE LLC,DENBURY INC
DENBURY RESOURCES INC,DENBURY INC
DERBY EXPLORATION LLC,DERBY ENERGY LLC
DESERT EAGLE HOLDING COMPANY LLC,DESERT EAGLE HOLDING CO LLC
DIVERSIFIED OIL & GAS LLC,DIVERSIFIED ENERGY CO PLC
DIVERSIFIED OIL AND GAS LLC,DIVERSIFIED ENERGY CO PLC
DJ SIMMONS CO,DJ SIMMONS INC
DJR OPERATING LLC,DJR ENERGY LLC
DOMINION PRODUCTION CO LLC,DOMINION ENERGY INC
ECOPETROL AMERICA INC,ECOPETROL SA
ELK PETROLEUM LTD,ELK PETROLEUM
EMPIRE NEW MEXICO LLC,EMPIRE PETROLEUM CORP
ENDURANCE PROPERTIES INC,ENDURANCE RESOURCES LLC
ENDURANCE RESOURCES III LLC,ENDURANCE RESOURCES LLC
ENEL GREEN POWER NORTH AMERICA INC,ENEL SPA
ENEL SPA ITALY,ENEL SPA
ENERGY XXI GOM LLC,ENERGY XXI LLC
ENERGY XXI LTD,ENERGY XXI LLC
ENERPLUS RESOURCES CORP,ENERPLUS CORP
ENERQUEST OIL & GAS LLC,ENERQUEST OIL AND GAS LLC
ENERQUEST OPERATING LLC,ENERQUEST OIL AND GAS LLC
ENI USA INC,ENI SPA
EP ENERGY CORP,EP ENERGY LLC
EP ENERGY E&P CO LP,EP ENERGY LLC
EPIC ENERGY SERVICES LLC,EPIC ENERGY LLC
EVEREST OIL & GAS LLC,EVEREST OIL AND GAS LLC
EXARO ENERGY LLC,EXARO ENERGY III LLC
EXARO III ENERGY LLC,EXARO ENERGY III LLC
EXTRACTION OIL & GAS INC,EXTRACTION OIL AND GAS LLC
EXTRACTION OIL & GAS LLC,EXTRACTION OIL AND GAS LLC
FAIR OIL LTD,FAIR OIL LC
FAIRWAYS OFFSHORE EXPLORATION INC,FAIRWAY RESOURCES OPERATING III LLC
FAIRWAYS RESOURCES,FAIRWAY RESOURCES OPERATING III LLC
FASKEN LAND & MINERALS LTD,FASKEN OIL AND RANCH LTD
FASKEN LAND AND MINERALS,FASKEN OIL AND RANCH LTD
FOUNDATION ENERGY COMPANY LLC,FOUNDATION ENERGY MANAGEMENT
FOUR CORNERS PETROLEUM LLC,FOUR CORNERS ENERGY LLC
FREEPORT MCMORAN INC,FREEPORT-MCMORAN INC
FREEPORT-MCMORAN O&G LLC,FREEPORT-MCMORAN INC
FREEPOINT RESOURCES LLC,FREEPOINT COMMODITIES HOLDINGS LLC
FUNDARE RESOURCES OPERATING CO LLC,FUNDARE RESOURCES GROUP
GENESIS CRUDE OIL LP,GENESIS ENERGY LP
GENESIS ST OPERATING LLC,GENESIS ENERGY LP
GOM ENERGY VENTURE III LLC,GOM ENERGY VENTURE I LLC
GOMEX ENERGY LLC,GOMEX ENERGY OFFSHORE LTD
