Calendar Year,Corporate Name,Revenue Type,Commodity,Revenues
2025,0862130 CORP,BLM - Permit Fees,Mining Claims,"$101,600.00"
2025,1237025 NEVADA INC,BLM - Permit Fees,Locatable Minerals,"$4,172.00"
2025,1237025 NEVADA INC,BLM - Permit Fees,Mining Claims,"$132,400.00"
2025,31 GROUP LLC,ONRR - Civil Penalties,N/a,"$1,312.46"
2025,31 GROUP LLC,ONRR - Other Revenues,N/a,"$14,824.00"
2025,31 GROUP LLC,ONRR - Other Revenues,Oil & gas (pre-production),"$1,815,126.92"
2025,3PL OPERATING INC,BLM - Permit Fees,Geothermal,$520.00
2025,3PL OPERATING INC,BLM - Permit Fees,Locatable Minerals,"$413,061.00"
2025,3R OPERATING LLC,BLM - Permit Fees,Oil & gas (pre-production),"$3,000.00"
2025,3R OPERATING LLC,ONRR - Other Revenues,Oil & gas (pre-production),"$1,185,881.08"
2025,3R OPERATING LLC,ONRR - Royalties,Gas,"$1,283,128.78"
2025,3R OPERATING LLC,ONRR - Royalties,Oil,"$6,080,599.08"
2025,4TH GEN FUELS LLC,OSMRE - AML Fees including Audits and Late Charges,Coal,"$149,379.38"
2025,A1 LITHIUM INC,BLM - Permit Fees,Mining Claims,"$227,000.00"
2025,ABC SAND AND ROCK,BLM - Permit Fees,Mineral Materials,"$393,686.97"
2025,ADVANCE WIRELESS COMMUNICATIONS LLC,ONRR - Other Revenues,N/a,$436.00
2025,ADVANCE WIRELESS COMMUNICATIONS LLC,ONRR - Other Revenues,Oil & gas (pre-production),"$5,962.68"
2025,ADVANCE WIRELESS COMMUNICATIONS LLC,ONRR - Royalties,Gas,"$239,934.70"
2025,ADVANCE WIRELESS COMMUNICATIONS LLC,ONRR - Royalties,Oil,"$90,514.95"
2025,AERA ENERGY LLC,ONRR - Other Revenues,Oil & gas (pre-production),"$6,374.75"
2025,AERA ENERGY LLC,ONRR - Royalties,Gas,"$15,653.26"
2025,AERA ENERGY LLC,ONRR - Royalties,Oil,"$7,698,854.77"
2025,AERA ENERGY LLC,ONRR/BLM - Rents,Oil & gas (pre-production),-$230.00
2025,AETHON ENERGY MANGEMENT LLC,ONRR - Other Revenues,Oil & gas (pre-production),"$125,326.22"
2025,AETHON ENERGY MANGEMENT LLC,ONRR - Royalties,Gas,"$13,846,885.07"
2025,AETHON ENERGY MANGEMENT LLC,ONRR - Royalties,Oil,"$567,811.99"
2025,AETHON ENERGY MANGEMENT LLC,ONRR/BLM - Rents,Oil & gas (pre-production),"$107,412.50"
2025,AETHON ENERGY OPERATING,BLM - Permit Fees,Oil & gas (pre-production),"$112,635.00"
2025,AJAX MINERALS LLC,BLM - Permit Fees,Oil & gas (pre-production),"$24,800.00"
2025,AJAX MINERALS LLC,ONRR/BLM - Bonus,Oil & gas (pre-production),"$749,112.00"
2025,AJAX MINERALS LLC,ONRR/BLM - Rents,Oil & gas (pre-production),"$15,834.00"
2025,ALLEGIANT GOLD US LTD,BLM - Permit Fees,Mining Claims,"$202,200.00"
2025,ALMADEX AMERICA INC,BLM - Permit Fees,Locatable Minerals,"$3,766.00"
2025,ALMADEX AMERICA INC,BLM - Permit Fees,Mining Claims,"$464,515.00"
2025,ALTA MAR ENERGY (WINTERFELL) LLC,ONRR - Other Revenues,Oil,"-$9,176.15"
2025,ALTA MAR ENERGY (WINTERFELL) LLC,ONRR - Other Revenues,Oil & gas (pre-production),"$4,157.24"
2025,ALTA MAR ENERGY (WINTERFELL) LLC,ONRR - Royalties,Gas,"$50,912.62"
2025,ALTA MAR ENERGY (WINTERFELL) LLC,ONRR - Royalties,Oil,"$2,370,489.45"
2025,ALYESKA PIPELINE SERVICE CO,BLM - Permit Fees,Mineral Materials,"$150,602.40"
2025,AMEREDEV II LLC,ONRR - Other Revenues,Oil & gas (pre-production),"$7,204,956.94"
2025,AMEREDEV II LLC,ONRR - Royalties,Gas,"$2,057,638.00"
2025,AMEREDEV II LLC,ONRR - Royalties,Oil,"$11,174,408.02"
2025,AMERICAN COLLOID CO,BLM - Permit Fees,Mining Claims,"$230,029.00"
2025,AMERICAN CONSOLIDATED NATURAL RES INC,OSMRE - AML Fees including Audits and Late Charges,Coal,"$2,632,234.60"
2025,AMERICAN COPPER NMX INC,BLM - Permit Fees,Mining Claims,"$145,400.00"
2025,AMERICAN GILSONITE CO,ONRR - Other Revenues,Gilsonite,"$4,905.00"
